 	le	gombo	adoucit	le	koko	</S>
d	0.753852	0.204884	0.0111305	0.0271732	0.00241871	0.000540599
ω	0.0463333	0.943572	0.00263865	0.00187177	0.00305198	0.00253233
n	0.0283708	0.856254	0.0528724	0.0162659	0.0148067	0.03143
g	0.0743394	0.875471	0.00675286	0.0156626	0.0143016	0.0134723
ώ	0.424878	0.557823	0.00654895	0.00271111	0.00416177	0.00387763
d	0.530623	0.248525	0.119333	0.0594241	0.00818134	0.0339136
ω	0.582516	0.127812	0.0360016	0.0173836	0.00814194	0.228144
n	0.31924	0.10426	0.266368	0.140016	0.017002	0.153113
g	0.151513	0.648598	0.101641	0.0401091	0.00769927	0.0504396
ώ	0.120928	0.78389	0.0690283	0.0105377	0.00925119	0.0063646
l	0.0962224	0.131746	0.184776	0.543528	0.0130043	0.0307232
í	0.133362	0.0712296	0.375572	0.129446	0.0182783	0.272112
i	0.388236	0.00936678	0.0927775	0.449608	0.0257905	0.0342213
k	0.00924468	0.014233	0.580754	0.118723	0.0730279	0.204018
ω	0.000163843	0.00127307	0.900665	0.0233821	0.0278731	0.0466426
ω	0.00017365	0.00338703	0.964716	0.0159698	0.0041275	0.0116258
g	0.00696185	0.00281656	0.0748185	0.704153	0.133515	0.077735
h	0.00199817	0.00209555	0.190656	0.122745	0.385263	0.297242
í	0.0019693	0.00454167	0.0542913	0.166852	0.530687	0.241659
s	0.00233115	0.00344184	0.0104697	0.368112	0.252712	0.362934
ώ	0.00534718	0.00925682	0.0137674	0.0746008	0.465405	0.431623
k	0.00631834	0.00610214	0.00946603	0.114033	0.662428	0.201652
u	0.000526711	0.00417251	0.0665883	0.0583906	0.728661	0.141661
u	0.00874514	0.0136638	0.00819153	0.0528496	0.782149	0.134401
m	0.0250785	0.009949	0.00509454	0.189792	0.201128	0.568958
ú	0.0107172	0.173111	0.00979919	0.0727833	0.349519	0.38407
</S>	0.00125192	0.021989	0.00510559	0.0813341	0.147927	0.742392
