 	il	avait	des	larmes	aux	yeux	à	cause	du	piment	qui	lui	brûlait	la	bouche	</S>
m	0.794045	0.105432	0.0304138	0.0187271	0.0325282	0.00287805	0.00270085	0.00249663	0.00500851	0.00229419	0.00161479	0.00115615	4.93624e-05	0.000596746	3.99058e-05	1.89867e-05
í	0.105265	0.169992	0.0549978	0.0379665	0.0454569	0.483573	0.0198339	0.00435427	0.010273	0.00167649	0.0141473	0.00529019	0.00157356	0.0258265	0.000659933	0.0191131
s	0.100772	0.576577	0.123493	0.0192771	0.00883815	0.0931132	0.0132099	0.00967547	0.0054094	0.000846333	0.0205576	0.0117008	0.00648802	0.00243122	0.00207084	0.00554053
i	0.0589842	0.186903	0.132003	0.250117	0.0440089	0.0297729	0.0163502	0.00759736	0.029335	0.037264	0.0267111	0.0181355	0.0303401	0.00880808	0.0100037	0.113666
m	0.0568464	0.232584	0.286551	0.0756086	0.0335393	0.0125365	0.0159759	0.0133324	0.0110062	0.00318852	0.0261455	0.0145232	0.0105333	0.00946132	0.00246262	0.195705
á	0.169295	0.188155	0.149214	0.0325273	0.334581	0.0416738	0.0257814	0.00630051	0.0118286	0.000316052	0.0290995	0.00379285	0.00242293	0.000906212	5.10624e-05	0.00405514
w	0.0864925	0.100488	0.212492	0.309114	0.0951836	0.0792401	0.0128862	0.00877169	0.00969962	0.00893367	0.00809535	0.0178644	0.01272	0.00814655	0.00915991	0.0207133
a	0.0498272	0.08564	0.311826	0.220692	0.065599	0.00378679	0.0242807	0.0133841	0.0352294	0.0102614	0.0137014	0.0720344	0.0457688	0.0240114	0.00544166	0.0185165
á	0.0404233	0.0445952	0.214725	0.275695	0.165163	0.0122436	0.0225974	0.0198548	0.0189985	0.00562723	0.0138774	0.0376641	0.0284825	0.0202096	0.00603763	0.0738058
y	0.00362325	0.0540209	0.164553	0.273385	0.0985832	0.0543573	0.153503	0.0614297	0.0150833	0.0076998	0.0087859	0.0109348	0.0277467	0.0109205	0.00679266	0.0485817
e	0.00321382	0.056706	0.209216	0.40557	0.0797988	0.0946646	0.0563264	0.01022	0.0124175	0.00943153	0.00502679	0.00472191	0.00675638	0.00560519	0.00507379	0.0352512
e	0.00262282	0.0185648	0.184344	0.264938	0.137344	0.0916328	0.0924128	0.0414959	0.0282953	0.00589767	0.00605403	0.00476995	0.00714128	0.011553	0.00413552	0.0987979
n	0.0016999	0.0105303	0.0439342	0.0997547	0.204879	0.492956	0.0809174	0.018986	0.0149814	0.00700271	0.00366546	0.00487008	0.00216352	0.00243292	0.00173539	0.00949072
g	0.00644346	0.00708388	0.024121	0.505935	0.223082	0.0876533	0.0131748	0.00207754	0.0193985	0.073985	0.00488802	0.00355611	0.00154449	0.00658959	0.0140092	0.0064578
i	0.00249066	0.00482306	0.0261409	0.578002	0.0851277	0.0676749	0.00471425	0.00161422	0.00752633	0.179538	0.00149458	0.00310381	0.00229526	0.0033025	0.028748	0.00340362
a	0.00195518	0.00721772	0.0739237	0.293793	0.286535	0.0169439	0.0830715	0.0254999	0.0846751	0.046004	0.0124378	0.0194263	0.00879047	0.0159572	0.0106067	0.0131621
t	0.00311842	0.00648544	0.0220473	0.0314495	0.165085	0.0284601	0.43862	0.139303	0.097721	0.0120032	0.0148886	0.0166461	0.00682311	0.00647852	0.00146704	0.00940443
s	0.0026784	0.0043287	0.0262014	0.0416715	0.0740426	0.00289092	0.102321	0.33809	0.178714	0.061504	0.0281676	0.0436874	0.062864	0.00852394	0.00255812	0.0217561
á	0.000765736	0.00157341	0.0242576	0.0558153	0.0410962	0.0042308	0.0765287	0.332195	0.200303	0.0307337	0.0287173	0.0522609	0.0715997	0.0285901	0.00477918	0.0465533
n	0.00565477	0.00592647	0.0269109	0.0604529	0.0586843	0.0462168	0.112102	0.181083	0.164749	0.0887677	0.0165805	0.0316984	0.044234	0.00626796	0.00647305	0.144199
g	0.00819901	0.00605959	0.0125831	0.0746195	0.0435413	0.0092815	0.0317865	0.0137352	0.0792098	0.392813	0.0280159	0.0191746	0.0316144	0.020387	0.0560036	0.172976
á	0.00199908	0.00229981	0.00948066	0.142472	0.0465455	0.0123288	0.0398975	0.014743	0.07707	0.536655	0.00852188	0.0163237	0.00840075	0.00692638	0.029612	0.046724
m	0.00236981	0.0038103	0.00821964	0.00619548	0.0187299	0.0024107	0.207642	0.148798	0.284456	0.124019	0.0727803	0.0768895	0.0179986	0.0103302	0.0017264	0.0136245
é	0.00280649	0.00268294	0.0027045	0.000567818	0.0447266	0.0263664	0.128401	0.119017	0.193261	0.00659088	0.367709	0.0431468	0.0225951	0.0120941	0.000518381	0.0268112
b	0.000199168	0.00161187	0.00457313	0.00246888	0.0115509	0.0152534	0.0991014	0.236105	0.172254	0.0342153	0.191537	0.133293	0.0616331	0.0197387	0.00622582	0.0102397
a	0.000738061	0.00374238	0.0112777	0.002826	0.00616015	0.00169588	0.0494715	0.395421	0.0641194	0.00883753	0.135931	0.092605	0.20058	0.00749716	0.00325236	0.0158457
m	0.0001537	0.000503364	0.0022594	0.00134279	0.00279756	0.00144228	0.017263	0.129739	0.0630182	0.0260977	0.155893	0.220519	0.299991	0.0149168	0.0071797	0.0568835
b	0.000755856	0.000909459	0.00150679	0.00081292	0.0148089	0.00873403	0.0433022	0.0566173	0.174178	0.0198091	0.534886	0.0585594	0.0538183	0.0160272	0.00155993	0.0137142
é	0.00104852	0.000964206	0.00488574	0.00585323	0.00925442	0.000457287	0.043557	0.110265	0.223399	0.0256428	0.215942	0.0538876	0.178829	0.0252841	0.00714989	0.0935797
y	0.000359903	0.000608439	0.00194709	0.00141644	0.0040411	0.00063421	0.0321433	0.0633518	0.0818492	0.0167988	0.26494	0.171999	0.250519	0.0396768	0.00290971	0.0668059
é	0.00265931	0.00323669	0.00854599	0.0113019	0.00966275	0.000498497	0.0222559	0.0178973	0.118449	0.276302	0.167206	0.178123	0.128972	0.0239176	0.0183434	0.0126284
é	0.000295265	0.00025293	0.00167498	0.0016909	0.00204674	0.000348256	0.0128012	0.0135528	0.0669831	0.0580887	0.235855	0.252138	0.0887023	0.156599	0.0531287	0.0558427
b	0.000140386	0.00345448	0.0149669	0.00724481	0.00386993	0.00320971	0.0393836	0.0401224	0.0226791	0.0113611	0.129985	0.153002	0.328204	0.147858	0.0378208	0.0566981
a	7.05099e-05	0.00182867	0.00902188	0.00188739	0.00253115	0.000819075	0.0182172	0.0762468	0.0219448	0.00103712	0.0661154	0.084915	0.564505	0.0485516	0.0207785	0.0815296
b	2.76167e-05	0.000242742	0.00188796	0.000966627	0.000727436	0.000262438	0.00994757	0.0661662	0.0232778	0.00607372	0.0398302	0.039662	0.347133	0.0429608	0.0289645	0.391869
h	8.36407e-05	0.000161191	0.00222056	0.00133636	0.000998698	2.96803e-05	0.0113384	0.0402809	0.0590065	0.0324837	0.0484578	0.120092	0.274017	0.105633	0.0329453	0.270916
í	0.000309169	0.00052989	0.00464272	0.00738342	0.00396291	6.9785e-05	0.014735	0.0580423	0.0780836	0.0338528	0.0990512	0.0914119	0.304618	0.0391242	0.0181323	0.246051
l	0.000169309	0.000209671	0.00109244	0.00144188	0.00300534	0.000154992	0.00377338	0.00684211	0.0198978	0.0109319	0.0924878	0.170488	0.159812	0.254168	0.0463014	0.229223
í	0.000573597	0.000476177	0.00210054	0.00317078	0.00203748	0.00015285	0.0044881	0.00954256	0.0182193	0.0289363	0.0537372	0.0877079	0.108974	0.170931	0.215622	0.29333
w	0.000778046	0.000342969	0.00150568	0.00151024	0.00455126	0.00101965	0.00141268	0.00151361	0.0122613	0.0214394	0.081298	0.176933	0.0253642	0.241364	0.327392	0.101315
a	0.00341853	0.00155268	0.00380452	0.00245246	0.00929939	0.000736892	0.00637844	0.0129276	0.0274798	0.00644178	0.154637	0.236786	0.102448	0.245555	0.105471	0.0806098
s	0.00024583	8.70911e-05	0.000365599	0.000338747	0.00118727	0.000390908	0.000931886	0.00222107	0.00667939	0.00711027	0.0449273	0.129092	0.0508374	0.313204	0.252589	0.189792
ó	3.66251e-05	0.000275201	0.00303872	0.00729702	0.0026649	0.000339108	0.00924375	0.0120963	0.0526916	0.0335072	0.0755332	0.0387153	0.0654574	0.184424	0.342462	0.172218
n	0.000292396	0.00028115	0.00168093	0.00146932	0.00381491	0.000707758	0.00192594	0.00151548	0.0110337	0.0158138	0.0408703	0.0630443	0.0234364	0.165761	0.476631	0.191722
ω	3.45723e-05	1.90514e-05	0.000119526	0.000762046	0.000161693	6.74266e-05	0.00013704	0.000273808	0.00191104	0.0230774	0.00506972	0.00692463	0.00523775	0.0381214	0.884302	0.0337808
ω	7.28262e-05	8.51795e-05	0.000248233	0.000381608	0.000340266	0.000157126	0.000856853	0.00145311	0.00669183	0.0162466	0.0280809	0.0602919	0.0365628	0.177682	0.497978	0.172871
</S>	0.000639929	0.00225681	0.00922516	0.0067825	0.00588222	0.000321724	0.0149875	0.0120148	0.0204927	0.00428369	0.0219408	0.0313821	0.0254476	0.15915	0.284528	0.400664
