 	son	enfant	a	grandi	</S>
m	0.771585	0.226597	0.00168786	9.45964e-05	3.58554e-05
w	0.01208	0.978665	0.0049582	0.000697703	0.00359935
á	0.00574083	0.994213	1.95518e-05	2.06005e-05	5.87012e-06
n	0.0609541	0.932723	0.00226481	3.04701e-05	0.00402777
a	0.231529	0.603106	0.0101583	0.00730408	0.147903
y	0.799469	0.0135337	0.169706	0.00783641	0.00945509
a	0.585148	0.138555	0.0943185	0.153082	0.0288969
w	0.561592	0.0930137	0.274115	0.0446618	0.0266175
a	0.687339	0.126678	0.125837	0.0405487	0.0195972
á	0.0701009	0.0812797	0.74088	0.0576703	0.0500693
m	0.00304879	0.000691685	0.488956	0.317055	0.190249
i	0.0023937	0.00182605	0.144127	0.167814	0.68384
y	0.000732175	0.000616173	0.0248916	0.484552	0.489208
ó	0.00147524	0.00014583	0.0482149	0.606585	0.343579
l	0.00305793	0.000134477	0.0505933	0.355623	0.590591
a	0.0335122	0.00777887	0.117558	0.137139	0.704012
</S>	0.0549762	0.0135984	0.44801	0.0633896	0.420025
