 	le	moment	de	se	dire	adieu	est	venu	</S>
o	0.455265	0.431403	0.070864	0.0167248	0.00954119	0.0107414	0.00472761	3.24544e-05	0.000700445
n	0.0799357	0.79408	0.0210384	0.00774397	0.00391566	0.0487301	0.00338927	0.0202606	0.0209061
d	0.0612614	0.523079	0.0849751	0.0781598	0.0890975	0.0350942	0.00260249	0.100117	0.0256135
i	0.0853039	0.846469	0.0156074	0.00923117	0.0108791	0.00897229	0.000260438	0.00477727	0.0184994
e	0.229661	0.595853	0.0859016	0.0395596	0.0274328	0.00406033	0.000730785	0.00174602	0.0150552
m	0.157324	0.108238	0.547545	0.111582	0.0350218	0.00208145	0.0229949	0.000441231	0.0147705
á	0.361625	0.054401	0.23686	0.175583	0.10231	0.0108241	0.0369348	0.00125504	0.0202072
o	0.119984	0.0585462	0.218695	0.248791	0.287191	0.0251584	0.0176517	0.0106176	0.0133654
n	0.0366231	0.0452462	0.0695216	0.36635	0.232369	0.196198	0.0172742	0.0177541	0.0186647
d	0.0313102	0.161374	0.0486346	0.162953	0.292827	0.221474	0.00212061	0.0159457	0.0633598
a	0.0163886	0.111386	0.0774955	0.170062	0.288321	0.241784	0.00514086	0.0257907	0.0636315
a	0.0402004	0.0811302	0.211064	0.169183	0.335866	0.0510255	0.0258843	0.0365408	0.0491065
s	0.0231056	0.009407	0.201786	0.147298	0.240864	0.0436966	0.305128	0.00334101	0.0253734
i	0.0697461	0.0233753	0.123878	0.202448	0.328812	0.0647383	0.0578445	0.0214271	0.107731
ó	0.0262469	0.00545563	0.18299	0.138554	0.335481	0.0720424	0.213695	0.0118857	0.0136498
m	0.0099868	0.0110549	0.025665	0.101933	0.119275	0.390882	0.214078	0.0943684	0.0327579
i	0.00828054	0.00851563	0.0151673	0.0635875	0.081481	0.651928	0.0750489	0.0150348	0.0809563
s	0.00633289	0.00457732	0.00907593	0.0580981	0.0847236	0.519131	0.0960682	0.0183799	0.203613
á	0.00533447	0.00335657	0.00465135	0.0431449	0.15329	0.224396	0.0124563	0.17696	0.376411
á	0.00185776	0.000431002	0.0107092	0.0262377	0.0590771	0.0537638	0.270602	0.2785	0.298821
o	0.00835657	0.00268011	0.0220161	0.0363222	0.0551871	0.0248428	0.458831	0.311964	0.0798008
k	0.00439784	0.0105596	0.00641825	0.0118277	0.0187675	0.210224	0.034536	0.614133	0.0891364
o	0.00120663	0.0104953	0.009073	0.0223501	0.0205574	0.582422	0.0626809	0.12638	0.164834
a	0.00214944	0.00289292	0.00604497	0.0201762	0.0314592	0.220173	0.0876218	0.154074	0.475409
</S>	0.00553417	0.00390322	0.0240169	0.0257078	0.0298474	0.0258293	0.265339	0.17224	0.447582
