 	la	voiture	s'	est	embourbée	dans	la	mare	</S>
o	0.851197	0.130388	0.0134918	0.00317436	0.000428831	0.000609022	0.000266915	0.00031934	0.000124913
t	0.0980249	0.89273	0.00726828	0.000817615	0.000216921	0.000145223	0.000208793	0.000406604	0.000181949
ω	0.0138759	0.98278	0.000547308	0.000515605	0.000311703	0.000273174	0.000357953	0.00109006	0.000248629
m	0.00591008	0.990254	0.00116549	0.000655087	0.000521451	0.000399085	0.000285174	8.41161e-05	0.000725936
b	0.29506	0.624625	0.027118	0.00359708	0.00510569	0.0137257	0.00561407	0.00769637	0.0174582
í	0.172421	0.322007	0.117976	0.101657	0.12755	0.0466846	0.0116596	0.00598035	0.0940637
l	0.156467	0.0455363	0.683268	0.0868791	0.00231484	0.0105961	0.00259413	0.000178359	0.0121664
i	0.486289	0.068338	0.224164	0.0510352	0.00936501	0.0369901	0.0159528	0.00435595	0.10351
ó	0.289569	0.0175396	0.439486	0.19812	0.0167562	0.0153726	0.00801941	0.00173979	0.0133971
m	0.01396	0.00589216	0.102299	0.694931	0.0993435	0.0437776	0.0233638	0.00307102	0.013362
i	0.0528003	0.0023262	0.129612	0.296646	0.134028	0.129999	0.151178	0.0325049	0.0709054
b	0.00144907	0.00183852	0.0106905	0.29048	0.620915	0.0309196	0.0248278	0.00216321	0.0167162
h	0.00158144	0.00145644	0.0053973	0.170935	0.727209	0.0503285	0.0198683	0.00276994	0.0204543
á	0.000509815	0.00136513	0.000795411	0.0479409	0.905607	0.0134132	0.0103036	0.00843933	0.0116254
r	0.000643102	0.000250128	0.00488365	0.0505366	0.845493	0.0126767	0.0148767	0.0187305	0.0519093
á	0.00549597	0.000674557	0.0191158	0.154879	0.209646	0.332798	0.0927695	0.0218765	0.162744
á	0.00709654	0.000811452	0.113588	0.132707	0.0716257	0.351908	0.208615	0.0676258	0.0460228
s	0.00416989	0.00029735	0.0229857	0.0255037	0.00913613	0.209057	0.46808	0.208709	0.0520608
í	0.00615398	0.000879567	0.00378688	0.0040001	0.00158681	0.110761	0.266739	0.391371	0.214722
s	0.00394494	0.000456204	0.00505043	0.00131896	0.000504318	0.0228523	0.0589783	0.825356	0.0815387
e	0.00145166	0.000326201	0.00116937	0.000683285	0.000520928	0.0102731	0.0580671	0.858578	0.0689299
b	0.00118266	0.000143924	0.000522499	0.000299576	0.000109645	0.00722199	0.0597509	0.766246	0.164523
h	0.00350949	0.001728	0.00351044	0.00498336	0.0106932	0.0690177	0.188363	0.563328	0.154866
e	0.00132669	0.00432348	0.000774097	0.00124296	0.0526395	0.0139391	0.0201371	0.635966	0.269651
</S>	0.000717787	0.00272754	0.00169506	0.00300609	0.00897678	0.0376506	0.105265	0.269168	0.570793
