 	si	tu	avoues	je	ne	te	ferai	rien	</S>
w	0.869714	0.0912619	0.0154419	0.00464864	0.00765336	0.00441306	0.0056768	0.000772664	0.000418145
á	0.538371	0.393394	0.023269	0.0269438	0.00404072	0.00877138	0.00437735	0.000696701	0.000136213
á	0.480219	0.215851	0.0236544	0.0296272	0.0460917	0.0367739	0.0470981	0.00646223	0.114222
n	0.22695	0.424447	0.21206	0.0528458	0.0119265	0.0152235	0.00801717	0.00564414	0.0428859
ω	0.185214	0.43521	0.0141583	0.231917	0.0087154	0.0125252	0.00127422	0.0234953	0.0874902
o	0.0419213	0.363166	0.0292777	0.325822	0.0123607	0.021338	0.00291705	0.018379	0.184818
b	0.0451165	0.0391431	0.537636	0.102149	0.21233	0.0146794	0.0191905	0.00383315	0.0259228
é	0.00400277	0.0111069	0.925156	0.0044683	0.0437228	0.00322562	0.00222071	0.000219062	0.00587776
n	0.0347694	0.0911562	0.507465	0.0794988	0.143129	0.0212356	0.025924	0.00305615	0.0937664
y	0.123948	0.146735	0.430138	0.133092	0.0634729	0.0299457	0.0208142	0.00336863	0.0484857
í	0.204754	0.16235	0.226869	0.122266	0.0968415	0.0393891	0.0165899	0.00509117	0.125849
i	0.0450534	0.161778	0.0969843	0.258882	0.189972	0.187943	0.039567	0.00146528	0.0183548
d	0.00798383	0.0259045	0.046976	0.154026	0.480787	0.103132	0.0850405	0.0196712	0.0764793
i	0.00488253	0.00432759	0.00904155	0.217517	0.337075	0.171221	0.0278522	0.0471411	0.180941
n	0.00243912	0.00494694	0.00954275	0.0674393	0.431888	0.214795	0.0815843	0.0568433	0.130522
ώ	0.00576302	0.0194884	0.000956909	0.298999	0.0387459	0.303948	0.0148404	0.167983	0.149275
e	0.000845514	0.00620235	0.00245717	0.0978345	0.12244	0.226015	0.155744	0.0864845	0.301977
y	0.00955842	0.00627284	0.00996589	0.0212892	0.117532	0.098436	0.493574	0.088694	0.154678
e	0.00546023	0.00356957	0.00209769	0.0355304	0.0412181	0.203238	0.272847	0.280691	0.155348
a	0.00116021	0.00126212	0.00132217	0.015519	0.0227746	0.0851004	0.0735537	0.362705	0.436603
ω	0.000343562	0.00155844	0.00194781	0.0075979	0.0218783	0.228862	0.245729	0.0955769	0.396506
k	0.00389325	0.0043849	0.0236226	0.00921857	0.0473967	0.0348059	0.353319	0.2825	0.240859
y	0.00175548	0.00108089	0.0276662	0.00188418	0.052031	0.0124219	0.638412	0.0323201	0.232428
a	0.00447867	0.00370065	0.0684272	0.00333834	0.0715898	0.0781721	0.489941	0.0643658	0.215987
k	0.000887503	0.00126686	0.00537822	0.00203039	0.0108309	0.0965878	0.11002	0.0705808	0.702418
a	0.00317312	0.00511827	0.0344588	0.00184854	0.0144026	0.0307989	0.388116	0.0254852	0.496599
á	0.000358276	0.00102127	0.009207	0.000858396	0.00712858	0.0177928	0.114495	0.0145561	0.834583
</S>	0.00222971	0.0090312	0.00631795	0.025962	0.0219743	0.121438	0.0724415	0.115241	0.625364
