 	on	fabrique	les	nasses	à	l'	aide	de	l'	écorce	du	bambou	</S>
b	0.404402	0.146689	0.112108	0.0681604	0.0366119	0.0309785	0.0347315	0.0425298	0.0542678	0.00171772	0.0675575	0.000201055	4.44499e-05
á	0.376275	0.0941814	0.184178	0.0837153	0.0926165	0.0482099	0.0266487	0.0323023	0.0409402	0.0013384	0.0155849	0.00261654	0.00139319
a	0.384472	0.327032	0.10864	0.0206229	0.00937305	0.0117924	0.00762073	0.00897002	0.00914586	0.00434223	0.00541244	0.0433332	0.059243
t	0.278966	0.385615	0.234162	0.0174381	0.0099788	0.0052372	0.00356724	0.00377244	0.00345976	0.0033261	0.00418724	0.00114295	0.049148
ó	0.00813015	0.335738	0.109974	0.373142	0.043999	0.0128251	0.00650151	0.00429986	0.00468963	0.0611095	0.00194866	0.00481102	0.0328312
n	0.0312325	0.642559	0.118611	0.145927	0.0114162	0.0035105	0.00201935	0.00132762	0.00239076	0.0153481	0.000665974	0.00162991	0.0233622
g	0.0850562	0.469705	0.149549	0.168763	0.0438446	0.0140971	0.00926859	0.00688655	0.00723809	0.00766222	0.00358378	0.00295317	0.0313929
á	0.141032	0.319704	0.248646	0.189266	0.0410461	0.0129761	0.0100026	0.00607607	0.00620199	0.0032519	0.00264951	0.00363807	0.0155092
i	0.0282128	0.0162302	0.18844	0.222467	0.218768	0.108394	0.0640433	0.0536775	0.0501716	0.0140723	0.0263299	0.00646664	0.00272718
k	0.00838709	0.0277968	0.0516436	0.514514	0.0995506	0.0681585	0.0280951	0.0295504	0.0542775	0.0977516	0.0036211	0.0123027	0.00435109
ω	0.00185807	0.0121415	0.0227842	0.620842	0.0700225	0.0230838	0.00873873	0.0116825	0.0206432	0.196349	0.00158036	0.00526032	0.00501404
n	0.0027648	0.0766342	0.0478476	0.567297	0.0596338	0.0199734	0.0129273	0.0265996	0.0429105	0.0640805	0.00619385	0.0144216	0.0587162
y	0.0115036	0.0389107	0.0782816	0.440777	0.0943237	0.0540886	0.0320361	0.0371924	0.0287975	0.0432011	0.00526121	0.0066742	0.128953
i	0.0738086	0.0454926	0.118141	0.353853	0.0773884	0.0504344	0.043605	0.0349766	0.0227237	0.0640395	0.00834838	0.0046073	0.102582
m	0.00380571	0.00634011	0.0574768	0.0595647	0.243991	0.111695	0.0917679	0.173209	0.124987	0.0503452	0.0315592	0.00260958	0.0426481
ó	0.00557906	0.0034828	0.021982	0.00949982	0.093251	0.143865	0.0837343	0.0961284	0.104636	0.0143984	0.0695979	0.214218	0.139627
m	0.00387978	0.0035419	0.00964257	0.00674269	0.0209729	0.0313417	0.0266782	0.0492258	0.102307	0.0893716	0.144062	0.47685	0.0353842
b	0.00027863	0.000804897	0.00236692	0.000348759	0.00769175	0.0213435	0.0151959	0.0226388	0.0483081	0.0146065	0.059329	0.694449	0.112638
á	0.000131497	0.000653276	0.0011639	0.00153822	0.00689929	0.0125591	0.0045153	0.0178881	0.0687496	0.0227301	0.00724012	0.830855	0.0250765
á	0.00016427	0.000656498	0.00144794	0.000636971	0.00372496	0.00437738	0.00206652	0.0140128	0.0350807	0.0331384	0.038633	0.592561	0.2735
</S>	0.00501419	0.00300341	0.00940165	0.00418081	0.0145385	0.0181184	0.0140326	0.0306726	0.042554	0.0196824	0.28823	0.319646	0.230926
