 	les	bananes	sont	pleines	</S>
a	0.608446	0.299949	0.0848451	0.00636676	0.000392701
k	0.097385	0.694144	0.0807818	0.111753	0.0159362
ω	0.0249833	0.857255	0.00526219	0.105815	0.00668429
á	0.159996	0.206516	0.309095	0.198405	0.125988
s	0.0734325	0.00334286	0.79039	0.0466052	0.0862291
á	0.0748828	0.00238988	0.380757	0.0526331	0.489338
a	0.468553	0.0189826	0.371803	0.0612249	0.0794372
ω	0.0509913	0.0164737	0.245789	0.295919	0.390827
b	0.00121031	0.00432477	0.207309	0.594499	0.192657
ε	0.00396532	0.00679122	0.0358219	0.873415	0.0800064
n	0.0173522	0.00665417	0.0323112	0.588302	0.355381
g	0.618381	0.0189844	0.0788454	0.154813	0.128977
ε	0.809367	0.00936958	0.0123758	0.0355576	0.13333
k	0.0184051	0.00207595	0.0700597	0.539313	0.370146
a	0.0954135	0.0185081	0.0440761	0.114262	0.72774
á	0.00579463	0.00676112	0.0116891	0.0941389	0.881616
</S>	0.0691959	0.000825977	0.225271	0.0882985	0.616408
