 	une	nasse	tissée	avec	la	liane	ekaa	est	durable	</S>
o	0.739318	0.239763	0.00795251	0.00484154	0.00275186	0.00255245	0.00211366	0.000471993	0.000176992	5.7642e-05
k	0.0928012	0.854288	0.0414291	0.00232109	0.00129657	0.00108371	0.00166031	0.00139368	0.00176073	0.00196507
ω	0.0530539	0.855116	0.0281388	0.0179948	0.0127508	0.00928526	0.00531537	0.00361239	0.0103932	0.00433927
n	0.0683275	0.796293	0.0899105	0.00962141	0.00382209	0.0112043	0.00315046	0.0032775	0.0102837	0.00410968
y	0.282949	0.639384	0.0417645	0.0106525	0.00842576	0.00113491	0.00159785	0.00113197	0.00243959	0.0105192
i	0.212402	0.178454	0.106953	0.108332	0.075142	0.0184219	0.0697272	0.0213215	0.00895053	0.200296
m	0.340767	0.296405	0.211878	0.0597032	0.0189816	0.00347465	0.0223071	0.0175337	0.00277772	0.0261718
ó	0.700559	0.157485	0.0644832	0.0274613	0.0205722	0.0116256	0.00719949	0.00487622	0.00136871	0.00436931
ó	0.613303	0.108294	0.069183	0.0666411	0.0301936	0.0337067	0.0390674	0.0147466	0.00161403	0.0232504
t	0.0179524	0.185357	0.491248	0.215461	0.0291672	0.00402672	0.00538206	0.0121226	0.0208287	0.0184546
ó	0.0195524	0.142523	0.239085	0.332499	0.110927	0.018335	0.0233032	0.0225552	0.0222686	0.0689518
n	0.0506455	0.204778	0.282598	0.295651	0.0523741	0.0142936	0.0121468	0.011525	0.0115517	0.0644367
g	0.0528933	0.0860831	0.263804	0.282599	0.103233	0.0306023	0.0832241	0.0132988	0.00862391	0.0756384
á	0.156836	0.116311	0.274389	0.251772	0.0749739	0.0473605	0.0518638	0.0015216	0.00166369	0.0233089
b	0.00727981	0.00318136	0.0515511	0.24863	0.284314	0.208411	0.160825	0.0165848	0.00410555	0.0151164
á	0.00212235	0.00158309	0.00616922	0.412199	0.195644	0.0801727	0.273897	0.0154685	0.00986064	0.00288437
a	0.00169112	0.000542779	0.00371782	0.136264	0.133141	0.171172	0.51457	0.0138613	0.0126669	0.0123726
m	0.00203912	0.00526987	0.0171554	0.191885	0.353622	0.106486	0.120451	0.11085	0.0439859	0.048255
é	0.00387624	0.00714404	0.0327781	0.14445	0.122884	0.008967	0.0287586	0.364811	0.121556	0.164776
k	0.00352816	0.0127885	0.0170539	0.0857405	0.204741	0.0836625	0.0699208	0.268837	0.194994	0.0587336
a	0.00424962	0.0211656	0.0139172	0.113447	0.116404	0.0300492	0.126537	0.128188	0.367121	0.0789214
á	0.000695008	0.00182313	0.00156471	0.0142637	0.0561635	0.044479	0.24986	0.100548	0.235803	0.2948
m	0.000830848	0.00145441	0.00352625	0.00814024	0.0316397	0.0198319	0.0784222	0.293715	0.16136	0.401079
ó	0.00369926	0.00725575	0.0160276	0.0160291	0.0486792	0.0080687	0.00968343	0.44485	0.203248	0.24246
o	0.00448951	0.00562584	0.00827354	0.0233973	0.0545011	0.0772252	0.0639471	0.183818	0.44444	0.134283
b	0.000460029	0.00957562	0.0166899	0.0107556	0.0149407	0.00481129	0.00174584	0.127026	0.763784	0.0502106
í	0.000488963	0.00519305	0.0141516	0.0339032	0.0187971	0.00148496	0.00302353	0.0342851	0.868963	0.0197092
a	0.00103235	0.00125917	0.00207418	0.00573925	0.00984448	0.0041985	0.0291431	0.0544116	0.60231	0.289987
</S>	0.00145072	0.00323098	0.00366723	0.00758431	0.0364036	0.0112348	0.00801079	0.146857	0.413853	0.367707
