 	il	y	a	beaucoup	de	brouillard	aujourd'	hui	</S>
l	0.210724	0.195945	0.141288	0.0728619	0.162367	0.0283138	0.167398	0.0175089	0.00359281
e	0.489349	0.108327	0.0804475	0.0960986	0.116885	0.0255744	0.0441299	0.00439581	0.0347932
b	0.101513	0.106396	0.0511855	0.0967779	0.0825438	0.421175	0.0281271	0.00307756	0.109205
o	0.0203169	0.035955	0.0428992	0.0463884	0.0822614	0.753927	0.0102257	0.000277438	0.00774956
n	0.00264993	0.00936899	0.0270879	0.0834823	0.0958879	0.708797	0.0239597	0.00617869	0.0425879
g	0.0718913	0.0514456	0.0436335	0.0984593	0.113361	0.578985	0.0170078	0.000560282	0.0246562
i	0.0101654	0.0159151	0.0260578	0.0682064	0.117667	0.748861	0.0047598	2.37377e-05	0.00834305
í	0.0820594	0.136823	0.124498	0.0919107	0.209805	0.0279283	0.294303	0.0127961	0.0198763
d	0.0413257	0.0729874	0.412914	0.18087	0.0770287	0.00693743	0.152984	0.0263785	0.0285749
i	0.00411422	0.0118868	0.18961	0.288601	0.0982053	0.00456258	0.109033	0.00731007	0.286677
i	0.00695924	0.0141665	0.147709	0.330076	0.227209	0.013194	0.177229	0.0214116	0.062046
y	0.00250168	0.0140251	0.107052	0.185114	0.0800301	0.0346911	0.195632	0.150869	0.230085
í	0.0009566	0.0139655	0.0838149	0.295354	0.0674046	0.0130003	0.0644217	0.08949	0.371593
í	0.00061565	0.00152519	0.0294787	0.132539	0.0810405	0.0180408	0.106806	0.229772	0.400182
p	0.00420432	0.00923966	0.056121	0.0476153	0.0314448	0.00119718	0.362257	0.0955894	0.392332
á	0.00422377	0.00786163	0.0151202	0.0271669	0.0202018	0.00214685	0.0304974	0.804931	0.0878503
b	0.000681163	0.00177348	0.00646427	0.0205217	0.00650874	0.00146502	0.0146716	0.901027	0.0468874
h	0.00288268	0.00236234	0.00550801	0.0106335	0.0113118	0.00563521	0.07155	0.670677	0.21944
a	0.00247416	0.00318702	0.00437489	0.0152072	0.0201408	0.0318922	0.0676964	0.563451	0.291576
</S>	0.00129781	0.00853099	0.019785	0.0270797	0.0484485	0.0036595	0.187288	0.0817815	0.622129
