 	ils	ont	souffert	pour	labourer	ce	champ	de	manioc	</S>
b	0.796664	0.126034	0.0395036	0.0141203	0.00121406	0.00274586	0.0118047	0.00728499	0.000554931	7.38199e-05
á	0.700529	0.124321	0.0559193	0.0722273	0.00153255	0.0116106	0.0136196	0.0197374	0.000274499	0.000228765
a	0.843577	0.102637	0.0353551	0.00443243	0.00175479	0.00497654	0.00309389	0.00168704	0.000207834	0.0022784
á	0.171058	0.484939	0.140506	0.0158148	0.0198095	0.0213007	0.00328076	0.0215469	0.00399895	0.117744
w	0.0296576	0.266451	0.40379	0.0376045	0.204337	0.0113253	0.0033729	0.0079311	0.0100798	0.0254511
o	0.0161121	0.247306	0.442934	0.0375844	0.178057	0.0215604	0.0157921	0.0110665	0.00301001	0.0265769
l	0.00648068	0.0976157	0.760133	0.0405455	0.0460047	0.00747373	0.0138799	0.00764125	0.00415068	0.0160753
i	0.0396734	0.172297	0.304935	0.276335	0.128009	0.0330637	0.0138431	0.0102135	0.00226437	0.019365
m	0.0303082	0.0473378	0.0273085	0.530395	0.0987595	0.139529	0.0778304	0.0255598	0.00201045	0.0209606
í	0.00525652	0.00691238	0.00479521	0.613324	0.159458	0.1547	0.024949	0.0125867	0.000354404	0.0176638
s	0.00347785	0.0085356	0.00663189	0.183167	0.340881	0.146561	0.26995	0.0104773	0.0164981	0.0138202
á	0.000111654	0.000467042	0.00127499	0.0266933	0.692757	0.15309	0.084503	0.0200801	0.00439272	0.0166293
l	0.000561454	0.0014902	0.00288507	0.0551453	0.220133	0.267549	0.241181	0.0816557	0.0136381	0.11576
a	0.00176372	0.00453751	0.00810734	0.0464368	0.439979	0.205809	0.157699	0.0394456	0.00385953	0.0923627
l	0.000102339	0.00340177	0.0050802	0.080749	0.215367	0.246006	0.109832	0.171456	0.041978	0.126028
á	0.00203805	0.00685042	0.0114177	0.044114	0.228658	0.20751	0.116	0.117662	0.0273805	0.23837
n	0.00140679	0.0105446	0.00571617	0.0320363	0.0206355	0.471584	0.141703	0.161737	0.106027	0.0486104
g	0.00110938	0.000864886	0.00235975	0.002385	0.00396514	0.0591442	0.861492	0.0494107	0.00644611	0.0128227
o	4.14498e-05	4.74303e-05	7.65094e-05	7.27789e-05	0.000199834	0.00216434	0.990794	0.00455979	0.000836949	0.00120656
n	1.73341e-05	1.1494e-05	7.60482e-05	0.000111319	0.00133384	0.00585344	0.95469	0.0121361	0.0123767	0.0133935
d	0.000718367	0.00159237	0.00108248	0.00614868	0.00866022	0.116294	0.265275	0.45273	0.0112001	0.136298
a	9.5359e-06	7.86573e-05	0.000684783	0.000963445	0.00108486	0.0265164	0.576361	0.142895	0.00606892	0.245338
y	0.000373706	0.00343383	0.000965943	0.0114505	0.0117345	0.0712555	0.0427417	0.429549	0.0633944	0.365101
í	0.000933347	0.0195838	0.00181291	0.0324729	0.0212731	0.210178	0.050051	0.373732	0.207285	0.0826768
k	0.00194368	0.00482158	0.00165846	0.00820651	0.00407883	0.156916	0.0374036	0.390236	0.125328	0.269408
ώ	0.000454486	0.000235763	0.00197227	0.00147627	0.00344486	0.00284219	0.0119461	0.0276158	0.915618	0.0343947
ώ	9.73669e-05	0.000112649	0.0028093	0.000223456	0.000298022	0.00327438	0.0146888	0.0209792	0.85509	0.102427
y	7.55085e-05	0.00222357	0.00155847	0.00841802	0.00415178	0.0309119	0.00817755	0.236723	0.145923	0.561837
é	0.000113534	0.00307459	0.0037515	0.017303	0.0383771	0.112609	0.017364	0.198576	0.211508	0.397323
</S>	0.000919163	0.00415736	0.00192144	0.0165111	0.0126426	0.166013	0.0487149	0.351038	0.151764	0.246319
