 	nous	réglons	le	problème	de	son	mariage	</S>
b	0.984207	0.0085871	0.00267111	0.00345065	0.000675517	0.00036767	3.57887e-05	4.93292e-06
í	0.892408	0.00737853	0.0193715	0.0481678	0.0110562	0.0200871	0.00115269	0.000377843
s	0.987063	0.00218899	0.00200127	0.0051951	0.00055537	0.00253922	0.000192526	0.000264297
í	0.764363	0.0176225	0.0695796	0.0118291	0.027752	0.0947038	0.00425117	0.00989924
l	0.250085	0.229983	0.114792	0.0176354	0.0334951	0.0339966	0.0155286	0.304485
έ	0.0166726	0.258564	0.0964953	0.00562534	0.0853127	0.0595027	0.0137976	0.464029
ε	0.0166187	0.518798	0.307743	0.0147454	0.0281219	0.0293322	0.0175392	0.0671022
y	0.00605935	0.737175	0.226432	0.0155981	0.00259728	0.000965272	0.00132077	0.009852
ε	0.00191151	0.533023	0.387441	0.00673381	0.00431772	0.00385323	0.00534219	0.0573774
m	0.0148023	0.407597	0.386044	0.0164686	0.0232057	0.017802	0.0154784	0.118601
b	0.00280526	0.0127589	0.386358	0.163402	0.174537	0.0855262	0.0182468	0.156365
í	0.117371	0.00396832	0.0718875	0.191392	0.276206	0.183841	0.082756	0.0725771
s	0.00652012	0.00157188	0.0496747	0.237959	0.447776	0.211637	0.0296048	0.0152571
έ	0.00346817	0.026374	0.181532	0.0761572	0.309227	0.230316	0.086128	0.0867976
p	0.00199508	0.00323326	0.0787573	0.025625	0.353799	0.259045	0.113027	0.164519
ώ	0.00636101	0.00411629	0.0245625	0.31686	0.303693	0.0353176	0.230641	0.078448
ω	0.00132647	0.00608129	0.0267052	0.17361	0.232948	0.0453019	0.366761	0.147266
y	0.000974271	0.0018384	0.00978969	0.0257533	0.281155	0.323253	0.247159	0.110078
í	0.00171807	0.00536852	0.0307945	0.00642943	0.125649	0.240214	0.36343	0.226397
t	0.0068926	0.000394446	0.00430606	0.0023388	0.106121	0.272207	0.352634	0.255107
ώ	0.00473958	0.000678515	0.0038403	0.0108539	0.0838632	0.120027	0.700548	0.07545
ω	0.000140824	0.000490418	0.00222274	0.0104248	0.0501729	0.0280654	0.77284	0.135643
l	0.000791809	0.00280517	0.0120664	0.0192919	0.0677449	0.203125	0.21751	0.476664
á	0.0030841	0.00496338	0.0144924	0.0187985	0.0492864	0.124934	0.321371	0.463071
w	0.00542585	0.000767583	0.00860815	0.00346805	0.0857003	0.5429	0.149372	0.203758
a	0.0132433	0.000974685	0.00886109	0.0116396	0.0965408	0.366611	0.339556	0.162573
</S>	0.00150671	0.000509396	0.00277425	0.00382955	0.0741769	0.158694	0.360202	0.398306
