 	il	n'	aime	pas	cet	homme	</S>
w	0.783407	0.161853	0.00777322	0.0254751	0.0167912	0.00386755	0.000833414
a	0.760572	0.138403	0.00617601	0.0292856	0.0490217	0.0156432	0.000898668
a	0.260494	0.46534	0.0538068	0.0857535	0.0781664	0.00425298	0.0521865
d	0.111668	0.449537	0.267497	0.051526	0.0273459	0.0230656	0.069361
i	0.031172	0.293767	0.21558	0.0387585	0.00806616	0.00365746	0.408999
p	0.0268175	0.168216	0.182978	0.189916	0.0386583	0.0106709	0.382742
ó	0.00679872	0.031139	0.885855	0.0438326	0.00532026	0.00149334	0.0255605
s	0.0252129	0.104679	0.767786	0.0404777	0.0125544	0.00290194	0.0463885
á	0.00381128	0.0272642	0.72847	0.182432	0.0170676	0.0021285	0.0388266
m	0.16331	0.125335	0.218225	0.301097	0.119012	0.0314151	0.0416059
o	0.0706559	0.09965	0.0314625	0.134044	0.336609	0.0580451	0.269533
r	0.00642871	0.0627147	0.0841381	0.436101	0.27523	0.0830992	0.0522877
o	0.0422879	0.110808	0.0517972	0.356123	0.267959	0.0549337	0.116091
w	0.0104322	0.0374236	0.0282637	0.279792	0.249848	0.0269352	0.367305
ó	0.0576557	0.0619019	0.130883	0.364373	0.340725	0.0197731	0.0246884
k	0.00949411	0.0268888	0.0449445	0.353764	0.42807	0.0683155	0.0685227
a	0.00868363	0.0118696	0.120914	0.191277	0.0996332	0.300606	0.267016
á	0.00212131	0.001684	0.0589487	0.0448854	0.0195473	0.166759	0.706054
</S>	0.00380605	0.0105501	0.00674872	0.047936	0.125103	0.0937484	0.712107
