 	il	écrivait	sa	lettre	calmement	</S>
w	0.911412	0.0754938	0.0075859	0.00497413	0.000492355	4.1914e-05
a	0.929719	0.014202	0.0365837	0.0176242	0.00184299	2.80499e-05
á	0.616799	0.29871	0.0389724	0.0316105	0.00792146	0.00598647
d	0.0634653	0.853656	0.0365989	0.0207471	0.00394236	0.0215899
z	0.0157267	0.655574	0.0311914	0.0234345	0.00379727	0.270276
e	0.115411	0.757908	0.0934186	0.0175047	0.00216134	0.0135964
l	0.0352072	0.274619	0.253182	0.0727605	0.0271764	0.337055
á	0.0646302	0.263903	0.220196	0.117245	0.0394502	0.294576
a	0.232057	0.126134	0.362612	0.206851	0.0234621	0.0488835
k	0.0062862	0.313254	0.539176	0.0958642	0.0305168	0.0149024
y	0.00159279	0.215178	0.603972	0.0822223	0.0496678	0.0473671
έ	0.00251088	0.399842	0.49084	0.0634951	0.0198734	0.023439
m	0.00294519	0.400005	0.268186	0.0946999	0.0445346	0.189629
b	0.00328113	0.0365113	0.378881	0.244729	0.14498	0.191617
έ	0.0358093	0.0939614	0.489169	0.155832	0.117745	0.107484
l	0.0094635	0.0272994	0.321662	0.328392	0.239399	0.073784
e	0.00689189	0.0177321	0.129353	0.385279	0.296934	0.16381
k	0.00506087	0.00976117	0.0869341	0.311007	0.342038	0.245199
á	0.00177716	0.00945762	0.122159	0.156405	0.65846	0.0517417
s	0.00133829	0.00200331	0.059924	0.131785	0.607364	0.197585
i	0.000653518	0.0104891	0.0655458	0.24805	0.364665	0.310597
f	0.000535491	0.0121138	0.0274378	0.111449	0.241978	0.606486
έ	0.00620973	0.00631126	0.0568197	0.116192	0.629385	0.185082
l	0.000460818	0.000943137	0.0105122	0.0334005	0.542689	0.411994
έ	0.000245034	0.00260099	0.0167599	0.0732325	0.61145	0.295711
l	0.00216193	0.00520378	0.0173415	0.0859142	0.146043	0.743336
έ	0.0088303	0.0248307	0.0548762	0.136201	0.245472	0.52979
</S>	0.00294878	0.008473	0.0242091	0.0685745	0.171362	0.724433
