 	je	prépare	la	viande	à	la	sauce	d'	arachide	</S>
n	0.984662	0.000279543	0.00683528	0.00143949	0.00253231	0.001774	0.00122313	0.0011912	3.24465e-05	3.04765e-05
g	0.997435	5.40104e-06	0.000674809	0.00178538	4.96047e-05	1.82342e-05	3.74733e-06	9.1379e-06	1.72785e-05	1.41553e-06
á	0.979535	0.00105924	0.00551554	0.00964948	0.000917604	0.000541892	0.000176349	9.08403e-05	0.00249554	1.85668e-05
l	0.520697	0.0101284	0.0839348	0.0593316	0.0342711	0.0332842	0.0190807	0.0148555	0.026608	0.197809
í	0.498373	0.107399	0.073711	0.0539316	0.058684	0.0412015	0.0196917	0.0101845	0.0160747	0.120749
i	0.0281444	0.396574	0.135704	0.0166117	0.0923675	0.0689162	0.0449451	0.0295749	0.0646293	0.122534
l	0.00232653	0.983499	0.00395651	0.000307541	0.0015482	0.000902593	0.00101114	0.000446267	0.000563659	0.0054383
á	9.5467e-05	0.999103	0.00021877	3.65949e-06	0.000120204	5.41676e-05	6.70788e-05	7.68186e-06	4.78013e-05	0.000282174
m	0.00791855	0.864846	0.0453041	0.00515806	0.0114862	0.0145453	0.0120845	0.00451436	0.0106424	0.0235004
b	0.00370208	0.141493	0.537097	0.120501	0.0780242	0.0401781	0.0301232	0.0202988	0.00459657	0.0239855
á	0.0175819	0.0071297	0.468242	0.16252	0.112651	0.0693669	0.0497771	0.0131099	0.00172085	0.0979009
n	0.00403944	0.00116768	0.531278	0.279365	0.0698005	0.0562617	0.0326931	0.0173632	0.0047362	0.00329517
y	0.0098419	0.00105197	0.470272	0.464345	0.0149582	0.0150634	0.00661366	0.00298358	0.00765707	0.00721323
a	0.0070691	0.000439173	0.121215	0.803835	0.0161903	0.0108403	0.00645216	0.00154191	0.0274262	0.00499082
m	0.000577643	0.0157452	0.340273	0.0786326	0.143174	0.117222	0.134086	0.0270878	0.0699023	0.0733005
a	0.000818112	0.00105154	0.108392	0.0304625	0.515646	0.152637	0.0624456	0.0313959	0.0152293	0.0819214
s	0.00144505	0.000368399	0.0388669	0.0625932	0.256421	0.242295	0.130486	0.166617	0.0307998	0.0701076
é	0.00102017	0.00327142	0.0484884	0.0648024	0.176753	0.139856	0.0576804	0.0804432	0.289492	0.138193
m	0.000634146	0.0010307	0.012376	0.0255221	0.0941665	0.107504	0.0854775	0.0974194	0.484936	0.0909329
b	6.89292e-05	0.000367985	0.0102002	0.0183575	0.162632	0.176447	0.178587	0.127382	0.244281	0.0816757
ώ	5.03646e-05	3.66624e-05	0.0283855	0.035683	0.108964	0.282522	0.395076	0.0400061	0.037435	0.0718415
t	1.12014e-05	2.10889e-05	0.0190072	0.00873327	0.092129	0.159707	0.447827	0.129017	0.0342665	0.109281
ώ	0.00135055	0.000443711	0.011259	0.0152986	0.126638	0.0752996	0.290887	0.0978107	0.0249209	0.356092
</S>	0.000322861	5.24458e-05	0.00701795	0.00693071	0.045841	0.0579202	0.275275	0.13318	0.0904258	0.383034
