 	ils	font	une	botte	avec	la	paille	de	riz	</S>
b	0.857211	0.0477158	0.0195663	0.00741566	0.0312447	0.0236563	0.00112096	0.0112093	0.000845382	1.50209e-05
á	0.820016	0.158991	0.00916313	0.00166413	0.00388483	0.0015937	0.000201055	0.00311351	0.00133089	4.2704e-05
a	0.887965	0.101852	0.00437813	0.00045274	0.00159006	0.00105979	0.000183873	0.000774107	0.000769949	0.000974813
b	0.539421	0.30595	0.0600848	0.0111351	0.0112811	0.00843508	0.000767944	0.0106542	0.00172623	0.0505452
á	0.235846	0.687396	0.0382189	0.00322254	0.0080132	0.00340989	0.000571637	0.0172879	0.00266988	0.0033634
a	0.259092	0.321698	0.124675	0.0352001	0.0372321	0.0270218	0.00292469	0.0224137	0.0161391	0.153604
k	0.0205188	0.454043	0.353595	0.106056	0.00564292	0.00888601	0.00588623	0.00244638	0.00141578	0.0415094
a	0.0147084	0.567295	0.237108	0.126405	0.00788963	0.00993767	0.0168583	0.00284273	0.00198251	0.0149727
n	0.00580171	0.297769	0.416522	0.224251	0.00658518	0.0100239	0.0138477	0.00197838	0.00117076	0.0220503
á	0.00563623	0.331912	0.446721	0.106455	0.0228972	0.0237884	0.0150774	0.00779808	0.000699546	0.0390153
p	0.0120437	0.0899769	0.282951	0.474604	0.0851048	0.0274425	0.00907621	0.0102479	0.000688467	0.0078652
f	0.00963578	0.0229594	0.145509	0.59164	0.0701768	0.0269394	0.121619	0.00340463	0.00130327	0.00681303
ú	0.000144081	0.00519527	0.181677	0.550836	0.0714696	0.0771988	0.106071	0.00241544	0.000383384	0.00460928
u	0.000181621	0.00433509	0.112025	0.554286	0.140629	0.096071	0.0787775	0.00784376	0.000232315	0.00561857
l	7.33426e-05	0.0012934	0.053598	0.122857	0.371755	0.349438	0.0482444	0.035539	0.000922182	0.0162795
ú	0.000425961	0.00471566	0.0568859	0.0726911	0.209796	0.291837	0.0745312	0.0799389	0.0231763	0.186001
y	0.000517414	0.0027613	0.0366918	0.057093	0.22465	0.368212	0.149871	0.0656965	0.0404602	0.0540466
á	0.000377802	0.00141473	0.0391231	0.0761213	0.189453	0.267242	0.248754	0.0579661	0.0485662	0.0709819
l	0.0012883	0.00349357	0.0130446	0.0223704	0.162406	0.228496	0.375504	0.104509	0.0722676	0.0166208
ώ	0.000673014	0.00183206	0.0153711	0.0125037	0.0658361	0.19103	0.131546	0.0576168	0.403313	0.120279
s	0.000113667	0.000310349	0.00410337	0.0125821	0.0562042	0.0988871	0.371021	0.0632862	0.3459	0.0475922
ω	2.52311e-05	0.000256439	0.00684785	0.0147061	0.0312469	0.10367	0.549805	0.0279699	0.203966	0.061506
m	5.6368e-05	0.000862129	0.00817399	0.0166997	0.0497589	0.150638	0.366325	0.212662	0.0584401	0.136384
í	0.00123612	0.00300447	0.0129053	0.00529596	0.098482	0.125917	0.0756777	0.269165	0.0179074	0.390409
b	0.000246915	0.00303235	0.00869535	0.00963315	0.0701795	0.203067	0.0761117	0.377393	0.0687427	0.182898
o	0.00850707	0.0219485	0.0170121	0.0109752	0.125415	0.143055	0.165814	0.232857	0.193393	0.081023
l	0.000778597	0.0111973	0.0108654	0.010796	0.0310745	0.0744578	0.563312	0.0997064	0.0807778	0.117035
o	0.000491534	0.00306256	0.0116365	0.0215063	0.0410758	0.159541	0.219305	0.141313	0.111992	0.290076
</S>	0.000151043	0.00100037	0.00331844	0.00392368	0.0179738	0.0522802	0.0127488	0.217333	0.193087	0.498183
