 	les	enfants	ont	ruiné	son	véhicule	</S>
b	0.437789	0.560888	0.000404516	2.64911e-06	0.00064727	0.000194978	7.39098e-05
á	0.0371815	0.961268	0.000752562	3.11029e-06	0.00071229	4.35722e-05	3.86577e-05
n	0.083522	0.914539	0.00098798	4.00217e-05	0.000729105	0.000107659	7.485e-05
a	0.341819	0.632842	0.00239286	0.000229093	0.0125243	0.000986626	0.00920621
á	0.263967	0.070383	0.527889	0.0115072	0.0785988	0.00146885	0.0461856
m	0.00691989	0.00122166	0.603845	0.346696	0.0247213	0.00367663	0.0129189
i	0.00505835	0.00226265	0.885011	0.0815723	0.0132889	0.00179301	0.011014
d	0.000661106	0.000310537	0.141009	0.851623	0.00136208	0.00194509	0.00309015
z	0.000939088	3.30155e-05	0.0633744	0.926606	0.0020996	0.00182635	0.00512196
o	0.00495413	0.000364418	0.0823516	0.90335	0.00209243	0.00147549	0.00541147
s	0.017492	0.00264144	0.135659	0.8045	0.017398	0.00300158	0.0193079
á	0.0140765	0.000121827	0.0343778	0.857162	0.0259187	0.00988323	0.0584604
á	0.0397105	0.000915032	0.139906	0.207422	0.594564	0.00198618	0.0154965
w	0.00933084	0.00120068	0.0678247	0.109974	0.787361	0.00375061	0.0205581
á	0.0669535	0.0353298	0.0591782	0.00430794	0.691938	0.0353795	0.106913
o	0.0147105	0.00503663	0.0256696	0.0152469	0.745435	0.0365821	0.157319
t	0.00140677	0.000409573	0.00968096	0.442328	0.162437	0.332802	0.0509364
ω	0.000308448	4.5115e-05	0.000530067	0.0161116	0.00719882	0.957585	0.018221
m	0.000329377	8.62969e-05	0.0018753	0.0194145	0.0149836	0.919719	0.0435917
b	0.00277831	8.26165e-05	0.00032523	0.00231179	0.0207086	0.727903	0.245891
í	0.00338565	0.000275125	0.000889703	0.00469417	0.0348116	0.758211	0.197732
l	0.0259336	0.000475394	0.003576	0.000785567	0.255408	0.268803	0.445018
i	0.046667	0.000920362	0.00295	0.0078988	0.217642	0.406132	0.31779
</S>	0.00393063	7.70976e-05	0.00692844	0.000380635	0.280563	0.0226303	0.68549
