 	pour	quel	intérêt	tisses-tu	des	nasses	</S>
n	0.881321	0.1118	0.000597237	0.00260951	0.0012919	0.00195516	0.000425041
ω	0.333478	0.654118	0.00237196	0.00144332	0.00468649	0.00281914	0.00108303
l	0.36722	0.579167	0.0180019	0.00322436	0.0045434	0.0168124	0.0110311
ó	0.118947	0.118573	0.0820055	0.0395023	0.0599688	0.04629	0.534713
o	0.396013	0.131149	0.109703	0.0566556	0.0693931	0.0427656	0.194321
t	0.0018116	0.0144562	0.937238	0.0385444	0.00260454	0.00171329	0.0036323
ó	0.000685329	0.00665309	0.962511	0.024901	0.000971133	0.000882588	0.0033957
n	0.00208051	0.0225958	0.659003	0.205428	0.044468	0.0458522	0.0205725
g	0.0278548	0.0942208	0.356299	0.33416	0.0977008	0.0365585	0.0532061
á	0.0574484	0.139977	0.351765	0.269175	0.0843043	0.0552068	0.0421232
i	0.0538216	0.0128643	0.00677041	0.21533	0.495168	0.120086	0.0959598
k	0.00221751	0.00360509	0.00283905	0.211765	0.186586	0.519995	0.0729924
ω	0.000833874	0.00180147	0.00238813	0.413918	0.0511738	0.485903	0.0439819
n	9.82299e-05	0.000585297	0.00229223	0.391419	0.084341	0.459727	0.0615371
y	0.0017848	0.00246011	0.00326392	0.584162	0.0595143	0.220465	0.12835
i	0.00253672	0.00439066	0.0136738	0.487246	0.102454	0.144374	0.245325
p	0.00115167	0.000615681	0.000646397	0.0484903	0.201768	0.114442	0.632886
y	0.0509838	0.0120585	0.00376558	0.10947	0.176109	0.426702	0.220911
e	0.00977457	0.00065979	0.000648072	0.0369477	0.138648	0.650504	0.162818
l	0.000631442	0.000183918	0.000953865	0.0372038	0.165567	0.307738	0.487722
í	0.000891999	0.001403	0.00662236	0.025884	0.0923489	0.334137	0.538713
n	0.00152704	0.00143493	0.00261544	0.0206854	0.150587	0.171031	0.652119
d	0.0215907	0.00956609	0.00360155	0.0189671	0.0877261	0.261369	0.59718
e	0.00427502	0.00354119	0.00300674	0.00609607	0.0211318	0.227014	0.734935
</S>	0.000149317	0.000232648	0.000754293	0.0183178	0.0582005	0.25012	0.672226
