 	l'	enfant	a	renversé	l'	eau	qui	était	dans	la	marmite	</S>
m	0.680492	0.313446	0.00109331	7.77656e-05	0.00232955	0.000809138	0.00092036	3.58728e-05	0.000279374	0.000424247	3.59868e-05	5.69209e-05
w	0.00521524	0.975071	0.0116194	0.000633135	0.000664438	0.00273948	0.000463783	0.000196963	0.00144431	0.00143677	2.65957e-05	0.00048882
á	0.00299935	0.996206	4.57041e-05	7.34575e-05	0.000141358	0.000311767	1.14658e-05	4.29242e-06	5.75462e-06	8.46645e-06	0.000190933	1.20806e-06
n	0.128204	0.868543	0.000292787	0.000138264	0.000507823	0.00175593	7.85484e-05	4.02009e-05	5.95873e-05	4.45154e-05	0.000104274	0.000231217
a	0.120577	0.498802	0.149789	0.0175944	0.026023	0.0513478	0.0164395	0.0325903	0.0201298	0.0078084	0.000595042	0.0583035
á	0.598385	0.0983424	0.226741	0.0135562	0.0184149	0.00718773	0.0136408	0.00558676	0.00554142	0.00327086	0.000206569	0.00912637
m	0.0270058	0.00956408	0.501188	0.365974	0.00484033	0.00162855	0.0144414	0.0443286	0.0223603	0.00216478	0.000603823	0.0059012
i	0.00967436	0.00311388	0.589652	0.284831	0.0290487	0.00984784	0.0251249	0.0343466	0.00694192	0.0017712	0.00018593	0.00546114
p	0.000496746	0.000423194	0.0153149	0.956832	0.00325779	0.000755622	0.00313225	0.0160213	0.00208581	0.00035187	0.000147803	0.00118117
f	0.000468847	4.33176e-05	0.0124176	0.962766	0.00575761	0.000764225	0.00449367	0.00898467	0.000727778	0.00018186	0.000262337	0.0031324
u	0.000375162	0.000121213	0.00413302	0.946913	0.00625666	0.000348547	0.00796599	0.0255287	0.0032231	0.000231938	0.00057355	0.0043288
á	0.00492716	0.00606375	0.00877926	0.737061	0.12545	0.0136613	0.029686	0.0307852	0.0137821	0.00392689	0.00871339	0.0171637
m	0.00793486	0.00105771	0.014589	0.0141823	0.356469	0.417567	0.133712	0.0191323	0.014942	0.0132281	0.0026945	0.00449119
á	0.0031408	0.00754623	0.0024438	0.015764	0.105514	0.647173	0.0884676	0.0293037	0.0480633	0.0210419	0.00653399	0.0250077
a	0.00525309	0.00161621	0.007774	0.00690213	0.120463	0.530956	0.215778	0.0631917	0.0235862	0.0135277	0.00394156	0.00700973
m	0.000380402	0.000144476	0.00932019	0.0225607	0.0551966	0.0837758	0.421165	0.20521	0.16423	0.0165629	0.0051886	0.0162656
á	0.00263458	0.000449864	0.00422973	0.00467492	0.0629956	0.267164	0.245419	0.171995	0.146996	0.0385411	0.00166949	0.0532312
á	0.00139918	0.000153791	0.00397043	0.00553985	0.0455368	0.0581779	0.258045	0.358704	0.142937	0.0446712	0.0310492	0.0498162
d	0.000959416	3.42102e-05	0.00753227	0.00251332	0.00396638	0.00630841	0.0596649	0.254288	0.535269	0.0639469	0.0200035	0.0455133
z	0.000396741	3.92743e-05	0.00122292	0.000379273	0.00199411	0.0039901	0.0267773	0.51204	0.372098	0.0155806	0.00288643	0.0625948
e	0.00232981	0.00078696	0.00163897	0.00261107	0.0649228	0.0467811	0.0951888	0.353587	0.148962	0.110215	0.0774395	0.095537
s	0.00107491	8.2737e-05	0.00146378	0.00334985	0.0203032	0.0181379	0.0515721	0.243212	0.490634	0.0715777	0.0153531	0.0832383
á	0.0024648	0.000123579	0.000525616	0.00514092	0.0121097	0.0104454	0.0331831	0.185438	0.233522	0.0961368	0.139056	0.281854
n	0.00337517	3.17645e-05	0.0006432	0.00310209	0.0121877	0.0139486	0.0321152	0.0610067	0.100713	0.153011	0.484374	0.135492
d	0.000376967	8.58874e-05	2.30291e-05	7.81247e-06	0.00189236	0.00834186	0.0010881	0.00072924	0.00855324	0.156642	0.797391	0.0248691
z	8.89435e-05	0.000103926	6.82304e-05	4.60574e-06	0.000729243	0.00299442	0.000510768	0.000199722	0.00143476	0.0637954	0.906339	0.0237305
ú	2.65254e-06	4.86666e-06	5.21239e-06	3.69067e-05	0.000430767	0.000662011	0.000550835	0.00252524	0.00668169	0.0332711	0.935951	0.019878
n	8.17739e-05	0.000199268	5.67757e-06	3.34193e-05	0.00210781	0.00280497	0.000543412	0.000972881	0.00580425	0.0196865	0.825501	0.142259
g	1.67073e-05	3.55693e-05	7.32148e-05	0.000256354	0.00177033	0.00172482	0.00915572	0.0150522	0.0708062	0.196799	0.424952	0.279358
u	1.55818e-05	1.96234e-05	2.40206e-05	7.42096e-05	0.000786502	0.000872743	0.00198264	0.00162708	0.0071398	0.0603367	0.794245	0.132876
</S>	0.000132313	4.35643e-05	0.000780991	0.000135712	0.00194395	0.00265648	0.0178635	0.00980315	0.070159	0.22569	0.0403214	0.63047
