 	c'	est	ma	grand-mère	qui	m'	a	élévé	</S>
k	0.278757	0.269599	0.102489	0.246612	0.0750756	0.0136713	0.0118029	2.37175e-05	0.00197017
a	0.0472329	0.214602	0.0528894	0.563425	0.0867196	0.0238493	0.00571681	0.000351768	0.00521357
a	0.014512	0.271268	0.0371149	0.341791	0.0999198	0.0947204	0.0176499	0.00256164	0.120462
g	0.0956505	0.233409	0.164336	0.14768	0.0519924	0.0344864	0.067838	0.00402794	0.200579
h	0.0215003	0.082791	0.156525	0.191444	0.180159	0.100346	0.056714	0.00160668	0.208914
á	0.0133155	0.0602929	0.328799	0.145422	0.159437	0.186474	0.0296898	0.00989946	0.0666715
m	0.0546907	0.0428401	0.239269	0.295111	0.159161	0.0909264	0.0422161	0.027729	0.0480564
o	0.0963697	0.0634522	0.0802661	0.164499	0.495754	0.0579361	0.0276615	0.00112248	0.0129392
r	0.0440686	0.0436356	0.0915216	0.584826	0.190091	0.0115634	0.0168163	0.0106627	0.0068147
o	0.0365036	0.0429236	0.0965621	0.447703	0.353551	0.00517877	0.000721621	0.00564873	0.0112081
y	0.0322917	0.0459525	0.206374	0.239361	0.297111	0.0922818	0.0470876	0.015074	0.0244669
a	0.0945282	0.0547654	0.249422	0.263482	0.260119	0.0232457	0.0240208	0.0221954	0.00822078
a	0.018555	0.0120909	0.25655	0.155735	0.239834	0.141044	0.0771764	0.0844097	0.0146051
y	0.00405264	0.00909111	0.021332	0.0191289	0.039255	0.13301	0.125238	0.602751	0.0461406
ó	0.000834686	0.00135166	0.0109563	0.00558614	0.00836823	0.0179035	0.0368052	0.913395	0.00479898
l	0.000207489	0.000449847	0.00456826	0.0150347	0.00573944	0.00404089	0.0123306	0.945457	0.0121719
í	0.00171041	0.00697754	0.0644772	0.027221	0.0225549	0.026854	0.0455754	0.739698	0.0649317
s	0.00438592	0.00808414	0.101432	0.0715961	0.0935248	0.166543	0.235772	0.0829595	0.235702
á	0.00474681	0.00586258	0.0202462	0.0194914	0.0397327	0.141626	0.256207	0.290798	0.221289
n	0.00582352	0.00515147	0.113288	0.0341984	0.128896	0.441195	0.111124	0.0161289	0.144195
g	0.000705889	0.00123948	0.0799389	0.0120021	0.0644373	0.747277	0.0135014	0.0101196	0.0707779
á	0.000458655	0.00172261	0.0822092	0.0125512	0.0771046	0.711403	0.0331282	0.0265452	0.0548771
</S>	0.00719538	0.00721543	0.0287792	0.0675602	0.120804	0.0804657	0.0786286	0.0135118	0.59584
