 	il	faut	que	cela	soit	bien	cuit	</S>
k	0.368939	0.243782	0.135533	0.182417	0.0472314	0.0134592	0.00340882	0.00523013
á	0.240296	0.489001	0.0618669	0.0747912	0.00995014	0.0154274	0.0770646	0.0316029
a	0.112137	0.336587	0.115046	0.149965	0.0598066	0.0375194	0.0521914	0.136747
b	0.151148	0.204442	0.324967	0.166983	0.0504663	0.0187008	0.0119289	0.0713639
í	0.0459511	0.148208	0.245645	0.327637	0.136625	0.0138295	0.0123133	0.0697924
a	0.0958842	0.14391	0.198734	0.160703	0.118604	0.0195824	0.0309198	0.231662
b	0.0248887	0.101231	0.232855	0.176246	0.0693203	0.197695	0.0379687	0.159795
í	0.0350259	0.0753108	0.0999718	0.272293	0.300606	0.0680644	0.060786	0.0879427
i	0.0173882	0.138367	0.120953	0.111801	0.216064	0.098209	0.0616479	0.23557
b	0.00292046	0.0212945	0.046368	0.0692053	0.140039	0.442777	0.0564983	0.220898
h	0.00453712	0.0281471	0.0546371	0.138157	0.274726	0.255328	0.100299	0.144167
í	0.0121555	0.0484562	0.139044	0.192256	0.163759	0.277707	0.0517621	0.11486
á	0.00440393	0.0202299	0.0740897	0.0704445	0.132086	0.237061	0.0844267	0.377258
ω	0.0090549	0.0108641	0.0629517	0.121368	0.0220403	0.40021	0.237167	0.136344
b	0.00151778	0.00528976	0.0053463	0.0105016	0.034057	0.113652	0.773937	0.0556977
v	0.00367853	0.0186659	0.0137336	0.0253783	0.138422	0.289633	0.451163	0.0593256
έ	0.000916287	0.0055807	0.0196668	0.0793966	0.111531	0.485644	0.213546	0.0837194
</S>	0.000315734	0.000845287	0.00631929	0.0209974	0.0114155	0.113293	0.10173	0.745083
