 	il	est	arrivé	au	bout	de	quelques	minutes	</S>
w	0.758406	0.147962	0.030798	0.0193393	0.0173454	0.0175267	0.00569574	0.00235771	0.00056869
a	0.602903	0.158701	0.0161513	0.0426754	0.074599	0.0711071	0.027252	0.00606182	0.000548376
á	0.074133	0.524049	0.207387	0.0713623	0.0322651	0.0398451	0.0241026	0.00695607	0.0198997
y	0.0295741	0.353731	0.479788	0.0481542	0.0153432	0.0116897	0.0280852	0.0109819	0.0226535
ε	0.0264696	0.165393	0.391488	0.0682136	0.0595525	0.01484	0.0541094	0.00945648	0.210477
i	0.010095	0.0943995	0.496081	0.21761	0.0853947	0.0209752	0.0291194	0.00454552	0.0417798
ó	0.0327144	0.0815611	0.113556	0.321039	0.298214	0.0811979	0.0278772	0.00690972	0.0369298
n	0.00584762	0.0392664	0.138389	0.276612	0.342882	0.111222	0.0367598	0.0288525	0.0201702
g	0.0541312	0.0413957	0.0680693	0.173073	0.271329	0.0596564	0.00996138	0.0711862	0.251198
o	0.0343016	0.046015	0.0992507	0.245744	0.323871	0.0944953	0.00654798	0.0692933	0.08048
l	0.00049343	0.00259555	0.00767682	0.0421545	0.0807028	0.0402215	0.00898251	0.571555	0.245618
o	0.00829563	0.0138616	0.0288433	0.210295	0.30885	0.281912	0.00847332	0.0622428	0.0772265
y	0.00741927	0.0463559	0.0913159	0.13659	0.166212	0.251214	0.0703563	0.0964851	0.134052
á	0.0277398	0.0357819	0.0465372	0.177302	0.267577	0.241998	0.150293	0.0264132	0.0263583
b	0.0117227	0.0160997	0.023299	0.0771375	0.202947	0.207511	0.353454	0.0746319	0.0331982
e	0.0747615	0.0657411	0.0288988	0.131361	0.227758	0.244523	0.113481	0.0684135	0.0450626
á	0.00215207	0.00992204	0.0226117	0.117181	0.0891	0.231207	0.0729405	0.179747	0.275139
a	0.00117246	0.00621064	0.00868679	0.0156741	0.0408698	0.104778	0.507062	0.1247	0.190847
m	0.00100267	0.022544	0.0362811	0.0400668	0.0350879	0.0557529	0.429687	0.320275	0.0593026
i	0.000632386	0.00576781	0.00218495	0.0179973	0.0386189	0.030827	0.637729	0.130491	0.135751
n	5.26177e-05	0.00100038	0.0028529	0.0150819	0.0116035	0.0130232	0.105871	0.579184	0.27133
í	0.000217199	0.000438856	0.000665743	0.00361465	0.00766643	0.00455615	0.0171835	0.731893	0.233765
t	4.09639e-05	0.000501321	0.00150246	0.00496682	0.00732777	0.0172642	0.0317883	0.376778	0.55983
i	0.00281925	0.0126972	0.0229661	0.0574564	0.0798607	0.161863	0.211559	0.185699	0.265079
</S>	0.000100563	0.000730835	0.00216416	0.00652739	0.0107115	0.0385886	0.048302	0.129569	0.763306
