 	il	brave	le	danger	</S>
w	0.93431	0.0579542	0.00740243	0.00025728	7.59547e-05
a	0.909132	0.0513793	0.0389975	0.000385133	0.000106286
l	0.739094	0.128097	0.105258	0.00362614	0.0239252
á	0.40703	0.078147	0.178902	0.0118342	0.324087
a	0.563816	0.162538	0.0731419	0.0129771	0.187527
f	0.0550958	0.778304	0.0949947	0.037073	0.0345322
u	0.0184954	0.909369	0.0526274	0.00775809	0.0117498
s	0.0117614	0.972754	0.00933862	0.00243364	0.00371229
á	0.130901	0.491518	0.251934	0.0167113	0.108937
e	0.0575904	0.0174092	0.898632	0.0184088	0.00795978
b	0.0145264	0.0913487	0.496729	0.351045	0.0463506
é	0.0195679	0.0470151	0.648696	0.195756	0.088965
e	0.00707091	0.0299903	0.494999	0.15883	0.30911
y	0.0164194	0.00583465	0.623714	0.198696	0.155336
í	0.0238181	0.0132642	0.330714	0.283778	0.348426
p	0.0103971	0.00440911	0.131132	0.559377	0.294685
έ	0.00302169	0.00751555	0.0387498	0.825704	0.125009
ε	0.000492925	0.00186413	0.0491732	0.781196	0.167274
l	0.00279306	0.00254701	0.0812586	0.359146	0.554255
á	0.00424604	0.00654454	0.0430031	0.42254	0.523666
k	0.0253323	0.00430171	0.0663718	0.601881	0.302113
í	0.000504704	0.00330401	0.00994269	0.839873	0.146375
n	0.000381884	0.00115157	0.00646545	0.633284	0.358717
g	0.000603175	0.0168124	0.00600013	0.439564	0.53702
í	0.00344703	0.00635919	0.00659735	0.53354	0.450056
</S>	0.0123886	0.0059662	0.101059	0.241584	0.639003
