 	l'	enfant	a	sali	l'	habit	avec	le	jus	de	de	tswiteke	</S>
m	0.616777	0.375944	0.00145815	0.00125068	0.00243289	0.000825401	0.000581754	0.000277131	2.42672e-05	0.000159763	0.00024102	4.68367e-06	2.36802e-05
w	0.00788121	0.987599	0.00270862	0.000388048	0.000140607	0.000161702	0.00020303	0.000141712	6.17945e-05	0.000197691	0.000309794	1.93087e-05	0.000187607
á	0.0017951	0.99812	1.65484e-05	1.24131e-05	2.30723e-05	1.79119e-05	5.47416e-06	3.65203e-06	2.90693e-06	8.22779e-07	1.13669e-06	5.86641e-07	3.11177e-07
n	0.0919288	0.907104	0.000412833	2.11684e-05	0.000176204	3.49705e-05	0.000122941	6.16815e-05	1.11774e-05	3.96119e-05	2.51118e-05	1.7607e-06	5.94172e-05
a	0.167011	0.732544	0.0491917	0.00256038	0.00711183	0.0057304	0.00518037	0.00607272	0.00760808	0.00255262	0.0013611	0.000323893	0.0127523
á	0.680754	0.0304882	0.17112	0.0183078	0.0173596	0.00361307	0.010129	0.00817683	0.00587056	0.0171287	0.0151216	0.00105381	0.0208768
m	0.0443872	0.00832103	0.510023	0.327795	0.0255252	0.0161783	0.00918996	0.00627528	0.0067633	0.0144313	0.0095476	0.00613701	0.0154264
i	0.0086358	0.00440727	0.501658	0.39543	0.051108	0.0136106	0.00563718	0.00346446	0.00257259	0.00349086	0.00218559	0.000451319	0.00734868
b	0.00668552	0.00259512	0.0926898	0.78734	0.0251606	0.048748	0.00311444	0.00274542	0.00576108	0.00427206	0.00196992	0.00498234	0.0139353
é	0.00302034	0.000535179	0.0663489	0.853531	0.0301422	0.0178407	0.00912991	0.00588211	0.00354805	0.00230085	0.00072711	0.000304655	0.00668872
b	0.00611163	0.000299549	0.0353666	0.838993	0.0369445	0.0611377	0.00471817	0.00346375	0.00134126	0.00159985	0.000410802	0.000965536	0.00864755
h	0.0457586	0.000705744	0.0180695	0.752	0.132405	0.0204253	0.0110905	0.00766825	0.00162217	0.00291324	0.000853275	0.000341951	0.00614667
í	0.00967022	0.00123721	0.00611365	0.830813	0.0750407	0.00873583	0.00680445	0.00762387	0.00734085	0.00405729	0.00273444	0.00363082	0.0361975
s	0.0163633	0.00120427	0.0292963	0.319337	0.57301	0.0140281	0.0163041	0.00594813	0.00127382	0.00350205	0.00191549	0.000251168	0.0175662
á	0.0361085	5.33273e-05	0.00249824	0.220154	0.60588	0.0508553	0.0213733	0.0143634	0.0178062	0.0113378	0.00561577	0.000681605	0.0132734
o	0.011742	0.00091622	0.00319522	0.00543489	0.724693	0.178215	0.0355123	0.0143617	0.0128385	0.00608483	0.00523203	0.000636124	0.00113823
k	0.000480491	7.31276e-05	0.000268972	0.00756025	0.0259165	0.925928	0.0130569	0.00624482	0.0111706	0.00265062	0.000597025	0.0043967	0.00165622
á	0.000129686	0.000151102	0.00057672	0.0106346	0.0242057	0.894334	0.0190972	0.0165148	0.0111863	0.00544716	0.00158184	0.00836846	0.00777237
n	0.00205608	3.98102e-05	0.00291832	0.100733	0.0809022	0.570114	0.0507969	0.036243	0.0171249	0.0123143	0.00444867	0.0397251	0.0825847
d	0.00309608	4.9745e-05	0.0163189	0.0656797	0.162889	0.363273	0.106047	0.0511092	0.00497224	0.0293314	0.0110212	0.00449987	0.181713
á	0.0170813	0.000774947	0.0146068	0.0613084	0.120713	0.330306	0.0713989	0.04717	0.00719241	0.0198009	0.00779181	0.0203949	0.281461
m	0.0135424	0.000680085	0.00470571	0.00442941	0.0327657	0.0324471	0.297508	0.260193	0.102143	0.139803	0.0690444	0.00476171	0.0379756
ó	0.00437966	0.00182314	0.0021021	0.000500362	0.0070186	0.00436464	0.216525	0.330836	0.233459	0.107784	0.0546147	0.00225962	0.034333
m	0.000942629	0.000431415	0.00280345	0.00112638	0.0159119	0.0329865	0.173538	0.351347	0.190869	0.144945	0.0522178	0.0212773	0.0116035
á	0.00137457	0.000221216	0.00183955	0.000695183	0.00532928	0.00732826	0.0793024	0.162085	0.617407	0.0683172	0.0278024	0.007628	0.0206706
