 	il	bâtit	une	maison	</S>
w	0.850703	0.0861757	0.0511617	0.0114896	0.000470007
a	0.880951	0.0691171	0.0428676	0.00636482	0.000699469
a	0.386387	0.46215	0.118879	0.00487427	0.0277101
t	0.0673084	0.695102	0.0792552	0.00453552	0.153799
ó	0.0130199	0.246045	0.163994	0.0127631	0.564178
n	0.0443722	0.221595	0.317443	0.0438249	0.372765
g	0.141685	0.418421	0.173373	0.162741	0.10378
í	0.0646095	0.340812	0.163954	0.376827	0.0537978
n	0.0969108	0.0318309	0.321784	0.45625	0.0932245
d	0.00145069	0.00863882	0.0710633	0.885988	0.0328591
é	0.00024415	0.00956701	0.0532623	0.906866	0.0300605
e	0.00550466	0.0900685	0.376413	0.17738	0.350634
</S>	0.00516773	0.00842986	0.154554	0.0318041	0.800045
