 	il	y	a	de	la	moelle	dans	l'	os	</S>
o	0.298733	0.250468	0.0911296	0.109882	0.0654827	0.0792295	0.0491907	0.0432105	0.00195162	0.0107223
s	0.0521421	0.0370803	0.0322821	0.0544655	0.101151	0.066084	0.217861	0.0591326	0.363316	0.0164855
ω	0.0035562	0.00866544	0.0347826	0.122337	0.239892	0.0202994	0.139196	0.0572732	0.308971	0.065026
ω	0.00551668	0.00769608	0.0265785	0.0904274	0.289828	0.115859	0.0681555	0.142325	0.220832	0.0327813
ó	0.0445837	0.0429287	0.144032	0.118448	0.159559	0.212919	0.120676	0.121934	0.00929043	0.0256283
d	0.00476484	0.0102871	0.0979325	0.110724	0.104495	0.075603	0.265775	0.209863	0.0727555	0.0477993
i	0.00143936	0.000830585	0.00983968	0.0466697	0.0766817	0.0121769	0.0987926	0.27581	0.0612978	0.416462
s	0.00258003	0.00363754	0.0438159	0.0716398	0.0528308	0.0538967	0.250325	0.282483	0.138009	0.100782
é	0.000840214	0.000690087	0.00616746	0.0333312	0.0715765	0.00992886	0.0528373	0.276941	0.2499	0.297787
b	0.00127988	0.000937238	0.00420664	0.00842934	0.0356551	0.013555	0.0224406	0.157316	0.656857	0.0993232
h	0.00949804	0.0187757	0.0265001	0.0903948	0.068266	0.0143828	0.0367626	0.134363	0.508132	0.0929247
e	0.00103799	0.000739389	0.00266553	0.0157171	0.0121349	0.00204935	0.0295706	0.0406268	0.763061	0.132397
s	0.000779168	0.00100902	0.00564605	0.0171757	0.0286071	0.00901734	0.0451942	0.124586	0.272545	0.49544
é	0.0207142	0.0112689	0.0258386	0.064228	0.0451868	0.0223304	0.0252604	0.124241	0.240647	0.420285
</S>	0.00421721	0.00715158	0.01428	0.0180353	0.0110174	0.00358266	0.0322963	0.121445	0.283877	0.504098
