 	n'	encourage	pas	l'	enfant	à	manger	comme	ça	</S>
o	0.926677	0.00971341	0.0107849	0.0240292	0.0197313	0.00588009	0.00120534	0.00182169	0.000126014	3.10318e-05
t	0.304359	0.610874	0.0129654	0.00621854	0.0114988	0.00956464	0.0211205	0.00652606	0.00353563	0.0133375
a	0.00627144	0.939146	0.00854409	0.00300728	0.0025854	0.00260101	0.0312386	0.00113009	0.00199557	0.00348102
a	0.020191	0.679362	0.030206	0.0197989	0.0075682	0.0285834	0.117797	0.0158848	0.0106041	0.0700049
w	0.665503	0.133069	0.0822856	0.0305029	0.0119749	0.0213977	0.0064216	0.010834	0.00167057	0.036341
á	0.0719493	0.0370629	0.0734815	0.0795514	0.0485584	0.106722	0.0518077	0.215702	0.0492099	0.265955
á	0.127809	0.0901052	0.0984653	0.130969	0.11378	0.0429708	0.0217209	0.0834658	0.022341	0.268373
o	0.0804248	0.0954788	0.373892	0.171863	0.0948536	0.0617042	0.0259979	0.0213691	0.0129726	0.0614443
k	0.0201871	0.456593	0.241436	0.042089	0.0770017	0.0423211	0.0895563	0.00724012	0.00830556	0.0152701
a	0.00212308	0.761824	0.162016	0.0105463	0.0141543	0.0106933	0.0306054	0.00118824	0.00138222	0.00546721
n	0.00422764	0.503648	0.311107	0.0512701	0.0553396	0.0171584	0.020256	0.00413625	0.00356469	0.0292922
d	0.0431137	0.241447	0.310224	0.170355	0.12026	0.02637	0.0117894	0.0117518	0.00301483	0.0616737
í	0.0746012	0.117102	0.269562	0.15103	0.0966486	0.0276738	0.00916744	0.0151057	0.00509899	0.234011
s	0.0258611	0.0368702	0.318813	0.336774	0.0812534	0.120686	0.0188667	0.0268481	0.00639655	0.0276314
í	0.00707119	0.0126177	0.189147	0.413304	0.126119	0.114105	0.0238129	0.0233225	0.0100985	0.080402
m	0.00402493	0.0015929	0.155023	0.507907	0.127593	0.155835	0.013033	0.0193859	0.00542218	0.0101829
w	0.000362469	0.000545201	0.0168807	0.0350786	0.64224	0.147379	0.0498203	0.0384419	0.0107812	0.0584712
á	0.000138988	0.000457344	0.00545681	0.00368048	0.960487	0.00786956	0.0122165	0.00247858	0.00227832	0.00493649
n	0.00245083	0.000446413	0.0219501	0.0802618	0.826667	0.0299905	0.00552051	0.0180494	0.00323179	0.0114315
a	0.00665778	0.00330126	0.0354922	0.260715	0.564243	0.0439608	0.0189817	0.0152784	0.00620878	0.045161
m	0.00695874	0.00637655	0.144021	0.284128	0.0663777	0.286764	0.150771	0.0350873	0.00917888	0.010337
í	0.00342162	0.00126148	0.0417971	0.0763912	0.0659814	0.173726	0.172695	0.208814	0.11604	0.139872
d	0.00065465	0.00192273	0.0501056	0.0376003	0.0251903	0.14566	0.480511	0.0653356	0.172846	0.0201735
z	0.00103411	0.00398058	0.0113128	0.00608882	0.0130356	0.0575279	0.375894	0.0316674	0.111739	0.38772
á	0.00184677	0.00109189	0.0108202	0.0090485	0.05054	0.0864665	0.575355	0.05798	0.0478517	0.159
a	0.000156895	0.00113276	0.0172136	0.010971	0.0162081	0.0703846	0.49009	0.0896829	0.212543	0.0916178
b	0.000802627	0.0011789	0.0217996	0.0164831	0.00326701	0.0580851	0.0366729	0.451968	0.225077	0.184665
v	0.00103344	0.00336133	0.0642321	0.015958	0.00618972	0.0299243	0.0662209	0.0813433	0.573441	0.158295
ú	0.000265421	0.00185831	0.0224957	0.0139754	0.0372331	0.038522	0.0848986	0.134228	0.499419	0.167104
u	0.000277664	0.000431196	0.0118188	0.00830412	0.00311832	0.0363382	0.182076	0.267137	0.285341	0.205158
</S>	0.000474593	0.000627593	0.00588484	0.00281034	0.00184402	0.0394866	0.0624546	0.236979	0.350943	0.298495
