 	a	qui	appartient	l'	enfant	qui	a	vomi	sur	mon	lit	</S>
o	0.199548	0.137226	0.162492	0.214447	0.0748909	0.0769996	0.0816077	0.00462487	0.0199092	0.0113955	0.0108729	0.0059863
l	0.0136032	0.0994722	0.0732086	0.0282385	0.0250789	0.0388692	0.0452339	0.546327	0.0781595	0.00577114	0.0168742	0.0291634
ú	0.00191027	0.0868362	0.288845	0.0880624	0.000371886	0.0183265	0.0110923	0.301398	0.0962868	0.00548196	0.00505858	0.0963301
u	0.0029777	0.112648	0.355376	0.109884	0.00161479	0.00899623	0.00633145	0.261633	0.0828176	0.00375551	0.00219782	0.0517673
n	0.0425569	0.0566092	0.19129	0.391871	0.0552973	0.0863748	0.0387652	0.00445197	0.016193	0.0295727	0.00659434	0.0804233
g	0.0567342	0.0986497	0.0632894	0.355362	0.0457972	0.106391	0.0216096	0.00309945	0.0381564	0.163163	0.00313067	0.0446181
á	0.0302658	0.126595	0.0754303	0.29036	0.104707	0.10404	0.0590786	0.0247552	0.0651146	0.0646806	0.00238751	0.0525857
m	0.0195513	0.0127398	0.0581285	0.336518	0.0169507	0.155554	0.180771	0.0280313	0.0826079	0.0751239	0.0156083	0.0184157
o	0.0314439	0.00764083	0.0110302	0.0645622	0.432998	0.208459	0.0272863	0.035191	0.0311715	0.0746299	0.0243897	0.0511978
b	0.0297694	0.0297952	0.0495507	0.125439	0.0679945	0.147298	0.055865	0.0854419	0.0969198	0.0776384	0.167516	0.0667723
é	0.0137827	0.00681203	0.0125575	0.0417373	0.0102762	0.126326	0.0998076	0.0547502	0.148135	0.0327795	0.387125	0.0659111
é	0.0218352	0.00803116	0.0589839	0.124603	0.0214442	0.10366	0.0937116	0.0753253	0.125829	0.0951826	0.109054	0.162341
á	0.0143998	0.00850204	0.0228237	0.0293809	0.00423349	0.064148	0.139244	0.151619	0.188069	0.172519	0.108788	0.0962731
d	0.00515748	0.017207	0.0365183	0.008691	0.000273788	0.0112397	0.0355065	0.224935	0.280432	0.0932241	0.182918	0.103897
z	0.00516485	0.00797293	0.0278607	0.00979675	0.00105718	0.00694011	0.00963029	0.143597	0.162773	0.0487445	0.0313565	0.545107
e	0.0254833	0.0227496	0.0316102	0.174279	0.0586639	0.103045	0.0646688	0.10048	0.176048	0.136402	0.0290213	0.0775475
m	0.0100789	0.00510246	0.0335307	0.163759	0.00743992	0.0755126	0.0784218	0.0180777	0.132541	0.19589	0.124295	0.155351
w	0.0140839	0.00887428	0.00922624	0.0295742	0.0665861	0.0585966	0.0251755	0.00845551	0.0914723	0.249073	0.124874	0.314008
á	0.000936084	0.000395004	0.00144713	0.0129099	0.165322	0.0201498	0.00819587	0.00693007	0.12153	0.166356	0.211333	0.284495
n	0.00154667	0.000696844	0.00148891	0.0318297	0.0305045	0.0294336	0.0189433	0.00449656	0.0562396	0.27045	0.169981	0.384389
a	0.0048308	0.0121206	0.0103341	0.0314471	0.0183013	0.0437196	0.0417843	0.0123745	0.165293	0.25404	0.0504988	0.355256
y	0.00204755	0.00232286	0.00838975	0.0172877	0.000822136	0.0279929	0.0609075	0.0234393	0.1555	0.343409	0.0585894	0.299292
a	0.0283174	0.0755166	0.102795	0.0614614	0.0021734	0.0578418	0.0324049	0.0432678	0.103537	0.292149	0.0944439	0.106091
n	0.00279244	0.00331543	0.0146509	0.0512555	0.00204485	0.0431147	0.0333166	0.00835762	0.0864222	0.537272	0.0473589	0.170099
d	0.00149095	0.00369332	0.00445145	0.0160452	0.0104951	0.0256722	0.0162085	0.00436605	0.11847	0.470704	0.0167402	0.311664
a	0.00187529	0.00496801	0.00426617	0.00862428	0.0107846	0.0116735	0.01542	0.00929022	0.0751144	0.156363	0.0105638	0.691057
</S>	4.23702e-05	0.000291788	0.00149035	0.000980239	0.000116134	0.00157478	0.00346326	0.00553549	0.0340931	0.0291416	0.00406386	0.919207
