 	ils	ont	marché	toute	la	nuit	et	son	arrivés	à	l'	aube	</S>
b	0.791658	0.0162557	0.00194233	0.00697077	0.0194419	0.0885671	0.0385141	0.0266544	0.00463689	0.0020964	0.00164566	0.000275384	0.00134108
á	0.993588	0.00203531	0.000359239	0.000543472	0.000758201	0.000934359	0.000487189	0.000786029	0.00016016	0.000146882	0.000174312	9.71298e-06	1.67969e-05
a	0.995791	0.000994665	0.000515346	7.34533e-05	7.41742e-05	9.58494e-05	0.000282558	0.00179151	0.000156104	9.3428e-05	5.45869e-05	6.59805e-06	7.11583e-05
á	0.113785	0.665661	0.0499577	0.0144122	0.00660419	0.00576462	0.00876941	0.00671654	0.0104464	0.0398865	0.0195098	0.00215197	0.0563346
b	0.00521444	0.525325	0.323454	0.0542256	0.00870937	0.0117699	0.00172105	0.00123367	0.0026085	0.0158972	0.0146081	0.026228	0.00900589
h	0.0026751	0.216348	0.607017	0.0743452	0.0245126	0.0144349	0.00941105	0.0104187	0.00384543	0.0127971	0.00788476	0.000578577	0.0157314
é	0.0112709	0.287548	0.580647	0.0830108	0.0123109	0.013432	0.00273421	0.00117884	0.00073885	0.00265214	0.00135276	0.000690042	0.00243403
m	0.0106267	0.0702351	0.535653	0.153028	0.0643148	0.0422085	0.00633218	0.00302439	0.000771539	0.00724219	0.00913047	0.0308428	0.0665902
b	0.00613567	0.0690798	0.395482	0.18037	0.179231	0.0264976	0.0543556	0.046096	0.00386788	0.0141345	0.00703199	0.000554323	0.0171634
i	0.0356321	0.049754	0.263219	0.175066	0.242058	0.0605684	0.0619597	0.0327332	0.000929199	0.00710742	0.00797941	0.000330083	0.0626635
k	0.0135596	0.0500172	0.0411179	0.341648	0.317495	0.109257	0.0600071	0.033696	0.00838752	0.00629025	0.00451575	0.000587079	0.0134217
ó	0.00711251	0.00243391	0.057194	0.26699	0.17986	0.430336	0.0324411	0.00723146	0.000369295	0.00109142	0.000469557	0.00856277	0.00590821
l	0.000289661	0.0221753	0.20307	0.193624	0.131269	0.374269	0.0177752	0.00322073	0.000689894	0.00706855	0.00344243	0.00821645	0.0348901
i	0.000417313	0.0252524	0.162018	0.24567	0.187805	0.183517	0.0378582	0.0169647	0.00396156	0.0245319	0.0164866	0.0110841	0.0844337
t	0.000453598	0.0190465	0.0193845	0.109139	0.221351	0.300134	0.124341	0.0564744	0.0196193	0.0373848	0.0242794	0.0048603	0.0635323
s	0.0118999	0.00472294	0.0273437	0.150571	0.205188	0.228009	0.186054	0.0614431	0.00741475	0.0209387	0.00686978	0.0135977	0.0759483
i	0.000195612	0.00164774	0.026921	0.074296	0.119129	0.379207	0.118425	0.0700617	0.00250394	0.0238711	0.0122043	0.0252702	0.146266
i	0.0119857	0.00675723	0.0400004	0.0858326	0.152739	0.321482	0.0872721	0.0536341	0.00342414	0.0179612	0.00764593	0.0144963	0.196769
n	0.000786025	0.0111887	0.0188882	0.0388755	0.0948074	0.170661	0.261095	0.131368	0.038319	0.10259	0.0451474	0.00636814	0.0799062
a	0.000417696	0.00499384	0.0114528	0.0290233	0.0527166	0.0481736	0.158863	0.144075	0.210532	0.0788859	0.0282896	0.000887841	0.231688
á	6.78408e-05	0.00258057	0.00311762	0.0271294	0.0969568	0.19469	0.234671	0.0792315	0.100143	0.150048	0.0532084	0.00457169	0.0535844
p	0.000344729	0.0463234	0.0704738	0.0397595	0.0309544	0.076501	0.0898667	0.0321539	0.0799119	0.284997	0.11103	0.095133	0.0425503
f	7.93162e-05	0.00921347	0.0522819	0.0400028	0.0361354	0.096313	0.0381214	0.0237127	0.0176304	0.182496	0.131002	0.273089	0.0999224
é	8.79472e-05	0.0109192	0.0423017	0.0352491	0.0507924	0.0722649	0.0522401	0.0420612	0.0103005	0.102336	0.0925494	0.388641	0.100256
s	0.000144735	0.000756724	0.0047347	0.00785295	0.016774	0.0311728	0.0317402	0.0491898	0.024521	0.110854	0.0762904	0.494204	0.151765
á	1.34066e-05	0.00087596	0.00867238	0.0264099	0.0579898	0.13428	0.122267	0.149081	0.0439465	0.167853	0.105545	0.0544928	0.128574
o	0.000933667	0.000400871	0.000801636	0.00288895	0.0148495	0.0121449	0.175622	0.365923	0.169295	0.107495	0.0754924	0.0218584	0.0522942
y	0.000924916	0.00356323	0.00958431	0.00955841	0.0103404	0.0145271	0.0509442	0.0662056	0.0666822	0.188671	0.11843	0.406183	0.0543865
ó	1.13114e-05	0.00150005	0.0158228	0.0244942	0.0305712	0.00994824	0.0382803	0.115007	0.0944966	0.169604	0.102202	0.35392	0.0441428
l	8.89452e-06	0.000385499	0.00133755	0.00547156	0.0113491	0.0195599	0.052438	0.0581761	0.0228888	0.146141	0.0924668	0.390327	0.19945
o	2.36066e-05	0.000107554	0.000838538	0.00531362	0.0175372	0.0486779	0.0660104	0.080164	0.0508698	0.186538	0.142269	0.205612	0.196039
</S>	1.61744e-05	0.000132172	0.000613407	0.00261995	0.00810569	0.0185467	0.0371879	0.0364376	0.0268463	0.153381	0.193644	0.11014	0.412329
