 	on	a	fabriqué	beaucoup	d'	alcool	de	maïs	pour	le	fête	</S>
á	0.801079	0.113907	0.0265899	0.015105	0.0101796	0.0154696	0.00696489	0.00178428	0.00261431	0.00490902	0.000682143	0.000715267
m	0.133259	0.218886	0.131961	0.0410969	0.106097	0.157774	0.069952	0.0413268	0.0342059	0.0301489	0.029911	0.00538223
i	0.0058088	0.0314254	0.341331	0.0561072	0.11061	0.231399	0.0644037	0.040607	0.0415671	0.00920349	0.00161551	0.0659217
b	0.0169016	0.115267	0.338201	0.079509	0.0657639	0.0593942	0.0486451	0.0257371	0.0414906	0.0260633	0.0119326	0.171094
ω	0.00398688	0.0196134	0.655214	0.0544511	0.05881	0.0322997	0.035806	0.00841742	0.0301609	0.00719538	0.00330737	0.0907382
n	0.00180709	0.00924449	0.469218	0.0269652	0.0729998	0.215971	0.0276084	0.0307271	0.013311	0.0103438	0.070804	0.0509997
g	0.0390468	0.079642	0.147675	0.0892061	0.0802579	0.0771439	0.07984	0.0679804	0.0946861	0.014113	0.0259704	0.204439
ώ	0.220942	0.0869468	0.166761	0.0703259	0.0638896	0.0719007	0.048921	0.0965462	0.0317157	0.0198875	0.0199344	0.10223
a	0.0196046	0.0361892	0.0680764	0.238176	0.0817399	0.0377837	0.173924	0.120348	0.148514	0.0304445	0.00602735	0.0391736
l	0.0036344	0.0135356	0.0249909	0.110114	0.108436	0.176909	0.144337	0.17286	0.15568	0.0615497	0.0115764	0.0163763
ω	0.001848	0.00420103	0.0110454	0.0841118	0.101475	0.164218	0.152418	0.23278	0.128086	0.0608529	0.0111933	0.0477707
i	0.000220016	0.00154238	0.0130139	0.0208316	0.0378967	0.180601	0.135485	0.30785	0.124364	0.0558562	0.0848163	0.0375225
a	0.000531464	0.00230916	0.00330637	0.0613442	0.0638356	0.0404238	0.196891	0.107652	0.281107	0.162084	0.0316893	0.0488252
y	0.000876188	0.00266369	0.00288928	0.0256031	0.031039	0.0255981	0.0665228	0.103511	0.1917	0.450996	0.0711411	0.0274599
í	0.000617696	0.00463572	0.00313209	0.0611814	0.0442067	0.0276127	0.0939566	0.221253	0.166168	0.240169	0.0598048	0.0772634
í	0.00160268	0.00463491	0.00444838	0.14945	0.0806546	0.0215652	0.115119	0.14722	0.141365	0.138459	0.0403994	0.15508
m	0.00410433	0.00592051	0.00161744	0.0519857	0.0336857	0.0110425	0.128821	0.128155	0.230307	0.285408	0.0274134	0.0915397
ó	0.00263544	0.00782832	0.00814619	0.0234137	0.0455938	0.0132151	0.109761	0.0871279	0.179468	0.119413	0.069642	0.333755
ε	0.0011762	0.00478585	0.00621524	0.0233258	0.0477187	0.041395	0.0714885	0.0537275	0.0648999	0.122243	0.524192	0.0388332
n	0.000131209	0.000675785	0.000932806	0.00392268	0.00957862	0.0118139	0.014009	0.0142769	0.037182	0.0784807	0.736281	0.0927149
y	0.000288551	0.000703958	0.0018114	0.00277335	0.00694704	0.0324398	0.0118802	0.183439	0.0278106	0.03889	0.486926	0.206089
έ	0.000865137	0.00113866	0.0026063	0.0044172	0.00947748	0.0117655	0.00893603	0.258727	0.0320316	0.0290716	0.548694	0.0922693
έ	0.000163967	0.000134513	0.00059208	0.000897622	0.00232669	0.00775015	0.00616941	0.0777729	0.0157204	0.0249899	0.747576	0.115906
</S>	0.00132892	0.00118674	0.0002985	0.00880263	0.00965188	0.0039654	0.0296148	0.0138231	0.0630968	0.0802179	0.270664	0.517349
