 	de	vous	tous	c'	est	toi	qui	va	rentrer	à	la	maison	</S>
s	0.563911	0.21902	0.0256147	0.00927461	0.00695575	0.0148837	0.025361	0.0147477	0.0404622	0.0581883	0.0194363	0.000548806	0.00159563
á	0.347734	0.180629	0.0353206	0.0247018	0.0306268	0.0702023	0.0634591	0.0356118	0.00660432	0.0415846	0.0717843	0.0249056	0.066836
b	0.336108	0.389428	0.0639041	0.0204946	0.0108786	0.0472541	0.0179357	0.0151814	0.00310297	0.0102414	0.02569	0.0551483	0.00463349
í	0.0545466	0.589238	0.0272704	0.012739	0.00764893	0.00615302	0.0109713	0.0150211	0.0217031	0.0671602	0.0310004	0.0447654	0.111782
n	0.0398415	0.904537	0.00658596	0.00252254	0.0015455	0.00146622	0.00323849	0.00179649	0.00106987	0.0051413	0.00531439	0.0049552	0.0219856
í	0.180632	0.426338	0.00810049	0.0130425	0.0100547	0.019912	0.0256175	0.0109217	0.00431257	0.0199905	0.0217295	0.0153751	0.243974
á	0.0515692	0.23028	0.463672	0.101776	0.0337754	0.0275877	0.0262052	0.00870749	0.00440658	0.0107773	0.0168491	0.00176066	0.0226342
t	0.0106193	0.0398906	0.305874	0.148564	0.0584554	0.0318054	0.0370133	0.113064	0.0919501	0.0712852	0.031661	0.00590452	0.0539142
s	0.00649144	0.0266526	0.214032	0.162682	0.0884821	0.0669283	0.0591715	0.175519	0.104216	0.0388967	0.029564	0.00607321	0.0212916
ω	0.0214447	0.0174458	0.152343	0.137758	0.0775714	0.0685049	0.0739457	0.146955	0.194047	0.0557012	0.0461731	0.0030393	0.00507195
o	0.0211015	0.100426	0.123521	0.149016	0.108937	0.0666288	0.0750797	0.129127	0.100589	0.0586686	0.0257642	0.00345038	0.037691
k	0.00129017	0.00458902	0.0318496	0.0609648	0.0760553	0.0411767	0.0564903	0.190865	0.335298	0.118418	0.0415487	0.0285406	0.0129133
a	0.000225129	0.000164463	0.0047285	0.00875713	0.0121123	0.00565395	0.0131847	0.160678	0.658998	0.100929	0.016969	0.00483112	0.012769
l	8.66438e-05	0.000240869	0.00485506	0.0100272	0.0158103	0.0116547	0.0217685	0.154836	0.651385	0.0962623	0.0251884	0.00257788	0.00530679
i	0.00159581	0.000860233	0.014159	0.0421839	0.0634237	0.072563	0.0868084	0.144132	0.354689	0.116186	0.0508478	0.0124536	0.0400979
i	0.00570545	0.00291452	0.021137	0.0544235	0.0720463	0.0401572	0.123643	0.0872789	0.164112	0.241131	0.125464	0.0242872	0.0377
n	0.00261949	0.00220315	0.00685429	0.0150506	0.0278584	0.0112372	0.0421497	0.044789	0.0909134	0.151508	0.137987	0.185432	0.281398
d	0.00419388	0.00676219	0.00375517	0.00323381	0.00559823	0.0360228	0.0506652	0.0107768	0.0163779	0.0834566	0.0872976	0.638644	0.0532156
é	0.000432168	0.000895926	0.00196907	0.00144663	0.00484735	0.0519971	0.0291284	0.00630663	0.00677564	0.0239653	0.0573367	0.763505	0.0513936
e	0.000193276	0.000246655	0.0047261	0.0064085	0.016914	0.0534566	0.0458041	0.0174978	0.0103688	0.032688	0.0913303	0.646423	0.0739426
a	0.00110184	0.000110251	0.00461323	0.0113591	0.0383634	0.0674406	0.164206	0.0426064	0.0561112	0.192256	0.234391	0.0926722	0.0947682
d	0.00465967	0.00060107	0.0142995	0.0187155	0.0244363	0.0100726	0.0617755	0.0286587	0.06002	0.22764	0.184848	0.0891036	0.27517
í	0.00444563	0.00111516	0.0220752	0.0164244	0.027206	0.023622	0.0757401	0.0221022	0.0177673	0.189693	0.199206	0.0634193	0.337184
n	0.00240845	0.0012127	0.00874405	0.0116013	0.0264808	0.0480684	0.107496	0.0222689	0.0274246	0.109894	0.148556	0.0474969	0.438349
ω	0.0010463	0.00557351	0.00258317	0.00261382	0.00414252	0.0461751	0.031634	0.00191498	0.00141421	0.032865	0.108544	0.612036	0.149458
</S>	0.000601355	0.0013175	0.00223978	0.00135564	0.00258336	0.00714222	0.0189407	0.00306372	0.00231929	0.0343974	0.0660448	0.155939	0.704055
