 	on	a	passé	un	bon	moment	</S>
l	0.830702	0.108023	0.0319359	0.0144421	0.0127271	0.0012893	0.000880376
é	0.384156	0.264873	0.0421597	0.0927424	0.0485024	0.0305475	0.137019
l	0.23407	0.367066	0.173057	0.0546507	0.0146527	0.0757306	0.0807726
e	0.0591375	0.235364	0.122863	0.0850263	0.0442758	0.0657871	0.387546
e	0.023647	0.28039	0.401218	0.136383	0.0369126	0.0272639	0.0941849
s	0.00595019	0.102546	0.454245	0.185301	0.0163516	0.0544387	0.181167
i	0.00242543	0.149208	0.358287	0.244186	0.0136008	0.0880126	0.144281
o	0.00888289	0.0539661	0.134778	0.218736	0.030031	0.060878	0.492728
n	0.00327486	0.044815	0.125846	0.328725	0.367789	0.0803557	0.0491943
d	0.0172693	0.0882396	0.113244	0.325735	0.239235	0.072542	0.143735
i	0.00193651	0.0332046	0.0637269	0.199731	0.0795688	0.197345	0.424488
e	0.0045258	0.0649025	0.073907	0.182139	0.086874	0.132709	0.454943
ω	0.00586034	0.0478746	0.0505399	0.275285	0.31665	0.0773082	0.226482
b	0.00102095	0.00830651	0.0703831	0.168445	0.112956	0.515639	0.123249
v	0.0019633	0.013344	0.0715776	0.277529	0.194045	0.333078	0.108463
έ	0.0154438	0.0328019	0.0416144	0.369831	0.260036	0.186939	0.0933337
</S>	0.000455577	0.00256981	0.00509885	0.0784717	0.129219	0.0623179	0.721867
