 	le	porc-épic	se	nourrit	de	fruits	sauvages	tsonii	</S>
n	0.73404	0.198906	0.0578562	0.000385686	0.00317368	0.00223596	0.00151385	0.00178639	0.000102566
g	0.783753	0.214287	0.00184961	4.71606e-06	6.79186e-05	1.28142e-05	8.98381e-06	1.02142e-05	4.97686e-06
o	0.129722	0.863166	0.00428037	0.000629871	0.000437809	0.000529066	0.00034699	0.000814897	7.28372e-05
m	0.22009	0.752594	0.0223802	0.00146249	0.000631523	0.000474584	0.00050023	0.000617412	0.00124933
b	0.467034	0.191295	0.216125	0.0362153	0.0326035	0.014033	0.00835098	0.0039115	0.0304311
á	0.131188	0.810468	0.0505028	0.0021003	0.0023103	0.00124649	0.000378062	0.000138093	0.00166825
l	0.109945	0.0351752	0.703364	0.0871365	0.0320553	0.00427516	0.0050032	0.000429767	0.0226166
á	0.0521252	0.00186936	0.271094	0.250643	0.0726077	0.0272132	0.017911	0.00387083	0.302665
a	0.256347	0.00716378	0.320129	0.291728	0.0536517	0.0164287	0.00943654	0.00158468	0.0435316
d	0.00514905	0.00191364	0.0489587	0.916933	0.0178777	0.00392066	0.00170122	0.000935755	0.00260994
z	0.00292657	0.000288296	0.0118417	0.914471	0.0496079	0.0126771	0.00252993	0.00174676	0.00391072
á	0.0170656	0.000494978	0.0240755	0.895277	0.0489898	0.0094007	0.00137463	0.00132647	0.00199496
á	0.00735639	0.000148394	0.0352438	0.419626	0.233179	0.111067	0.0695911	0.018045	0.105743
m	0.0166465	0.00134161	0.0299772	0.0987548	0.528109	0.199095	0.0709054	0.00819218	0.0469784
ó	0.00559481	0.0111385	0.0148487	0.127061	0.369238	0.194381	0.0761657	0.0043924	0.197181
t	0.0141358	0.00515251	0.0198784	0.133156	0.222946	0.337986	0.15725	0.0828739	0.0266224
s	0.00171838	0.00090303	0.00631588	0.112142	0.0911385	0.470128	0.262584	0.0275247	0.0275454
o	0.000446548	0.000399239	0.00144112	0.0271558	0.0483182	0.393756	0.324447	0.1324	0.0716363
n	0.000828205	0.00018549	0.00290702	0.0161555	0.0976216	0.440217	0.300994	0.0466509	0.0944408
í	0.00119735	0.000713574	0.00220843	0.0222703	0.0655768	0.362713	0.246505	0.0490304	0.249785
í	0.00347808	0.000167805	0.0121222	0.00851242	0.0879348	0.281676	0.287432	0.0243887	0.294288
</S>	0.00852579	0.000596001	0.0317078	0.0352265	0.120978	0.108267	0.415428	0.0941569	0.185115
