 	le	juge	traditionnel	est	majestueusement	assis	</S>
k	0.220638	0.737561	0.0386948	0.00156121	0.00150598	1.77956e-05	2.1324e-05
á	0.0200874	0.852269	0.114127	0.00295207	0.00939866	0.000473215	0.000692857
n	0.0132927	0.634053	0.32996	0.00653298	0.0129073	0.000720391	0.00253381
i	0.129927	0.730158	0.109753	0.00799615	0.0144557	0.000137546	0.00757297
a	0.585728	0.26681	0.0474162	0.0645439	0.00769643	0.00456639	0.0232397
d	0.155633	0.0532334	0.098334	0.523326	0.0721065	0.021171	0.0761961
í	0.013263	0.00239072	0.0524725	0.266701	0.0442639	0.00907839	0.61183
d	0.0935261	0.0109235	0.018932	0.331468	0.116246	0.0925297	0.336374
z	0.0591867	0.00232197	0.0789355	0.596843	0.0979573	0.0214776	0.143278
a	0.0250729	0.00187209	0.138336	0.60148	0.175203	0.0389785	0.0190573
a	0.0127609	0.00332998	0.110392	0.211936	0.250791	0.348128	0.0626614
p	0.017625	0.00229199	0.0014194	0.254202	0.334048	0.22422	0.166194
a	0.00405023	0.00544426	0.00824982	0.127155	0.715083	0.0724774	0.0675403
r	0.00211036	0.00176013	0.0108607	0.137953	0.532742	0.17103	0.143543
i	0.00472486	0.0038476	0.00309863	0.135877	0.808713	0.00942947	0.0343094
p	0.021878	0.00272119	0.00304822	0.265165	0.227053	0.214592	0.265542
a	0.0315255	0.0183667	0.00979543	0.123419	0.616486	0.113441	0.0869659
r	0.00106506	0.000507288	0.00130412	0.0495567	0.206763	0.33711	0.403694
i	0.00922148	0.00286707	0.00257601	0.0802788	0.647965	0.0324591	0.224633
</S>	0.00858736	0.0016351	0.00052633	0.0914611	0.101547	0.11449	0.681753
