 	c'	est	par	haine	qu'	il	élimine	le	petit	bétail	de	ses	voisins	</S>
w	0.731927	0.164684	0.0900422	0.0034096	0.00286984	0.000496392	0.00286577	0.00138799	0.000796606	0.000193096	0.000368913	0.000525647	0.000373446	5.9308e-05
a	0.602099	0.198024	0.0943317	0.0232631	0.0406283	0.00326367	0.0112603	0.0041099	0.00252082	0.00184092	0.0036683	0.00407739	0.0108869	2.56931e-05
l	0.157472	0.295926	0.521398	0.00603479	0.0122422	0.000605251	0.00014277	0.000761256	0.00119786	0.00106009	0.000818134	0.000477098	0.000404843	0.00145861
á	0.103965	0.18866	0.24742	0.0146806	0.0541886	0.0298838	0.0250695	0.0278856	0.0363829	0.0290862	0.0383153	0.00974288	0.00379653	0.190923
a	0.277789	0.134789	0.291374	0.0520116	0.0527184	0.0308211	0.0127103	0.0132262	0.0194691	0.0213754	0.0227869	0.0158092	0.0059203	0.0492
b	0.0159803	0.0980473	0.26654	0.532883	0.0214854	0.0271044	0.00665791	0.00597063	0.00449196	0.00478777	0.00277517	0.00144844	0.00100301	0.0108251
o	0.00579476	0.0219731	0.0438355	0.882081	0.0128051	0.025164	0.00394812	0.00142103	0.000424871	0.000190457	0.00041161	0.00037458	0.000306508	0.00126923
m	0.0282507	0.0728516	0.192902	0.575959	0.0182756	0.0434639	0.0307486	0.0150067	0.00465294	0.00185867	0.00263671	0.00134726	0.00468541	0.00736049
á	0.0442018	0.0460572	0.151282	0.0163907	0.417201	0.22953	0.0269585	0.0337747	0.0111365	0.00513357	0.00813401	0.00308208	0.00293062	0.00418631
i	0.00366712	0.00510684	0.0381267	0.00907846	0.290933	0.444505	0.12919	0.0523805	0.014116	0.00401873	0.00235021	0.00171523	0.00246126	0.0023511
b	0.0012197	0.00466071	0.00964956	0.0302798	0.0907116	0.278082	0.345918	0.129175	0.0538246	0.0226499	0.00923287	0.00442276	0.00973431	0.0104393
v	0.000334159	0.00142604	0.0031631	0.00763817	0.0225148	0.205465	0.697549	0.0463032	0.00659311	0.00254463	0.00164274	0.000652865	0.00341836	0.000755552
a	2.4208e-05	0.000261679	0.000400142	0.000811303	0.00526568	0.0729776	0.888057	0.0248594	0.0025837	0.000370768	0.0013498	0.00068721	0.0018318	0.00051931
b	0.000182032	0.000472602	0.00174477	0.000533186	0.0458339	0.174351	0.62174	0.0867866	0.0141542	0.00427848	0.0102626	0.00348709	0.00473484	0.0314386
á	0.000628871	0.00243441	0.00139531	0.000386896	0.0299942	0.151572	0.584064	0.165657	0.0301929	0.00862667	0.010376	0.0043089	0.00461288	0.00575096
b	0.00157604	0.00155864	0.00524168	0.00108323	0.0502838	0.122126	0.328023	0.223472	0.127582	0.0643354	0.0247819	0.0159449	0.00774116	0.0262504
i	0.000563087	0.00129064	0.000421857	0.00150388	0.00412585	0.0514959	0.770189	0.127624	0.0203439	0.00562976	0.00324753	0.0027986	0.00923181	0.00153477
a	0.000686426	0.00325977	0.00916699	0.00523266	0.0215423	0.0567928	0.487709	0.158148	0.0910972	0.0422101	0.0235554	0.0124927	0.0642126	0.0238945
s	0.000616277	0.00268529	0.00459006	0.000557938	0.00673039	0.0217858	0.0911488	0.365932	0.293405	0.0807148	0.0697661	0.0236701	0.00637561	0.0320221
á	0.00179035	0.00387631	0.00944527	0.000251454	0.00853785	0.00670201	0.0142634	0.15416	0.227055	0.152518	0.160133	0.0740448	0.0242997	0.162924
p	0.0035315	0.00289215	0.00840845	0.000616092	0.0152249	0.00530542	0.0168639	0.126886	0.242197	0.207915	0.0801276	0.0732894	0.178818	0.0379255
o	0.00418538	0.00646307	0.00332135	0.00214688	0.00652272	0.0136383	0.00835965	0.0836395	0.168155	0.447945	0.0840346	0.0542301	0.0917492	0.0256085
o	0.0057773	0.00393447	0.00738573	0.00591666	0.0103556	0.0106099	0.00861638	0.0287293	0.120591	0.436652	0.109624	0.0297107	0.171555	0.0505414
m	0.000321595	0.000910478	0.00224994	8.68293e-05	0.00464359	0.00240919	0.00426801	0.0289196	0.0532198	0.0914276	0.341583	0.249496	0.0562456	0.164219
ó	0.00828145	0.00951202	0.0106909	0.0012798	0.0108461	0.00859233	0.00148494	0.0129391	0.0448375	0.0666666	0.305226	0.187266	0.117505	0.214872
k	0.00230068	0.00208398	0.00740275	0.000604588	0.00885626	0.00276249	0.00257304	0.0556038	0.0690106	0.0593828	0.15562	0.229201	0.28174	0.122858
ú	0.000411357	0.00133432	0.00105117	0.000434585	0.000914351	0.00137839	0.00638406	0.0358343	0.018555	0.0185281	0.0467754	0.0928093	0.739615	0.0359751
n	0.000510094	0.00041275	0.000670908	0.000271291	0.000116555	0.000177985	0.00149053	0.00183045	0.00608605	0.00789372	0.013897	0.0152708	0.944322	0.00705013
á	0.000156233	0.000224985	0.000532257	3.88577e-05	0.000420119	0.000215036	0.00141886	0.00215275	0.0215248	0.0598851	0.181268	0.0524142	0.667867	0.0118815
</S>	0.000671515	0.000337154	0.00124888	0.000252363	0.00454222	0.000951853	0.00154405	0.00715762	0.022928	0.0355058	0.13973	0.125021	0.130143	0.529966
