 	les	fous	préparent	la	nourriture	pour	eux-	mêmes	</S>
i	0.674416	0.316477	0.000255283	0.00375285	0.00184147	0.00208582	0.000687592	0.000443074	4.07766e-05
b	0.163761	0.821873	0.00732774	0.000940009	0.000596471	0.00149209	0.00132359	0.00141472	0.00127072
h	0.0391856	0.916033	0.00611962	0.00113898	0.00751712	0.00247263	0.00198888	0.0232647	0.00227948
ó	0.0348903	0.944407	0.00516008	0.00210752	0.000368673	0.00104247	0.00144223	0.0089177	0.00166404
a	0.197039	0.775381	0.000359046	0.00815173	0.00047661	0.00187679	0.00257845	0.0128558	0.00128141
b	0.740316	0.220239	0.00709701	0.0143446	0.00398823	0.00346406	0.000963444	0.000359449	0.00922824
ó	0.226646	0.225619	0.0138896	0.0480937	0.127764	0.064822	0.0430692	0.0826006	0.167495
b	0.51739	0.183355	0.162946	0.0750649	0.0145693	0.0164026	0.00745057	0.00294341	0.0198784
í	0.677279	0.0898942	0.0434679	0.0436938	0.0302089	0.0245584	0.0209655	0.0547667	0.015166
i	0.462799	0.142948	0.145014	0.127834	0.0348368	0.0345143	0.020596	0.0112338	0.0202248
l	0.0111372	0.0238911	0.780854	0.0477668	0.00804666	0.0159019	0.00881617	0.00149274	0.102093
á	0.0109676	0.03	0.82219	0.0214265	0.00294297	0.0194317	0.028078	0.00350218	0.061461
m	0.0202929	0.00781723	0.477539	0.282146	0.011723	0.0402183	0.0311038	0.00263979	0.12652
b	0.0229452	0.019829	0.340416	0.475073	0.0371087	0.0598497	0.0195893	0.00448446	0.020705
á	0.0783378	0.0238027	0.0348631	0.443593	0.0861182	0.0717764	0.046853	0.0447398	0.169916
b	0.00819803	0.00232284	0.0077058	0.408855	0.354954	0.146899	0.0291115	0.0173307	0.0246235
e	0.0144176	0.0107866	0.0137745	0.0155959	0.816745	0.0644795	0.0206021	0.0389978	0.00460067
a	0.0127751	0.00589016	0.00458992	0.0451773	0.67479	0.110387	0.0381074	0.0861086	0.0221742
m	0.0049347	0.00153167	0.00405837	0.0461543	0.120784	0.563146	0.122186	0.00864932	0.128556
ó	0.0115096	0.00405746	0.00494437	0.0661602	0.0242887	0.20367	0.185443	0.0635786	0.436349
b	0.0174542	0.0158409	0.0159536	0.0254446	0.011768	0.190623	0.439067	0.216332	0.0675172
í	0.0142602	0.0318626	0.00645438	0.0145186	0.0487602	0.166277	0.220413	0.465307	0.032147
a	0.00470432	0.00722705	0.00251254	0.0143187	0.226617	0.0934285	0.104092	0.484543	0.0625569
m	0.00179546	0.000860331	0.000322428	0.00959101	0.0114982	0.151391	0.228078	0.13565	0.460814
ε	0.00686654	0.00641824	0.00207362	0.0448987	0.0032009	0.108525	0.293082	0.236336	0.298599
n	0.000384436	0.00153172	0.00101156	0.0160148	0.00141068	0.140935	0.410438	0.188863	0.23941
ε	0.00339493	0.000610641	0.000787588	0.0280873	0.000517919	0.0540302	0.318201	0.216348	0.378022
</S>	0.000276042	6.60068e-05	0.000428278	0.0144104	0.000482822	0.0304252	0.121338	0.0168762	0.815697
