 	l'	autre	chose	qu'	il	m'	a	promise	c'	était	une	chemise	</S>
e	0.444516	0.262716	0.0585445	0.114107	0.0962093	0.00957328	0.00365337	0.000216717	0.00360169	0.00131105	0.00521676	0.000240605	9.48785e-05
y	0.210378	0.33829	0.360832	0.0341667	0.0130488	0.00324647	0.0122305	0.00489406	0.00390182	0.00894917	0.00550224	0.00286664	0.00169272
e	0.013057	0.136174	0.803829	0.0361237	0.00404308	0.00103713	0.00104564	0.000644352	0.000390081	0.00104536	0.00104104	0.00126857	0.000300862
a	0.0368112	0.0971583	0.778576	0.0101306	0.00133772	0.000264426	0.00272692	0.00232095	0.00279218	0.0118027	0.00185422	0.0167316	0.0374931
y	0.125624	0.23051	0.356366	0.150552	0.0619397	0.00825525	0.0240882	0.00638726	0.0129937	0.00180106	0.00563403	0.00135186	0.0144966
e	0.121936	0.200051	0.37442	0.151438	0.0432007	0.0227187	0.026555	0.00454616	0.00642087	0.00376582	0.00665139	0.00186519	0.0364314
n	0.0511694	0.0846772	0.123644	0.23607	0.195032	0.136189	0.106007	0.0102804	0.0126899	0.00632905	0.00989623	0.00253778	0.0254765
á	0.0927435	0.227641	0.270044	0.0932492	0.0476091	0.0826923	0.0404475	0.00557865	0.00404941	0.00231227	0.00859697	0.00306671	0.121969
y	0.0148271	0.0117493	0.0210791	0.115829	0.366474	0.135065	0.218251	0.0387498	0.0203141	0.00476438	0.00884491	0.001123	0.0429294
é	0.10229	0.098045	0.159145	0.23579	0.195112	0.0818951	0.0604808	0.0291753	0.00580625	0.00360363	0.0074324	0.00403721	0.017186
é	0.0183024	0.0155932	0.0145102	0.207432	0.332248	0.149351	0.150886	0.0307942	0.0276588	0.00696737	0.0184253	0.00572232	0.0221097
t	0.0158536	0.0126836	0.00628013	0.023816	0.0192558	0.0110085	0.224907	0.293438	0.143296	0.197289	0.0285695	0.0153259	0.00827695
i	0.000580368	0.00120972	0.00778382	0.0056047	0.00559458	0.000605336	0.0419265	0.757714	0.0541542	0.0757135	0.0243608	0.0211091	0.00364366
í	0.00185621	0.00274626	0.00883564	0.00548556	0.00640214	0.00112346	0.0403376	0.671405	0.0730532	0.101386	0.0290538	0.0459759	0.0123388
w	0.0057167	0.00467009	0.00107008	0.0382923	0.101487	0.346923	0.0540625	0.011291	0.150562	0.0621725	0.176343	0.0205844	0.0268252
a	0.00685821	0.00804115	0.00561262	0.0597331	0.17403	0.122631	0.0871361	0.0857859	0.132794	0.0644678	0.0808842	0.037637	0.134389
n	0.00180713	0.00140715	0.000941218	0.0267325	0.080123	0.322384	0.0341601	0.00276233	0.0884585	0.0959088	0.114094	0.0310544	0.200167
g	0.0151832	0.0270775	0.0159466	0.0105359	0.00540626	0.0927886	0.0164954	0.00272212	0.0230834	0.0299942	0.178701	0.133318	0.448748
á	0.00285236	0.0139948	0.0226058	0.0111996	0.0110757	0.400646	0.0610594	0.00566224	0.0262209	0.0299502	0.22478	0.0938841	0.0960691
é	0.00250361	0.000654386	0.000748735	0.0142774	0.0288842	0.00985849	0.0126993	0.00874106	0.132288	0.0423964	0.260703	0.280047	0.206199
d	0.00678064	0.00622236	0.00742113	0.00744758	0.00155504	0.000222875	0.00550003	0.024782	0.0602716	0.0890799	0.134915	0.564925	0.0908774
z	0.0144671	0.013988	0.00585664	0.0048263	0.000515584	0.000159377	0.00170195	0.00208046	0.0180212	0.359409	0.0743132	0.240908	0.263753
e	0.0288732	0.0262301	0.00346952	0.00592984	0.00167867	0.000622533	0.00285008	0.000584788	0.0290498	0.353904	0.0942503	0.190982	0.261575
o	0.0107822	0.00525975	0.00227108	0.0113407	0.00599708	0.00167876	0.0143229	0.00463379	0.107044	0.171636	0.224179	0.172503	0.268351
k	0.00379826	0.00665893	0.00859844	0.00655771	0.00049494	0.000112936	0.00295058	0.00951677	0.0373087	0.125686	0.136921	0.406485	0.254911
á	0.000535362	0.000490289	0.0179718	0.0020977	0.000302604	1.10286e-05	0.00100799	0.0446708	0.0101124	0.00839232	0.0312214	0.839018	0.0441683
n	0.00452096	0.00180127	0.00791093	0.00348544	0.00260253	0.000727859	0.00369901	0.0780019	0.0174488	0.0162198	0.0293316	0.751182	0.083068
d	0.000368124	0.000188702	0.00279853	0.00218784	0.00280278	0.000327521	0.00153431	0.0113608	0.0121187	0.021744	0.0247803	0.638561	0.281227
á	0.00470334	0.00440292	0.0133605	0.0158321	0.00880386	0.00291944	0.00589543	0.00721065	0.023073	0.0151914	0.0857368	0.378074	0.434796
</S>	0.0187995	0.00410648	0.00442385	0.044176	0.0524517	0.018025	0.0182486	0.00637665	0.0775852	0.0402734	0.105777	0.135795	0.473962
