 	il	attend	la	saison	sèche	pour	brûler	son	champ	</S>
w	0.952112	0.0078266	0.0127617	0.0120185	0.008899	0.00432948	0.000338516	0.00156082	7.2447e-05	8.08993e-05
a	0.97012	0.00595145	0.0105178	0.00655333	0.00146722	0.00255829	0.000314284	0.00244446	3.54394e-05	3.73855e-05
l	0.425528	0.348486	0.103695	0.046589	0.0342053	0.0206388	0.00589027	0.00698008	0.000485885	0.00750193
á	0.13701	0.110132	0.119959	0.0835547	0.0507597	0.141275	0.0543254	0.0613289	0.000687031	0.240968
a	0.418084	0.184775	0.0855271	0.0486218	0.0326574	0.0605788	0.0384408	0.0300543	0.0247992	0.0764616
l	0.050246	0.892775	0.0327993	0.00755413	0.00312478	0.00253392	0.0066427	0.00171179	0.00013432	0.00247839
o	0.0367273	0.931136	0.0199935	0.00334608	0.00112064	0.000851283	0.00600739	0.000407553	5.21151e-06	0.000404941
n	0.00600806	0.903158	0.0693802	0.0118601	0.00431514	0.000704925	0.00300216	0.000208143	0.00037808	0.00098542
g	0.0116686	0.688743	0.216185	0.0587303	0.0113487	0.00561905	0.00240568	0.00199244	0.000105285	0.00320189
á	0.012315	0.465007	0.281284	0.1103	0.0415425	0.0144698	0.00637814	0.0135231	0.000726453	0.0544539
á	0.00616732	0.0352654	0.467955	0.35926	0.0916607	0.0268631	0.00496887	0.00514408	0.000951755	0.00176459
e	0.0165505	0.0150104	0.333643	0.423269	0.120802	0.068345	0.012767	0.00649198	0.000792508	0.00232771
b	0.00128783	0.0411011	0.211496	0.316992	0.333688	0.0294056	0.0620639	0.00155421	0.000560449	0.00185083
h	0.00127834	0.00739068	0.0945865	0.198782	0.484151	0.0528815	0.158437	0.00152868	6.89875e-05	0.000895035
o	0.000300006	0.0360408	0.160139	0.260623	0.26337	0.0543385	0.214615	0.00584945	0.000597581	0.00412635
y	0.00186249	0.0180972	0.178968	0.393811	0.350328	0.0371077	0.0140604	0.00233265	0.000664916	0.00276773
á	0.00286548	0.0171601	0.184375	0.353978	0.243306	0.0714597	0.0403988	0.0267653	0.0050921	0.0546005
m	0.00304988	0.00271085	0.0447525	0.1391	0.247402	0.493791	0.040838	0.014214	0.00405051	0.0100915
í	0.00150736	0.00436541	0.0265927	0.0770514	0.149989	0.478006	0.181593	0.0463957	0.00038972	0.0341093
t	0.00144482	0.000860122	0.0140229	0.0335115	0.135003	0.420432	0.377266	0.0119247	0.00155815	0.00397661
u	0.000565441	0.00163654	0.0217141	0.108728	0.321916	0.314515	0.187911	0.0258063	0.00295548	0.0142524
m	0.000125496	0.000893585	0.0211073	0.13041	0.428711	0.222672	0.147669	0.0112283	0.00434405	0.0328391
b	0.00135213	0.000754162	0.0114292	0.0581893	0.210594	0.361591	0.107278	0.143579	0.00108322	0.10415
a	0.00364401	0.00304553	0.0269966	0.150274	0.165633	0.17103	0.274426	0.029289	0.00534245	0.170319
l	0.000996127	0.00141461	0.0107317	0.0142215	0.0399452	0.24529	0.128424	0.280244	0.00234177	0.276392
á	0.00232781	0.0066574	0.0203298	0.0202686	0.0284321	0.14948	0.153917	0.269198	0.0137638	0.335625
n	0.00192208	0.00427766	0.0205085	0.0214699	0.0163034	0.0657265	0.0387047	0.323766	0.476404	0.0309171
g	0.00467546	0.0056193	0.00906515	0.00933724	0.0103511	0.037259	0.0438002	0.067268	0.781748	0.0308761
o	0.00147136	0.00580645	0.00278155	0.00345343	0.00531946	0.0183945	0.0746465	0.0336963	0.794659	0.0597714
n	1.9806e-05	0.000339234	0.000527339	0.00154197	0.0063402	0.00347705	0.0481169	0.00331049	0.91184	0.0244869
d	0.0018185	0.00615753	0.01185	0.0213324	0.0241093	0.0278588	0.0653576	0.0677936	0.040966	0.732756
a	0.000365673	0.00190593	0.00108374	0.0027114	0.00422687	0.00256225	0.0192973	0.00879205	0.658123	0.300931
</S>	0.00152753	0.00139099	0.00474792	0.00809316	0.0228458	0.0303249	0.112595	0.150765	0.0604908	0.607219
