 	il	a	atteint	la	bête	au	fusil	</S>
w	0.892328	0.0758096	0.00991157	0.00231138	0.00631727	0.011763	0.0014548	0.000104111
a	0.914842	0.0348354	0.00311178	0.00331408	0.00928198	0.0340904	0.000493497	3.06087e-05
á	0.0587069	0.651317	0.195894	0.0267056	0.0177621	0.0257414	0.00489571	0.0189772
n	0.0142629	0.493643	0.334869	0.0690598	0.0365955	0.0241157	0.0117361	0.0157183
ω	0.00220823	0.15718	0.664787	0.0595026	0.0241917	0.0108947	0.0143334	0.0669026
n	0.00219403	0.0841394	0.796809	0.0730658	0.0193987	0.0060464	0.00546874	0.0128773
g	0.027881	0.144325	0.720706	0.066216	0.0235601	0.00650341	0.00404105	0.00676751
i	0.0469591	0.109579	0.684672	0.0683451	0.0340412	0.0149893	0.00735012	0.0340644
s	0.0875109	0.071249	0.111672	0.23201	0.237038	0.222217	0.0170066	0.021297
i	0.00273772	0.012769	0.222034	0.359669	0.311745	0.0342602	0.0269147	0.0298699
n	0.0146895	0.0267532	0.0994463	0.215804	0.309063	0.191688	0.114222	0.0283333
y	0.00237033	0.00246825	0.103397	0.249257	0.497752	0.0773106	0.0297235	0.0377209
a	9.84118e-05	0.000693157	0.0645959	0.153094	0.673278	0.0458462	0.0294504	0.0329437
m	5.61895e-05	0.00167146	0.0394285	0.135694	0.520944	0.102876	0.0820508	0.117279
a	0.00371124	0.00174557	0.00821061	0.119593	0.489257	0.1711	0.080539	0.125843
a	0.0014977	0.0157182	0.0437273	0.0848357	0.173883	0.39473	0.11379	0.171818
t	0.00121278	0.00641317	0.0209714	0.095354	0.264187	0.14446	0.238549	0.228854
s	0.000453756	0.00287847	0.0141976	0.071657	0.394853	0.0739291	0.333825	0.108206
w	0.000131844	0.000528981	0.00712396	0.0694197	0.433438	0.0540934	0.359604	0.0756607
ω	0.000198486	0.000548037	0.0120573	0.0814703	0.37914	0.0573621	0.263627	0.205596
</S>	8.28622e-05	0.00071593	0.00587727	0.0375446	0.196153	0.166284	0.11542	0.477921
