 	cet	homme	est	un	danseur	masqué	du	kyebé-kyebé	</S>
i	0.680384	0.28582	0.0188853	0.00536063	0.00319585	0.0023205	0.00307608	0.000799154	0.000158341
b	0.0585163	0.900331	0.0230341	0.00941807	0.00455494	0.00224266	0.000840066	0.000386044	0.000676754
a	0.00336777	0.99285	0.00114136	0.000638637	0.0011332	0.000358969	8.9998e-05	0.000316082	0.000104477
a	0.0873884	0.813656	0.0128102	0.00324108	0.00660216	0.000994271	0.00216091	0.00325695	0.0698897
d	0.538124	0.0381367	0.231254	0.0391216	0.0011993	0.00843497	0.0101695	0.000609853	0.13295
í	0.0530431	0.00357342	0.127988	0.0557609	0.0268628	0.0227223	0.0554353	0.000519979	0.654094
í	0.039556	0.0110542	0.444168	0.178597	0.0225002	0.0373456	0.0433521	0.00324362	0.220184
d	0.0114676	0.00134928	0.252966	0.553676	0.0615967	0.0598064	0.034217	0.00600631	0.0189143
í	0.00231647	0.000679694	0.0945943	0.459634	0.103666	0.201803	0.0649238	9.35965e-05	0.0722889
y	0.00155539	0.000814239	0.0784851	0.192446	0.0295318	0.302805	0.183078	0.0403101	0.170975
o	0.0032886	0.000381469	0.0187794	0.201506	0.486152	0.113163	0.0825797	0.00688952	0.0872596
m	0.00601723	9.20768e-05	0.000719473	0.0169431	0.907419	0.037003	0.0185187	0.00444485	0.00884293
b	0.00261292	0.000229186	0.00137127	0.0280601	0.86495	0.0465059	0.030015	0.000277444	0.0259783
i	0.0155813	0.00241815	0.0131341	0.0812728	0.359247	0.127448	0.0718075	0.00963301	0.319458
</S>	0.00400042	0.000803313	0.027167	0.0378595	0.0157227	0.115637	0.311586	0.145264	0.34196
