 	ii	lui	apprend	à	piéger	</S>
w	0.913036	0.0834287	0.000182969	0.00322294	3.34274e-05	9.6462e-05
a	0.960435	0.0342982	7.11108e-06	0.00515694	4.25459e-05	6.007e-05
l	0.163108	0.627222	0.0467305	0.127368	0.0031132	0.032458
á	0.119631	0.278389	0.0269252	0.152954	0.00961426	0.412487
a	0.256118	0.552631	0.0135665	0.0703591	0.00877557	0.0985494
y	0.00409524	0.0491656	0.927244	0.00503677	0.0101615	0.00429669
é	0.000921089	0.0176133	0.975512	0.00178471	0.00232075	0.00184845
s	0.0272598	0.25731	0.635829	0.0636598	0.000881593	0.0150597
á	0.015052	0.146538	0.799003	0.0324172	0.00152599	0.00546381
á	0.0273613	0.140854	0.64488	0.120342	0.0206894	0.0458739
w	0.0194285	0.068734	0.164929	0.696716	0.0372982	0.0128946
a	0.140882	0.269092	0.0187044	0.294514	0.0263568	0.25045
i	0.00627692	0.0577207	0.0241325	0.588321	0.0804735	0.243075
b	0.0026784	0.0186664	0.0208381	0.0356192	0.842948	0.0792501
h	0.00308812	0.0060468	0.00559501	0.0133448	0.957211	0.0147144
í	0.000300778	0.0025967	0.00424814	0.00508805	0.915055	0.0727117
a	0.00364366	0.0318141	0.0423157	0.165136	0.387882	0.369209
l	0.00156037	0.0161262	0.0213189	0.554917	0.120618	0.28546
á	0.00621352	0.0673282	0.0634046	0.471741	0.0520701	0.339242
m	0.0232383	0.0360702	0.00411545	0.783426	0.0048599	0.14829
é	0.0189802	0.051691	0.000740749	0.515367	0.00618572	0.407035
a	0.00549347	0.0258615	0.000506407	0.684693	0.0488204	0.234625
</S>	0.000862451	0.0152348	0.0231248	0.238422	0.159921	0.562435
