 	maman	se	réjouit	de	son	enfant	</S>
m	0.822078	0.096955	0.0103156	0.0244436	0.0438543	0.00202493	0.000328395
a	0.418246	0.558563	0.00496808	0.00643666	0.00747058	0.00337198	0.00094327
á	0.0593225	0.740468	0.0616212	0.0432172	0.0151432	0.0341383	0.0460893
l	0.0369665	0.460627	0.306598	0.0376153	0.015386	0.0039045	0.138903
á	0.0175877	0.138815	0.204579	0.0753727	0.0178567	0.00499669	0.540792
a	0.0157249	0.413276	0.294216	0.0940766	0.0660476	0.028627	0.0880318
y	0.00160222	0.10879	0.81815	0.0510864	0.00412322	0.00216932	0.0140795
έ	0.00180138	0.0270599	0.880498	0.0421354	0.0127637	0.00441269	0.0313287
l	0.00213432	0.0400774	0.524157	0.11224	0.0405855	0.00669625	0.274109
έ	0.000902776	0.113716	0.498888	0.277778	0.0749449	0.00222323	0.0315472
m	0.000166783	0.0612668	0.257191	0.296843	0.344269	0.00716705	0.0330965
w	6.66608e-05	0.0341204	0.0237201	0.0657186	0.21994	0.61031	0.0461235
á	1.10655e-06	0.000843521	0.000113722	0.001646	0.00421512	0.992994	0.000186279
n	0.000256044	0.0237126	0.00161614	0.014004	0.108486	0.845872	0.00605323
a	0.00131271	0.0443462	0.0137928	0.0458374	0.144009	0.689711	0.0609911
y	0.00336833	0.0236046	0.135745	0.280454	0.370992	0.0443606	0.141475
a	0.000524043	0.0129698	0.0782446	0.320509	0.425096	0.0736211	0.0890347
w	0.000605207	0.00352412	0.0102504	0.102663	0.664755	0.147061	0.0711407
a	0.000234597	0.00871489	0.0565298	0.364138	0.45079	0.0683935	0.0511992
</S>	3.58689e-05	0.00225508	0.024005	0.178091	0.149411	0.0692171	0.576985
