 	je	n'	ai	pas	l'	habitude	de	prendre	du	vin	</S>
n	0.376582	0.120533	0.0481884	0.0611578	0.0708999	0.102662	0.142021	0.0483992	0.0257341	0.00126319	0.00255977
g	0.913965	0.0241139	0.011345	0.0089016	0.012182	0.0125176	0.0127878	0.00116649	0.00263491	0.000207333	0.000178767
á	0.754122	0.120309	0.0689807	0.0134228	0.018411	0.0139336	0.00756302	0.00119373	0.00130019	0.000651351	0.000112465
í	0.039968	0.230069	0.221988	0.139289	0.133343	0.0593103	0.0793616	0.00486395	0.0417429	0.00513962	0.0449244
d	0.0185683	0.232258	0.136118	0.252501	0.188494	0.0649681	0.0234603	0.0293445	0.0181669	0.010752	0.0253688
í	0.00902488	0.165862	0.193456	0.192565	0.132466	0.0770751	0.0298231	0.01724	0.0157426	0.00391237	0.162833
e	0.0147759	0.0453738	0.0895744	0.230352	0.220097	0.154248	0.115316	0.0362016	0.028429	0.00438015	0.0612518
y	0.00335686	0.0382651	0.0992643	0.152322	0.278127	0.196992	0.112712	0.067181	0.01826	0.00699554	0.0265242
i	0.00205977	0.0351154	0.0520028	0.072301	0.175804	0.436728	0.0840885	0.0444092	0.0220283	0.00412036	0.0713433
n	0.00359334	0.00698111	0.0182597	0.0288275	0.127989	0.463094	0.136377	0.032127	0.022316	0.00113795	0.159297
í	0.00585213	0.0206017	0.0797974	0.0340189	0.147007	0.496414	0.154779	0.0177762	0.0154544	0.00128944	0.0270103
í	0.00612921	0.0175661	0.0477885	0.050015	0.077179	0.229207	0.392919	0.062589	0.0967875	0.0093818	0.010438
y	0.0014833	0.00462337	0.0194697	0.0245788	0.0502527	0.149006	0.231528	0.306719	0.161358	0.0453738	0.00560661
í	0.000702235	0.00612238	0.0147873	0.0346457	0.0643828	0.235911	0.173755	0.225144	0.160507	0.0504694	0.0335734
n	0.00571138	0.00337331	0.0203068	0.0107931	0.0282392	0.100092	0.160882	0.126528	0.295382	0.169459	0.079234
y	0.0159083	0.00454772	0.0702812	0.010277	0.0453817	0.274548	0.160791	0.0744111	0.192838	0.0949674	0.0560488
w	0.0074896	0.00199163	0.0160389	0.0114058	0.0425286	0.219274	0.113031	0.167677	0.186083	0.0934753	0.141005
á	0.000334032	0.00215422	0.0141832	0.0183739	0.103104	0.230551	0.164463	0.133029	0.11725	0.0580586	0.158499
a	5.34407e-05	0.000693213	0.00472554	0.0146953	0.0424823	0.0672882	0.156733	0.126327	0.343454	0.0499809	0.193567
l	0.000322136	0.00265915	0.006449	0.00849398	0.0106326	0.0164652	0.0547409	0.0316764	0.447993	0.21027	0.210298
á	0.00173629	0.00234188	0.0126038	0.00590576	0.00667081	0.0161724	0.0130839	0.0354179	0.132696	0.437382	0.335989
l	0.00343605	0.00556511	0.0174374	0.00732633	0.00902571	0.0221718	0.0413936	0.0201102	0.350589	0.241346	0.281599
ω	0.0229108	0.00516747	0.0221798	0.00481398	0.00689303	0.0219987	0.0173453	0.0185927	0.202083	0.290475	0.38754
i	4.27975e-05	0.00135054	0.00205988	0.00366304	0.00510569	0.00845773	0.0111177	0.0196335	0.0915117	0.78784	0.0692171
k	3.77607e-05	0.00345992	0.00444143	0.0127583	0.0106333	0.0115628	0.0169676	0.019181	0.190964	0.0840537	0.64594
a	0.000117227	0.0034243	0.00476657	0.0216437	0.0190104	0.0194064	0.0303603	0.191455	0.216065	0.319139	0.174612
á	0.000170429	0.00137821	0.00245836	0.00683577	0.00662209	0.00660248	0.00867887	0.171567	0.067503	0.247281	0.480902
</S>	0.00251835	0.00619566	0.0148086	0.0105212	0.0134796	0.0207982	0.0389151	0.0125844	0.119152	0.025225	0.735802
