 	aucun	homme	n'	est	venu	hier	</S>
s	0.858182	0.0522773	0.0198791	0.0279479	0.0266194	0.00955002	0.00554472
i	0.217011	0.0633449	0.197356	0.184604	0.140545	0.051535	0.145604
i	0.297601	0.103103	0.192863	0.171771	0.161959	0.0417945	0.0309086
b	0.044269	0.16886	0.0660653	0.0599282	0.0456814	0.0845959	0.5306
a	0.0275542	0.770739	0.054414	0.0602606	0.0102565	0.0233945	0.0533814
a	0.248038	0.343915	0.119104	0.0713355	0.0162435	0.0126171	0.188747
i	0.185604	0.360816	0.215238	0.0707892	0.0470228	0.00681384	0.113716
p	0.00853458	0.402462	0.15724	0.17983	0.104219	0.0402723	0.107443
ω	0.0135665	0.268531	0.146084	0.234423	0.1654	0.0557609	0.116235
ώ	0.151837	0.201727	0.15589	0.169456	0.158574	0.0631786	0.0993367
í	0.103865	0.0489397	0.232399	0.1494	0.302528	0.0405022	0.122365
d	0.0118143	0.0539761	0.267618	0.163309	0.263855	0.0856447	0.153782
z	0.000489485	0.00685089	0.0865189	0.0469735	0.0461437	0.0235598	0.789464
e	0.0263431	0.0245754	0.497476	0.193093	0.0728863	0.0397691	0.145857
ω	0.0309944	0.0138111	0.147876	0.12102	0.15371	0.082987	0.449601
y	0.0023342	0.0230028	0.0547382	0.104383	0.208152	0.30955	0.29784
a	0.00119679	0.0132853	0.108788	0.143153	0.354552	0.11209	0.266935
a	0.00107628	0.00527298	0.0975813	0.0931493	0.069613	0.0557756	0.677531
l	0.00309492	0.00380502	0.0812337	0.113235	0.152427	0.0929132	0.55329
a	0.0107131	0.0175928	0.0834864	0.0778524	0.173158	0.0809357	0.556262
a	0.020959	0.00563699	0.0484518	0.0645894	0.1878	0.0922413	0.580322
p	0.00533806	0.0255778	0.0548825	0.0515719	0.105169	0.227246	0.530215
ó	0.00274287	0.0383404	0.0500004	0.179664	0.120811	0.213119	0.395322
a	0.000831031	0.00578274	0.0155331	0.0632824	0.183877	0.489212	0.241481
k	0.0208567	0.027624	0.148583	0.10445	0.0973786	0.113669	0.487439
a	0.0291914	0.0205096	0.0321061	0.0849461	0.0612228	0.123611	0.648413
á	0.0133445	0.002776	0.00826698	0.0175979	0.0208361	0.0893817	0.847797
</S>	0.0367113	0.0268064	0.095167	0.0368249	0.0488149	0.042218	0.713457
