 	le	prix	du	manioc	a	augmenté	</S>
ε	0.522513	0.270122	0.178261	0.0216654	0.00688446	9.09105e-05	0.000462845
k	0.160132	0.457639	0.147118	0.215036	0.00395372	0.00189592	0.0142257
ώ	0.00804652	0.104657	0.0692032	0.811604	0.00106696	0.0015712	0.00385081
ώ	0.0222886	0.189594	0.15241	0.625508	0.000808293	0.00375155	0.0056391
é	0.354872	0.187974	0.383952	0.0479777	0.0156439	0.00120424	0.00837609
m	0.200848	0.036813	0.199707	0.232803	0.172218	0.0684104	0.0892013
i	0.0786752	0.0422226	0.0617528	0.0393707	0.0994374	0.146277	0.532264
l	0.0495949	0.0356183	0.045057	0.21452	0.0510089	0.330874	0.273327
é	0.0187228	0.033828	0.0535759	0.0970085	0.0467682	0.575426	0.174671
á	0.0309869	0.0441569	0.127881	0.114147	0.141968	0.415215	0.125646
t	0.0327666	0.0075926	0.0402198	0.0150909	0.546781	0.261143	0.0964062
á	0.0163342	0.0211669	0.0828198	0.185036	0.0936927	0.445944	0.155006
l	0.0155198	0.00292229	0.0228615	0.0215775	0.0528838	0.636169	0.248066
e	0.00323773	0.00906228	0.0332585	0.0599343	0.06603	0.619737	0.208741
</S>	0.0118462	0.009568	0.026901	0.0215542	0.17541	0.289285	0.465436
