 	nous	sommes	mouillés	par	la	pluie	</S>
b	0.748861	0.239688	0.00438914	0.00173938	0.000881821	0.00372458	0.000716653
í	0.926913	0.0626235	0.0050611	0.00161786	0.000620304	0.00301987	0.000143921
s	0.993549	0.0040906	0.000209802	3.80689e-05	3.95917e-05	0.00204906	2.4164e-05
í	0.486003	0.301708	0.0013716	0.00950565	0.00732487	0.181507	0.0125805
l	0.0830401	0.384959	0.231133	0.047234	0.0673994	0.0105814	0.175653
é	0.00811127	0.304862	0.140359	0.152863	0.0704727	0.0170297	0.306302
b	0.01575	0.388972	0.318678	0.0866082	0.10705	0.00661585	0.0763269
ω	0.00611587	0.0653877	0.765471	0.118179	0.034037	0.0032707	0.00753888
i	0.0130614	0.178607	0.374049	0.277845	0.108778	0.00601755	0.0416424
m	0.00171865	0.0397115	0.0198656	0.382529	0.353184	0.0479576	0.155034
b	0.00180973	0.00620527	0.000802678	0.0732981	0.251317	0.566991	0.0995758
v	0.00265498	0.0029383	0.000169177	0.0245567	0.119111	0.824169	0.0264015
ú	0.00140511	0.0130635	0.000646936	0.0600769	0.124739	0.663437	0.136632
á	0.00347043	0.00549619	0.00398795	0.0601131	0.270246	0.458896	0.197791
</S>	9.23145e-05	0.00629728	0.00066976	0.070077	0.278919	0.328286	0.315658
