 	ce	savon	rend	les	vêtements	bien	propres	</S>
s	0.415958	0.51336	0.0426446	0.0123812	0.00301917	0.0120768	0.000302105	0.000257914
a	0.788658	0.125807	0.0594564	0.0110213	0.00151398	0.00542915	0.00109296	0.00702136
b	0.358871	0.553946	0.0603666	0.0197777	0.00210983	0.000619395	0.00296167	0.00134797
v	0.0264256	0.926792	0.0375853	0.00488105	0.00263222	0.000492908	7.05729e-05	0.00112072
ú	0.0242976	0.885914	0.029575	0.0199993	0.0237447	0.00348679	0.000377474	0.0126052
n	0.186342	0.761597	0.0436204	0.00239359	0.00397237	0.00140545	3.7213e-05	0.000631695
u	0.409937	0.466761	0.0898021	0.00853319	0.00521833	0.00360862	0.000519959	0.0156202
w	0.231336	0.0882193	0.402766	0.146896	0.0292467	0.0661103	0.00550427	0.0299209
ó	0.309932	0.0683695	0.314099	0.110756	0.0136432	0.0664486	0.0178622	0.0988895
l	0.120458	0.0453778	0.532032	0.225779	0.0190721	0.0167822	0.00586413	0.0346334
á	0.0373284	0.0167689	0.365253	0.197974	0.0576723	0.0231123	0.0113714	0.29052
a	0.227409	0.0328044	0.197504	0.396648	0.0739472	0.0157734	0.00366257	0.0522515
w	0.0173298	0.0136177	0.237251	0.244107	0.428752	0.00670374	0.0170827	0.0351559
á	0.0213374	0.0598354	0.327376	0.190867	0.366113	0.0065906	0.00499037	0.0228903
n	0.0205496	0.0120265	0.180395	0.48755	0.147225	0.0122211	0.0347815	0.105251
g	0.0666876	0.0392628	0.148008	0.466216	0.216674	0.0139722	0.00344457	0.0457341
í	0.0986536	0.12286	0.173161	0.32288	0.242982	0.00356487	0.00105887	0.0348406
s	0.0165391	0.00546666	0.0281308	0.310355	0.190807	0.400703	0.0158883	0.0321103
á	0.0375787	0.0158896	0.0604962	0.314147	0.399027	0.0414979	0.0185737	0.11279
i	0.065181	0.0375228	0.0417538	0.145039	0.233546	0.124826	0.324019	0.0281119
k	0.00355431	0.00342126	0.0124357	0.0238917	0.547977	0.103835	0.262125	0.0427597
á	0.000417624	0.00133698	0.00439982	0.00423078	0.223546	0.0414368	0.699675	0.0249569
n	0.00197636	0.00205488	0.0071933	0.0125944	0.174374	0.130267	0.635184	0.0363559
d	0.000643319	0.00376678	0.00835189	0.017239	0.684778	0.116688	0.0904538	0.078079
á	0.00866823	0.0194178	0.0259153	0.0384703	0.577089	0.0641724	0.109173	0.157094
</S>	0.00579296	0.000726767	0.00501553	0.0117595	0.0313766	0.367688	0.190497	0.387144
