 	j'	ai	besoin	d'	un	fil	pour	raccommoder	cette	tenue	</S>
n	0.852282	0.0618312	0.0111766	0.0319658	0.0172525	0.0126737	0.00675743	0.00365803	0.00200136	0.000334971	6.64048e-05
g	0.952555	0.039824	0.000220245	0.00104603	0.000669467	0.00527385	0.000270139	4.77584e-05	6.32391e-05	2.76064e-05	2.73141e-06
á	0.895661	0.0832394	0.00408209	0.003228	0.00199313	0.0100616	0.00069376	0.000429983	0.000123679	0.000474502	1.24636e-05
i	0.069491	0.527138	0.136213	0.0381264	0.0205294	0.016653	0.023966	0.0157638	0.0159649	0.0465819	0.0895721
d	0.00878168	0.177723	0.693337	0.0365586	0.0182242	0.00477731	0.0115786	0.017514	0.00481819	0.0101602	0.0165274
í	0.00451408	0.675664	0.260366	0.0122151	0.00782099	0.00910216	0.00854638	0.00800565	0.00155708	0.00249873	0.00970938
l	0.053317	0.317032	0.438711	0.0577095	0.0347342	0.0405491	0.0187837	0.00440663	0.0109416	0.00356893	0.0202456
a	0.00623353	0.173901	0.523706	0.121165	0.0540777	0.0252759	0.0299299	0.00699213	0.0134736	0.00374782	0.0414976
i	0.0023704	0.0694377	0.314673	0.257491	0.102658	0.136271	0.049345	0.0221188	0.013585	0.00646526	0.0255839
k	0.000128391	0.0160374	0.64311	0.210655	0.0425967	0.0182039	0.016574	0.0305594	0.00193019	0.00981249	0.0103927
á	4.76097e-06	0.0012854	0.747806	0.138049	0.0398563	0.0088072	0.00534558	0.0447089	0.000755912	0.011126	0.00225492
m	4.67945e-05	0.00376385	0.371452	0.265979	0.149497	0.0299111	0.0283764	0.054909	0.0108016	0.0357933	0.0494696
b	4.33113e-05	0.00112298	0.169802	0.456471	0.23287	0.0153579	0.0467074	0.0161208	0.00926576	0.00264817	0.049591
í	0.000255455	0.00256465	0.113138	0.325089	0.243223	0.0244763	0.0886872	0.0590078	0.00794109	0.00642772	0.129191
l	0.00228227	0.00800396	0.026112	0.202685	0.310206	0.224581	0.140186	0.0302159	0.0266252	0.00413747	0.0249656
á	0.00478418	0.0045484	0.0293951	0.0639534	0.139854	0.269274	0.110341	0.0370575	0.0312348	0.0362272	0.27333
s	0.0024686	0.0061841	0.0045776	0.039181	0.163438	0.462254	0.181252	0.0696384	0.0272159	0.0271863	0.0166044
i	0.00038259	0.00425156	0.00151315	0.00453154	0.0526316	0.863149	0.0482906	0.0113385	0.00682243	0.00351169	0.00357693
n	2.0106e-05	0.000408905	0.000576115	0.00455642	0.0660876	0.724171	0.132609	0.0338272	0.0173175	0.00666358	0.0137633
g	5.58354e-05	0.000726934	0.00100461	0.00576211	0.068797	0.766216	0.0902673	0.0262256	0.0172674	0.00719704	0.0164798
a	0.000171784	0.000622686	0.000501005	0.00640414	0.0451876	0.838541	0.0460118	0.0352078	0.0114143	0.00817011	0.00776765
m	4.3181e-05	0.00162552	0.0029905	0.0130767	0.059648	0.222308	0.368411	0.0871054	0.197458	0.0165283	0.0308052
í	0.000126839	0.000826785	0.00049996	0.00745513	0.0259439	0.014829	0.370292	0.239815	0.156727	0.00393566	0.179549
b	9.50167e-05	0.00108155	0.00162028	0.00577742	0.0198387	0.059008	0.227059	0.310465	0.274452	0.082537	0.0180657
a	7.23843e-05	0.000289654	0.000285256	0.00243743	0.00661738	0.00922029	0.109232	0.79462	0.0301729	0.0398518	0.00720136
m	6.30556e-06	5.04142e-05	0.000266308	0.00174978	0.0111783	0.0162221	0.103948	0.620294	0.0762116	0.146799	0.0232752
b	4.77068e-05	0.000151102	0.000150197	0.00222439	0.00822935	0.0115879	0.378868	0.454832	0.0998351	0.0046923	0.0393813
a	0.000102416	0.000121661	0.00208272	0.00706718	0.0255169	0.0084384	0.13747	0.630834	0.032955	0.0298314	0.12558
l	1.97458e-05	0.000406743	0.001782	0.00455589	0.0137869	0.0207374	0.12656	0.136677	0.502177	0.0825984	0.110698
ó	0.00128774	0.00286122	0.00854503	0.00975793	0.015718	0.0491324	0.0954226	0.192833	0.235337	0.215537	0.173568
k	0.0024675	0.00170954	0.000823892	0.00376317	0.00633178	0.017844	0.0585358	0.115722	0.125462	0.576722	0.0906176
á	8.37586e-07	1.81828e-05	0.000538842	0.00134137	0.00329543	0.0031491	0.00591936	0.0483431	0.0218837	0.894922	0.0205879
n	8.90128e-06	0.000185667	0.000608451	0.00161046	0.00389948	0.00443087	0.0150428	0.0890228	0.0432397	0.794719	0.0472314
d	3.9982e-05	3.14954e-05	0.00081296	0.000932936	0.00289046	0.00469929	0.0106003	0.0709179	0.0738379	0.690345	0.144892
á	0.00106974	0.000484276	0.00358561	0.0062122	0.013236	0.0188729	0.0395965	0.0698982	0.0728225	0.654366	0.119856
m	0.000471658	0.00140816	0.00261132	0.013439	0.0188035	0.0097295	0.0380582	0.0237018	0.211338	0.376926	0.303513
ú	8.91846e-05	0.00202741	0.00344971	0.0367696	0.0522232	0.00748415	0.249879	0.0899853	0.322658	0.0231615	0.212273
</S>	3.18703e-05	0.000900253	0.00856979	0.0319924	0.0566998	0.0352832	0.172453	0.143019	0.238411	0.107642	0.204998
