 	cela	lui	a	fait	du	bien	</S>
é	0.540934	0.41647	0.029148	0.0042991	0.00612555	0.00266571	0.000357577
k	0.132096	0.561536	0.13865	0.10101	0.0537235	0.00875748	0.00422645
y	0.0307877	0.048067	0.113888	0.575549	0.0873395	0.109371	0.0349967
e	0.0106067	0.0431561	0.309399	0.434729	0.103731	0.00950006	0.0888781
w	0.218061	0.274591	0.239316	0.0777917	0.0663993	0.0477347	0.0761065
á	0.216073	0.368827	0.11609	0.150306	0.0560365	0.0159158	0.0767522
ω	0.192793	0.423074	0.205032	0.0384351	0.0363353	0.0192306	0.0851003
b	0.0103851	0.0104158	0.051834	0.270634	0.30449	0.270585	0.0816561
v	0.00865934	0.0108848	0.0782598	0.181156	0.0816414	0.610758	0.0286405
έ	0.00356785	0.00294374	0.0198538	0.26811	0.210605	0.42514	0.0697796
</S>	0.0516009	0.0417699	0.0654456	0.105395	0.193189	0.270976	0.271624
