 	pourquoi	t'	immisces-tu	dans	les	affaires	de	tes	petits	fils	au	moment	où	ils	ont	encore	un	père	</S>
n	0.446756	0.232389	0.0700461	0.0530671	0.0528444	0.0491455	0.0288798	0.0200704	0.0208114	0.00465228	0.00560158	0.00208404	0.00441262	0.000600346	0.00153716	0.00156393	0.00467494	0.00037629	0.000486895
ω	0.239447	0.512662	0.0503276	0.019369	0.039042	0.0300877	0.014697	0.0355307	0.0338308	0.00316184	0.00668525	0.00521299	0.00517668	0.000324944	0.000670259	0.00115577	0.00177066	0.000738465	0.000109209
l	0.132483	0.260779	0.215762	0.0196605	0.0150441	0.0719455	0.0521691	0.0485239	0.0703414	0.0384645	0.0127113	0.020621	0.0304939	0.00323722	0.00380099	0.000919697	0.00116459	0.00085346	0.00102429
ó	0.0303195	0.0943304	0.0535229	0.0227443	0.0254249	0.0175173	0.0374964	0.0513532	0.0248078	0.0697461	0.0842809	0.0409834	0.0607283	0.01585	0.0687844	0.0278387	0.0280009	0.0264285	0.219842
o	0.0758686	0.120839	0.144387	0.0325345	0.0476627	0.0480647	0.0543337	0.0453995	0.0416883	0.100078	0.0583386	0.0388014	0.051597	0.0102507	0.0346473	0.0156511	0.0101031	0.0115523	0.0582025
y	0.0128538	0.0192667	0.71366	0.1843	0.0122173	0.00523987	0.00397849	0.00207581	0.00105941	0.00551235	0.00790766	0.0148533	0.0014983	0.00029817	0.00202994	0.00482269	0.00107544	0.000522715	0.0068279
e	0.00485645	0.0309928	0.887815	0.0562071	0.00249778	0.00172839	0.00132432	0.00122912	0.000534712	0.00079855	0.00184393	0.0054558	0.000548171	8.90721e-05	0.000184923	0.000430945	9.42613e-05	0.000183931	0.00318424
e	0.018071	0.0430931	0.483698	0.206115	0.0451955	0.0247705	0.0111256	0.00960601	0.00410001	0.00324674	0.0136174	0.0191301	0.00934799	0.00143426	0.00315445	0.00594881	0.0037216	0.00208697	0.0925369
r	0.00706042	0.0837725	0.0451805	0.377133	0.237434	0.104851	0.0401354	0.0275258	0.0105656	0.00346228	0.00740499	0.00276741	0.00642545	0.0186586	0.00487199	0.00866291	0.00530787	0.000647705	0.0081318
á	0.026922	0.168425	0.0452109	0.0882158	0.12853	0.265732	0.104862	0.0698437	0.0215253	0.00815814	0.00703537	0.0068848	0.0330998	0.00256723	0.00558239	0.00287287	0.00532595	0.00183834	0.00736908
p	0.0019968	0.0139523	0.00857504	0.133669	0.228456	0.220313	0.13118	0.0530798	0.0451742	0.0453672	0.0110809	0.00660271	0.0138717	0.0431328	0.0112278	0.011557	0.00675603	0.0071939	0.0068139
f	0.00608531	0.00976865	0.0119708	0.0145333	0.127221	0.477756	0.231008	0.0255433	0.0135837	0.00833096	0.0117468	0.00864787	0.0042804	0.00291246	0.00615174	0.00362529	0.00187552	0.0229069	0.0120529
