 	ma	maman	a	préparé	les	tripes	de	buffle	</S>
n	0.890933	0.036727	0.0196909	0.001376	0.0208823	0.0220831	0.00749632	0.000650937	0.000160396
g	0.470269	0.527214	0.00224444	2.10481e-05	0.000109811	1.99031e-05	6.3016e-05	5.61996e-05	2.69142e-06
ó	0.0927314	0.899388	0.00393993	0.000470509	0.000447804	0.000123838	6.80659e-05	0.00281462	1.6146e-05
o	0.0634888	0.932846	0.00149913	0.00130133	0.000126476	8.22831e-05	8.65673e-05	0.000494662	7.44033e-05
y	0.205857	0.185403	0.531418	0.0347706	0.0154749	0.00158256	0.0119344	0.00235327	0.0112056
a	0.877057	0.0376809	0.0555685	0.00768931	0.0054308	0.00159425	0.00673705	0.0039203	0.00432243
n	0.945319	0.00160682	0.0459294	0.00291383	0.0013819	0.000142424	0.00151131	0.000585616	0.000609244
g	0.865177	0.0616525	0.0335974	0.0144248	0.00206616	0.000315686	0.00236179	0.0153262	0.00507878
á	0.250822	0.151067	0.224534	0.228378	0.0163654	0.0045042	0.00842409	0.0811429	0.034763
á	0.0713974	0.00724488	0.670511	0.0809474	0.125929	0.00820729	0.0233174	0.0029326	0.00951304
l	0.00232518	0.00129524	0.0746975	0.827091	0.0547871	0.0156669	0.00210929	0.000485471	0.0215418
á	0.0018533	0.000120052	0.0412964	0.899711	0.0252478	0.0103643	0.00244909	0.000535718	0.0184225
m	0.0673457	0.00178767	0.0458414	0.788379	0.0664973	0.0104172	0.00456019	0.0019741	0.0131973
b	0.0311295	0.013041	0.17013	0.457771	0.207693	0.0497924	0.0412825	0.0168547	0.0123049
i	0.0249009	0.000348409	0.0608763	0.128731	0.301696	0.272842	0.099027	0.0276176	0.0839613
i	0.018049	0.000765655	0.119116	0.0316012	0.362816	0.0785219	0.323296	0.0419362	0.0238969
k	0.00118319	0.000196225	0.00776653	0.0389738	0.196719	0.688514	0.0117769	0.0387205	0.01615
u	7.47152e-06	4.73237e-06	0.000742611	0.00310711	0.0412643	0.950071	0.00104419	0.000323352	0.00343538
n	0.000590422	4.39572e-05	0.00122337	0.00263109	0.0835303	0.900844	0.00137002	0.00043359	0.00933304
d	0.0340197	9.55202e-05	0.00907499	0.00550492	0.134134	0.769802	0.00612337	0.00339791	0.0378471
ú	0.160176	2.59342e-05	0.0286267	0.0195542	0.163236	0.512951	0.0237626	0.0132911	0.0783767
l	0.0124327	1.57844e-05	0.0062049	0.00132143	0.156739	0.219981	0.498886	0.00836477	0.0960544
á	0.0321599	0.000134945	0.00885083	0.00817374	0.0564517	0.0935147	0.308841	0.155208	0.336666
n	0.00255583	0.00107751	0.0102976	0.00362897	0.0288058	0.0329968	0.347809	0.523156	0.049672
d	0.0107845	0.000626814	0.000226107	0.000906209	0.0017552	0.00128887	0.0268544	0.950398	0.00716033
z	0.00173423	0.000293305	0.000277094	0.000993009	0.000904908	0.00373359	0.0229708	0.855957	0.113136
á	0.000165228	5.79664e-05	0.000240142	0.00164192	0.00921518	0.0449732	0.0194581	0.778844	0.145404
a	5.40003e-05	3.4249e-05	0.00123682	0.00314446	0.031975	0.105628	0.0345779	0.0979114	0.725438
</S>	0.000797488	7.25718e-05	0.00793404	0.00325883	0.0251891	0.0179923	0.325687	0.131217	0.487851
