 	je	suis	dans	la	joie	parce	que	je	me	suis	fait	baptiser	</S>
n	0.439883	0.0881116	0.0766103	0.15842	0.0986473	0.0798043	0.029624	0.0154149	0.00333031	0.00291502	0.00332232	0.00147047	0.00244682
g	0.96102	0.00657664	0.00427372	0.00394907	0.000783889	0.00374515	0.000384626	0.0125239	0.00228603	5.49005e-05	0.000128094	0.00425737	1.65601e-05
á	0.852735	0.0653388	0.00587475	0.00114161	0.00030385	0.00268357	0.000595045	0.0389207	0.0140911	0.00331263	0.0011952	0.0136668	0.000140883
i	0.118611	0.276502	0.203935	0.0825834	0.0316463	0.0229486	0.00793615	0.0341237	0.0312353	0.0128441	0.0258039	0.0139073	0.137923
d	0.0103052	0.481132	0.19035	0.0226004	0.00692212	0.00275751	0.00564714	0.011062	0.0292754	0.14942	0.0407694	0.0105844	0.0391751
í	0.0481321	0.497495	0.378213	0.019614	0.000898752	0.00288915	0.00366738	0.00146965	0.00721602	0.0129261	0.003345	0.00108969	0.0230442
l	0.0185812	0.0965191	0.442956	0.2116	0.0648605	0.0563895	0.0347362	0.00156464	0.00881498	0.0241054	0.0161955	0.000797168	0.0228798
a	0.0173225	0.114768	0.334559	0.141381	0.143911	0.0977284	0.0600549	0.0212549	0.0209962	0.00786781	0.0051599	0.00078005	0.0342158
y	0.0127095	0.022606	0.0599629	0.12553	0.169149	0.32062	0.134822	0.0140354	0.0177723	0.00873403	0.00839124	0.0143177	0.0913485
έ	0.00882954	0.0989989	0.319676	0.0870231	0.0781837	0.103815	0.100379	0.0417322	0.0609374	0.0218056	0.0147836	0.0112007	0.0526358
l	0.00582762	0.0103743	0.0430029	0.0969058	0.101553	0.367949	0.103209	0.0175418	0.0288111	0.00803414	0.0151362	0.0623359	0.139319
ε	0.0107393	0.0566871	0.114535	0.126811	0.0937479	0.214211	0.158411	0.0625417	0.0589235	0.0272113	0.0233168	0.00364241	0.0492217
t	0.000525278	0.0137599	0.0469192	0.133091	0.207283	0.259853	0.26086	0.012532	0.0100599	0.00650741	0.00737912	0.0054154	0.0358142
s	0.00391581	0.00299705	0.0100547	0.128205	0.203497	0.311159	0.285014	0.00405736	0.003393	0.00501956	0.00422345	0.00232499	0.0361392
í	0.000188375	0.00243809	0.014038	0.0933004	0.107462	0.26	0.375979	0.00306049	0.00518225	0.03113	0.0256336	0.00992209	0.0716653
n	0.0046928	0.0060988	0.0209314	0.0618632	0.151938	0.243223	0.3976	0.0236334	0.00749688	0.00856303	0.00456615	0.00486314	0.0645288
a	0.0495923	0.00664434	0.00766755	0.00619617	0.0106665	0.122828	0.0646503	0.270541	0.0837866	0.00598919	0.00738009	0.145803	0.218255
n	0.0023158	0.00572156	0.00875563	0.0125305	0.0440831	0.125669	0.343272	0.221839	0.136795	0.0496838	0.0328524	0.00118718	0.0152954
g	0.0427794	0.00910988	0.00424877	0.00274404	0.00290117	0.0180308	0.0181249	0.604297	0.188857	0.00366996	0.00438843	0.0450948	0.0557538
á	0.00769267	0.00185065	0.00116964	0.00188385	0.00163865	0.0203489	0.0228469	0.756091	0.145476	0.00244363	0.0029366	0.0318593	0.00376269
í	0.000696197	0.00320546	0.00593313	0.0148861	0.0495325	0.0954893	0.29017	0.1269	0.15988	0.116715	0.0833086	0.00788363	0.0453996
m	0.000764332	0.0100924	0.0148578	0.00231266	0.00248489	0.00274919	0.0152585	0.0487108	0.158961	0.545999	0.173129	0.00969069	0.014989
i	0.000205376	0.0224542	0.0246662	0.00444778	0.000655249	0.00181109	0.00367843	0.00856219	0.0478233	0.412927	0.351637	0.0868033	0.0343296
k	3.37576e-05	0.00506341	0.00333505	0.000529167	0.000215112	0.000230477	0.000807953	0.00192366	0.016655	0.724164	0.183054	0.0318065	0.0321817
o	6.75575e-07	0.000691292	0.00117366	0.00091493	0.000336479	0.000503607	0.00192919	0.000764672	0.00937694	0.735196	0.166754	0.00262364	0.0797345
b	1.46304e-06	0.000501356	0.000710947	0.000837517	0.000428297	0.000612477	0.00242969	0.000295785	0.00294615	0.734723	0.190696	0.00827463	0.0575424
h	2.83833e-05	0.000583485	0.00142382	0.00292998	0.0011277	0.00382755	0.00510663	0.00116157	0.00929834	0.392216	0.185168	0.0186937	0.378435
á	2.09032e-05	0.000831167	0.00365826	0.0119974	0.00799593	0.0270796	0.0187234	0.0130277	0.0208818	0.122174	0.16147	0.183595	0.428545
n	8.28573e-05	0.00142324	0.00588484	0.0111538	0.015486	0.0214631	0.012624	0.0273988	0.0839429	0.0424691	0.150078	0.319753	0.30824
z	0.00083599	0.000132691	0.000210439	0.000604997	0.000373122	0.00473867	0.00103433	0.0541559	0.0624908	0.00221314	0.00680376	0.846365	0.0200415
a	0.000419087	0.000149745	0.000376791	0.000667067	0.000334405	0.00258568	0.00108422	0.0695492	0.0943043	0.00775216	0.0237016	0.7622	0.0368758
m	6.86281e-06	0.000116708	0.000449605	0.000597811	0.000286029	0.00274015	0.00343878	0.00260141	0.0188411	0.096373	0.180862	0.192234	0.501452
b	0.000538089	0.000832137	0.00252982	0.00544013	0.00304903	0.00501022	0.00268881	0.00379156	0.00756347	0.0126949	0.0462573	0.696148	0.213457
é	0.000305376	0.000609614	0.000955288	0.00117101	0.000322824	0.00202109	0.000304112	0.000499216	0.000758035	0.00764373	0.00925012	0.88579	0.0903693
</S>	5.47776e-05	0.000697456	0.00181007	0.00198905	0.0024268	0.00411309	0.00336024	0.00538687	0.0401851	0.0769739	0.144612	0.0452699	0.67312
