 	cet	homme	a	chanté	un	chant	de	tristesse	</S>
m	0.513496	0.472845	0.00702159	0.00164506	0.00181139	0.00150894	0.00125147	0.000365506	5.45998e-05
o	0.89395	0.0542067	0.0264973	0.0024655	0.00368428	0.00235311	0.00220268	0.0040049	0.0106358
r	0.885229	0.077519	0.0144434	0.011091	0.00414717	0.00337358	0.000445911	0.0003252	0.00342631
o	0.940892	0.0316569	0.00449842	0.000483146	0.00305618	0.00388905	0.000865931	0.00552081	0.00913787
w	0.803985	0.0363096	0.134335	0.0158999	0.00203289	0.000749725	0.00142937	0.000303885	0.00495477
ó	0.232916	0.0197655	0.437994	0.0810261	0.0846798	0.0449827	0.0643587	0.000826855	0.0334502
á	0.0246246	0.00286049	0.601617	0.157932	0.100549	0.012615	0.02689	0.00338952	0.0695231
y	0.00114004	0.00490859	0.184617	0.637573	0.0603855	0.042856	0.0360382	0.0136923	0.0187893
é	0.00108383	0.000235328	0.20577	0.710716	0.0495494	0.016944	0.00282961	0.00690153	0.00597052
m	0.00338212	0.000557606	0.0317756	0.915737	0.0363853	0.00611816	0.00223893	0.00169546	0.0021097
b	0.00260066	0.00121869	0.0978916	0.565486	0.225276	0.0843972	0.00672717	0.00322726	0.0131756
i	0.0137682	0.00246504	0.0715276	0.115372	0.398993	0.306983	0.034635	0.00836947	0.0478861
o	0.00956838	0.00445409	0.0957531	0.0513741	0.425088	0.219813	0.156341	0.0178103	0.0197981
n	0.000698582	0.00423014	0.00326306	0.0269307	0.126404	0.664099	0.122291	0.0431149	0.00896844
d	0.00255632	0.000411373	0.00193085	0.00191359	0.0509585	0.842189	0.0246144	0.0563198	0.0191058
z	0.000320875	0.000100453	0.0016007	0.00286035	0.0432942	0.852314	0.0498971	0.0327965	0.016816
é	0.000691089	0.000204638	0.0033218	0.0040063	0.0507458	0.783599	0.0414688	0.0716934	0.0442693
m	0.0459653	0.00156357	0.0219762	0.0365031	0.112014	0.46185	0.17948	0.0595356	0.0811122
b	0.0158881	0.000405953	0.00284875	0.000490058	0.0645733	0.490546	0.177804	0.0168786	0.230565
é	0.00775464	0.00160661	0.00330853	0.000942405	0.052578	0.527801	0.0872967	0.0366335	0.282079
m	0.000970287	0.00021106	0.008327	0.00114479	0.0243432	0.0702689	0.475778	0.0842194	0.334738
á	0.0394861	0.00411523	0.00579896	0.000334287	0.024148	0.0366135	0.628486	0.0175479	0.24347
n	0.00248938	0.00100552	0.00523102	0.00162768	0.0107019	0.0182917	0.161417	0.703586	0.09565
y	0.00012827	1.83195e-05	9.46998e-05	4.49327e-05	0.000436112	0.00379831	0.00570298	0.955825	0.0339515
i	0.000210462	1.51296e-05	5.89865e-05	4.83057e-05	0.00011794	0.00220797	0.00131869	0.98577	0.010253
n	1.92916e-05	2.3998e-05	6.38316e-05	0.000488093	0.000825798	0.0128664	0.0108593	0.946996	0.0278571
g	0.000497269	0.000393072	0.00151934	0.00189557	0.0118972	0.0711525	0.204234	0.160231	0.54818
a	0.000300702	0.000679382	0.00100182	0.00115115	0.0165927	0.168034	0.0653046	0.239665	0.507271
</S>	0.00127942	0.000264974	0.00233316	0.000484993	0.00356821	0.00973574	0.129985	0.12899	0.723359
