 	un	serpent	enroulé	ne	capture	pas	grenouille	</S>
n	0.647223	0.287726	0.0591038	0.00243065	0.00171547	0.00144306	0.000274912	8.31636e-05
z	0.708806	0.277447	0.011269	0.000829432	0.000717712	0.000509356	0.000386485	3.55069e-05
ώ	0.0620307	0.895606	0.0229791	0.0110342	0.000802983	0.00123501	0.00574072	0.000571316
ó	0.158172	0.748314	0.0251805	0.00822224	0.00211194	0.00316884	0.00621166	0.0486188
k	0.314874	0.309088	0.290156	0.0210304	0.00777919	0.00801048	0.000802422	0.0482586
á	0.147405	0.333613	0.345161	0.0792236	0.011094	0.0104782	0.0111014	0.0619234
r	0.0895223	0.0775321	0.583003	0.0892293	0.0211545	0.0186218	0.00938351	0.111553
a	0.136782	0.1423	0.594925	0.0360834	0.00551068	0.0124311	0.00616328	0.0658048
a	0.0480807	0.0537116	0.686634	0.123577	0.0135953	0.0188734	0.00129442	0.0542335
a	0.0154176	0.0110748	0.644365	0.252512	0.0236018	0.0248222	0.000868213	0.027338
d	0.0158453	0.0249678	0.385585	0.454298	0.0530054	0.0328737	0.00689809	0.0265267
i	0.00695464	0.00281306	0.561668	0.320093	0.0327944	0.0134386	0.00221478	0.0600244
í	0.0022345	0.000819444	0.236887	0.448027	0.119593	0.114746	0.0193868	0.0583068
m	0.00753009	0.00480974	0.0592029	0.457857	0.214641	0.185802	0.0272091	0.0429482
o	0.00182795	0.000429382	0.00307304	0.235081	0.415155	0.0507871	0.183353	0.110294
n	0.00532139	0.00144855	0.0364686	0.284013	0.182768	0.0334555	0.433224	0.0233011
d	0.00701254	0.00301898	0.0246548	0.295736	0.207797	0.0712659	0.269098	0.121417
ó	0.00160616	0.00128691	0.00851615	0.111504	0.2009	0.170779	0.297495	0.207914
o	0.00177573	0.00272776	0.0141899	0.0982141	0.032168	0.0269497	0.471665	0.35231
p	0.00291538	0.000974383	0.0099836	0.0836974	0.181083	0.324729	0.135429	0.261188
i	0.0244803	0.0235953	0.051657	0.251868	0.127825	0.148077	0.287543	0.084955
a	0.000908677	0.000556881	0.00569364	0.0625566	0.0538993	0.179804	0.194487	0.502093
έ	0.00325744	0.00141002	0.0128223	0.0360953	0.131265	0.404655	0.109587	0.300908
</S>	0.0168179	0.00390792	0.0232965	0.0867707	0.192429	0.448433	0.0907343	0.13761
