 	il	grimpe	sur	un	palmier	à	l'	aide	d'	une	ceinture	de	corde	ou	de	liane	</S>
w	0.979694	0.00171956	0.00323569	0.0026857	0.00262429	0.000984449	0.000971416	0.000246744	0.000982626	0.0021903	0.00178381	0.000878572	0.000812073	0.000590056	0.000503982	7.76725e-05	1.91759e-05
a	0.958516	0.000121122	0.01885	0.00895057	0.00211625	0.00138885	0.00209507	0.000662722	0.00124962	0.00150396	5.72063e-05	0.000957928	0.00203289	0.000321436	0.000924516	0.000246769	5.43423e-06
b	0.351395	0.482694	0.0927182	0.0234763	0.0026349	0.00536743	0.00565034	0.0035983	0.00331358	0.0054131	0.00128832	0.00330188	0.00552038	0.00250406	0.00402145	0.00300754	0.00409488
ó	0.192334	0.0576882	0.234445	0.0964492	0.29993	0.023846	0.0101243	0.00721394	0.0128404	0.00255553	0.00393651	0.00626012	0.00308144	0.00623678	0.00752477	0.00969384	0.0258398
l	0.153635	0.555941	0.152076	0.033923	0.0102025	0.00923192	0.00612223	0.00549502	0.00541908	0.00382418	0.000488635	0.00414249	0.00261853	0.00249673	0.00479953	0.00149911	0.0480859
á	0.0592587	0.0523676	0.0823428	0.054881	0.0282808	0.0667429	0.0509342	0.0315226	0.0560496	0.0405588	0.00436945	0.073024	0.0663671	0.0444276	0.0956976	0.0727011	0.120474
a	0.12993	0.0270292	0.248812	0.11013	0.0520381	0.0347528	0.0277947	0.0164424	0.0409269	0.0269846	0.0034454	0.0590566	0.0561535	0.0306429	0.0536084	0.0389403	0.0433122
l	0.0017615	0.966074	0.0264954	0.00292159	0.000316511	0.000375989	0.0001021	0.00012849	9.27566e-05	0.000123751	0.000138893	0.00013591	0.000138534	0.000135626	9.74127e-05	2.49624e-05	0.000936373
é	0.00200759	0.953296	0.0383278	0.00236561	0.000188949	0.000454566	0.000141347	0.000157808	8.88947e-05	7.9254e-05	2.58528e-05	0.000152904	0.000170472	0.000131803	0.000124249	0.000104345	0.00218278
á	0.013813	0.396726	0.449993	0.0922343	0.00656544	0.0073952	0.00310252	0.000795609	0.00172157	0.00238655	0.00178814	0.00330898	0.00370715	0.00164022	0.000857167	0.000446409	0.0135187
i	0.00205452	0.00396603	0.297182	0.456266	0.137573	0.0338303	0.0147291	0.00625283	0.00774563	0.0106774	0.00432833	0.0052089	0.00485578	0.00314924	0.0035767	0.00147255	0.00713257
b	0.00209602	0.00768772	0.0922974	0.392236	0.203992	0.126842	0.0387593	0.0223	0.0260213	0.023615	0.00945522	0.0108671	0.00709434	0.00948563	0.00434233	0.000695549	0.0222125
í	0.00051803	0.00120751	0.0453371	0.139721	0.681305	0.061221	0.0137895	0.00630902	0.0166234	0.00381447	0.00312093	0.0050217	0.00290765	0.00864686	0.002453	0.00223233	0.00577077
a	0.000249421	0.000862182	0.0703742	0.234576	0.530778	0.0604266	0.0153028	0.00440409	0.021004	0.00827552	0.00384113	0.00995007	0.00483802	0.0090328	0.00400168	0.0015961	0.0204864
m	0.000514404	0.000882759	0.0414526	0.208763	0.304144	0.226571	0.0875744	0.0237739	0.0379628	0.0349319	0.00841195	0.00932982	0.00336501	0.0039732	0.00164783	0.000287561	0.00641477
ó	0.00154128	0.000112974	0.00751163	0.0325902	0.0579823	0.127605	0.154175	0.441795	0.052116	0.0262713	0.00583138	0.0248979	0.0128148	0.0121948	0.013634	0.00269015	0.0262364
m	0.00350426	0.00126722	0.013121	0.0536891	0.0434538	0.134671	0.240455	0.124415	0.0782119	0.0803388	0.0725757	0.0354891	0.0335337	0.0411904	0.0120657	0.00583898	0.0261792
ώ	0.000404664	0.000240695	0.00166286	0.00640572	0.0121123	0.0426092	0.171514	0.643185	0.0245036	0.00964037	0.00323453	0.011259	0.0174118	0.00699483	0.0180495	0.0135339	0.0172381
ω	0.00102935	0.000284697	0.00821117	0.0315473	0.0420901	0.143485	0.2013	0.156499	0.104336	0.0926351	0.0557048	0.0446762	0.0201138	0.0481498	0.0246994	0.00549437	0.0197434
</S>	0.000133765	0.000271644	0.00230956	0.00898246	0.0123452	0.0886427	0.141237	0.0571544	0.171959	0.167394	0.082415	0.100386	0.0434163	0.070215	0.0290601	0.00392914	0.0201497
