 	le	python	meurt	avec	sa	proie	avalé	</S>
m	0.639655	0.336265	0.0153167	0.00257943	0.00144232	0.00310458	0.00116712	0.000469968
b	0.0507872	0.85661	0.0211098	0.00468574	0.020795	0.0189331	0.021041	0.0060386
ω	0.0127684	0.958785	0.0066672	0.000357595	0.000865725	0.0020401	0.0179421	0.00057361
m	0.0220795	0.943999	0.0302442	0.000554267	0.00035238	0.000151429	0.0022995	0.000319742
ω	0.221115	0.339689	0.285589	0.0237524	0.0245958	0.0126392	0.0196427	0.0729773
l	0.305989	0.0213814	0.353776	0.0878879	0.0280171	0.00365721	0.0220426	0.177249
á	0.154748	0.0256334	0.328279	0.0822821	0.0375914	0.0648053	0.0375267	0.269134
a	0.570683	0.0112499	0.116775	0.0790618	0.0531326	0.038959	0.0638995	0.066239
w	0.0142499	0.00364597	0.23706	0.417996	0.05947	0.0291167	0.116429	0.122033
á	0.00232196	0.0032012	0.172432	0.444317	0.0503393	0.00868526	0.074114	0.244589
l	0.0119947	0.00221055	0.175965	0.253749	0.0774524	0.0171707	0.0335494	0.427908
e	0.0175203	0.00268755	0.10142	0.533616	0.181856	0.0552912	0.0126977	0.0949114
m	0.0119661	0.0019775	0.0301845	0.236165	0.229802	0.274309	0.135913	0.079683
i	0.00134893	0.00113046	0.00261737	0.0225703	0.0900794	0.173947	0.664239	0.0440672
í	0.00115819	0.000358397	0.00404139	0.0222811	0.0375914	0.0364797	0.770834	0.127256
</S>	0.000785013	0.000289759	0.00678705	0.0630779	0.0399105	0.0268594	0.295222	0.567069
