 	certains	villages	n'	ont	plus	d'	écoles	</S>
a	0.558045	0.327076	0.0460704	0.010396	0.0174635	0.0110156	0.0282122	0.00172079
p	0.00897758	0.980216	0.00429165	0.00102482	0.00159799	0.000826366	0.00285039	0.00021571
o	0.00234708	0.936132	0.0336062	0.010885	0.00884565	0.00236059	0.00075629	0.00506723
o	0.000515137	0.984209	0.00773055	0.00140282	0.00193224	0.000586237	0.00124191	0.00238188
m	0.281022	0.00886627	0.513756	0.103084	0.0320042	0.0214538	0.0116663	0.0281468
a	0.075616	0.00445826	0.284312	0.213623	0.113287	0.111852	0.00164248	0.195209
n	0.41749	0.00161456	0.146054	0.13098	0.0906843	0.0984875	0.0280408	0.0866486
á	0.764938	0.00205166	0.0677535	0.0247478	0.0259903	0.0397447	0.017366	0.0574085
á	0.0181807	0.00102184	0.256026	0.215614	0.144766	0.145309	0.0444647	0.174617
b	0.00284688	0.00252805	0.0737807	0.316116	0.327489	0.171856	0.0440391	0.0613441
h	0.00180896	0.00066457	0.0471854	0.223157	0.231535	0.145643	0.219979	0.130027
e	0.00152264	0.0010341	0.110356	0.170212	0.254354	0.107047	0.159285	0.19619
á	0.00169466	0.000352571	0.0561149	0.0927168	0.144712	0.105924	0.27137	0.327115
k	0.00971779	0.000505452	0.0275947	0.0765263	0.156405	0.244689	0.278981	0.20558
ώ	0.000304969	0.000967609	0.017637	0.0714556	0.24973	0.138313	0.34224	0.179351
ώ	9.7336e-05	0.00051184	0.0181391	0.0299183	0.0990478	0.120772	0.621385	0.110129
l	0.00371047	0.0003304	0.0382059	0.0744858	0.219205	0.365846	0.0697885	0.228428
i	0.00300764	0.000411038	0.0204392	0.045674	0.126105	0.200818	0.033747	0.569798
k	0.00823697	0.000268161	0.0175147	0.0274809	0.0956477	0.296058	0.0436182	0.511176
a	0.000736531	0.000539072	0.0217065	0.0469242	0.301164	0.321049	0.197985	0.109896
á	0.000136192	0.000294799	0.00551128	0.0261403	0.0925407	0.147324	0.195783	0.53227
</S>	0.00560872	0.000777756	0.0376913	0.0571272	0.0488298	0.0720073	0.0301928	0.747765
