 	cette	femme	est	en	train	de	se	plaindre	parce	que	son	mari	ne	lui	donne	plus	rien	</S>
o	0.862161	0.119481	0.00161561	0.00345563	0.00175569	0.00101271	0.000910772	0.00147638	0.0032552	0.00176609	0.00186743	0.00015269	0.000400252	0.000262066	0.000218677	0.000161143	2.02459e-05	2.74494e-05
y	0.0213845	0.976151	0.000791747	6.0807e-05	4.39988e-05	2.90589e-05	1.65105e-05	7.6058e-05	0.000126116	9.53457e-05	9.49661e-05	0.000149947	3.584e-05	0.000124454	2.93987e-05	0.000148273	0.000520024	0.000121951
ú	0.88597	0.10081	0.00038188	0.000131853	5.1213e-05	0.000107065	0.000250918	0.00378666	0.000612132	0.000539771	0.000385577	0.00598465	8.56666e-05	0.000116844	9.62392e-05	7.78011e-05	0.000338227	0.000274105
r	0.873492	0.0459732	0.000379059	0.000228644	1.03798e-05	0.000232573	0.000352642	0.0306271	0.00114402	0.00478633	0.00308744	0.0262225	0.00122821	0.00207272	0.000912239	0.00187255	0.00338265	0.00399526
u	0.744653	0.0306191	0.0225336	0.0162504	0.00169927	0.00696156	0.00480178	0.0502851	0.0151296	0.0165903	0.016606	0.0105487	0.00289085	0.0193864	0.00290479	0.0133187	0.0117881	0.0130334
w	0.2992	0.0623787	0.303873	0.170071	0.0109846	0.0196231	0.0161412	0.00788103	0.0163098	0.0115003	0.0145716	0.0104214	0.0131482	0.0110351	0.00794457	0.00746132	0.00228567	0.0151686
o	0.095589	0.00110582	0.206718	0.143699	0.0224217	0.0668836	0.0424047	0.018487	0.0566765	0.0486825	0.048121	0.00646359	0.0330453	0.0653625	0.0381807	0.0412808	0.025078	0.0397993
b	0.0714677	0.000604984	0.437269	0.283925	0.0120149	0.0383695	0.0272702	0.00690781	0.0149282	0.0133928	0.0156072	0.00850536	0.0207283	0.0119613	0.00891808	0.00718882	0.00156899	0.0193727
o	0.397089	0.000331493	0.0947277	0.223125	0.138048	0.0701661	0.0320976	0.00858276	0.00611358	0.0101778	0.00740602	0.000522441	0.00399097	0.00271202	0.000935953	0.00139577	0.000458989	0.00211941
l	0.023919	0.000483753	0.263381	0.396857	0.205396	0.0256609	0.0363297	0.00396078	0.00455279	0.0034257	0.00552986	0.00688516	0.00655609	0.00201244	0.00387649	0.00301476	0.000491532	0.00766679
á	0.273101	0.00179379	0.056733	0.104423	0.0114903	0.0643827	0.0393182	0.0358616	0.0357115	0.0342164	0.0247104	0.00551592	0.0387748	0.0445739	0.0319737	0.0536645	0.0325265	0.111228
a	0.291315	0.00296933	0.138718	0.132411	0.019188	0.161869	0.107574	0.0343046	0.021816	0.0110085	0.0100114	0.00459772	0.0119819	0.00888396	0.0075364	0.00983281	0.00616264	0.0198196
s	0.0304321	0.00196495	0.123183	0.0431365	0.0210535	0.165237	0.42349	0.0710775	0.0069032	0.00897676	0.00733338	0.0490906	0.00995328	0.00769725	0.00794266	0.00397528	0.00125324	0.0172992
w	0.0559347	0.0074508	0.0495304	0.0130874	0.0115142	0.0363138	0.20295	0.143679	0.00136896	0.00744192	0.0083477	0.406536	0.00374825	0.00520732	0.00355469	0.00351811	0.00261809	0.0371992
é	0.0461883	0.00178765	0.0719257	0.0179487	0.000739516	0.0979114	0.419834	0.15921	0.0112865	0.0260656	0.0157243	0.0338844	0.0146253	0.0210346	0.0174784	0.00837955	0.00489727	0.031079
é	0.00552038	0.000136891	0.0399041	0.0312208	0.00311868	0.0747427	0.304836	0.239556	0.0182223	0.0190611	0.0107261	0.0260652	0.0166591	0.0163945	0.0267261	0.0154073	0.00481822	0.146884
n	0.00285124	3.11648e-05	0.0202855	0.0267001	0.00238897	0.0540929	0.107723	0.283316	0.183791	0.125557	0.0691308	0.0333093	0.0248556	0.0124115	0.0128989	0.00858696	0.00275023	0.0293199
g	0.0111204	1.2379e-05	0.00182927	0.00346964	0.000288531	0.0228935	0.0127661	0.82865	0.0394641	0.0303089	0.00905088	0.0024958	0.000846413	0.00313216	0.000759002	0.00391997	0.00707308	0.0219198
s	0.00497554	0.000195203	0.00247308	0.00368604	0.00122933	0.0102217	0.0121084	0.909025	0.0224357	0.0126711	0.0025882	0.00209772	0.00148289	0.00146585	0.00127876	0.00180289	0.00508845	0.00517399
t	0.00109193	9.49653e-06	0.000806996	0.000662156	0.000184283	0.0076002	0.0101683	0.890092	0.0124957	0.0169336	0.0025755	0.00958394	0.000854674	0.0014785	0.000917783	0.00251466	0.0109933	0.0310364
s	0.0191324	0.000461864	0.0059357	0.00225463	0.00144474	0.00570269	0.0118544	0.798365	0.0277291	0.0314935	0.00586202	0.00735734	0.0036852	0.00257799	0.00330313	0.00495752	0.0312886	0.0365942
í	0.00933117	0.000605105	0.00202759	0.00110601	0.000414986	0.0115428	0.0105611	0.744157	0.075093	0.0376433	0.00548994	0.00476783	0.00201303	0.00189464	0.00195214	0.00385897	0.0146223	0.0729191
n	0.00276009	8.7239e-06	0.0139334	0.00520408	0.000107563	0.0636825	0.0393523	0.138786	0.125221	0.206651	0.0656476	0.0350968	0.0266636	0.0177664	0.0131587	0.0150212	0.00234591	0.228593
a	0.00631076	1.37558e-05	0.00897323	0.00328189	0.000321043	0.0182612	0.0170717	0.192307	0.212867	0.308701	0.0658313	0.0203643	0.00574432	0.0173858	0.00541523	0.0163339	0.0173952	0.0834218
o	0.000928184	1.19508e-06	0.00206091	0.00123521	9.14521e-05	0.00539651	0.00305342	0.00953445	0.317512	0.346814	0.1889	0.0408277	0.0201349	0.0131295	0.00548266	0.0061987	0.00292018	0.0357786
l	0.000417747	1.2245e-05	0.00148891	0.000470318	2.95545e-05	0.00154754	0.00766234	0.00302275	0.0191763	0.139206	0.161577	0.508639	0.107475	0.00810585	0.0232345	0.00394961	0.0017031	0.0122822
ó	0.000438778	1.04906e-05	0.00290832	0.000730138	0.000219501	0.00106506	0.00923224	0.00627376	0.00777504	0.0751281	0.0515179	0.748849	0.0257467	0.00690829	0.00976207	0.00407141	0.0041679	0.0451951
m	8.53965e-05	2.91039e-06	0.00158996	0.00119277	0.000775757	0.00120426	0.00446058	0.00957949	0.0323569	0.0581714	0.039188	0.728879	0.0296155	0.00898264	0.0145421	0.00702321	0.00999901	0.0523513
i	0.000383517	1.64415e-06	0.00122985	0.000263888	1.17446e-05	0.00295485	0.00750381	0.00409666	0.0161456	0.164993	0.176978	0.296424	0.117684	0.0476526	0.0747432	0.0189745	0.0102655	0.0596942
á	0.00379416	1.93531e-06	0.0024516	0.00193767	0.000229544	0.0024707	0.0018528	0.00108791	0.0380592	0.104768	0.139527	0.0535235	0.262969	0.140407	0.139131	0.0382102	0.00872519	0.060854
b	0.00211837	3.19964e-05	0.0039081	0.00182346	0.00061573	0.00332477	0.00908443	0.00208042	0.0053673	0.0309344	0.0485165	0.268962	0.141359	0.105014	0.193031	0.0563467	0.0234013	0.10408
h	8.70272e-05	2.27145e-05	0.00445725	0.00324626	0.00190261	0.00191464	0.0173598	0.000883552	0.00942042	0.0652232	0.0671598	0.0276915	0.147275	0.0739711	0.231231	0.122437	0.0230784	0.202639
e	0.000565412	2.69297e-06	0.00315396	0.00207021	0.000460152	0.00292446	0.0173874	0.00411223	0.0278638	0.104891	0.0877119	0.0625003	0.180441	0.0772255	0.250738	0.0614011	0.0114959	0.105055
á	0.000847024	1.24583e-06	0.0017178	0.000990627	9.83427e-05	0.000720227	0.0035234	0.00492752	0.00983025	0.0375248	0.0448842	0.0844107	0.143658	0.0996573	0.234933	0.065906	0.0184096	0.24796
w	0.00334965	2.56726e-05	0.00071044	0.00130902	0.000204002	0.0020909	0.00285785	0.0041801	0.00978324	0.0420227	0.0882708	0.0391122	0.116835	0.157902	0.155271	0.148089	0.153007	0.0749795
a	0.000798482	1.05586e-05	0.00167329	0.00218145	0.00194199	0.00295164	0.00738381	0.00488699	0.0304594	0.0838986	0.120368	0.0127619	0.0900405	0.168858	0.173584	0.114499	0.114768	0.0689342
o	6.99668e-05	2.01477e-06	0.000151962	0.000311094	7.97727e-05	0.000451284	0.000461978	0.000394996	0.0113213	0.0278394	0.0452382	0.0419871	0.148463	0.150065	0.210151	0.101924	0.0582188	0.202868
k	4.3014e-05	4.27911e-05	0.00130945	0.000470686	3.70869e-05	0.00120046	0.0033361	0.00150738	0.00104217	0.0122228	0.0290601	0.0860095	0.141902	0.0819583	0.190497	0.112386	0.046214	0.290761
a	3.00241e-05	4.12063e-06	0.000928812	0.000289412	0.000162218	0.000205703	0.00393448	0.0016971	0.00072448	0.00731686	0.0123366	0.00775998	0.168313	0.0295613	0.382925	0.113857	0.0796095	0.190345
b	0.000191268	8.70502e-07	0.000217929	0.000240993	0.000225515	5.6987e-05	0.000707049	0.00024996	0.000805049	0.00549517	0.00900269	0.00931248	0.191656	0.0420905	0.400802	0.0761527	0.0479091	0.214884
h	7.9154e-05	1.10007e-06	0.000231919	0.000187551	2.5816e-05	0.000263513	0.00210116	0.000621812	0.00427855	0.0242509	0.0461887	0.00178203	0.0740867	0.0519255	0.411841	0.148138	0.0439051	0.190091
a	0.00180098	6.44739e-07	0.00192619	0.00506122	0.00120655	0.00295808	0.00891563	0.0106651	0.0129742	0.0456712	0.0401949	0.0121693	0.101004	0.0791148	0.16698	0.0641118	0.0293865	0.415859
k	0.00392192	8.29848e-07	0.000624897	0.00113424	0.000142585	0.000687864	0.00118641	0.00116038	0.00433123	0.0140347	0.0284138	0.00332939	0.0737801	0.0744104	0.120822	0.153615	0.075206	0.443198
