 	les	orphelins	pleurent	leurs	mères	parce	que	ceux	qui	les	adoptent	sont	méchants	</S>
a	0.605713	0.37003	0.00104289	0.0102207	0.00972492	0.00150622	0.000752259	0.000350514	0.000131307	0.000167138	0.000129721	0.000181974	1.62714e-05	3.28262e-05
t	0.0830941	0.871747	0.0160666	0.00586515	0.0127784	0.00125408	0.00112115	0.000622614	0.000422567	0.000789367	0.00513724	0.000398473	0.000539518	0.000164153
í	0.0234376	0.716667	0.105476	0.0567469	0.0335308	0.0292663	0.00972376	0.00436568	0.00162393	0.000723407	0.0022063	0.00167334	0.0081873	0.00637085
b	0.0202847	0.768443	0.040328	0.0117453	0.00239324	0.00964524	0.00377109	0.0031085	0.00106037	0.00210353	0.00212979	0.002186	0.0293847	0.103417
á	0.0293992	0.852465	0.0800166	0.0177988	0.00041011	0.00308855	0.00107755	0.00116892	0.000360247	0.000977895	0.00261738	0.000948689	0.00745742	0.00221336
a	0.046672	0.223104	0.439986	0.134334	0.0211516	0.0289851	0.0174938	0.00904794	0.00520845	0.0116741	0.00572311	0.00772998	0.00853359	0.0403565
l	0.00536479	0.0138843	0.763274	0.173169	0.0163515	0.00353067	0.00246878	0.00127654	0.00123563	0.000888748	0.00079379	0.00280554	0.00440657	0.0105497
e	0.00850603	0.0158082	0.594736	0.142379	0.0699873	0.0196655	0.0169941	0.00594295	0.0182154	0.00845353	0.000560365	0.0242314	0.0108024	0.0637173
á	0.0162387	0.00381259	0.382087	0.29826	0.176524	0.0136717	0.0219039	0.00679867	0.017329	0.0103618	0.00030604	0.00972913	0.00158334	0.041394
a	0.00451838	0.00163829	0.192671	0.553607	0.151558	0.0231228	0.0126228	0.00528064	0.00721665	0.00438131	0.000934055	0.0147875	0.00807787	0.0195835
n	0.0035868	0.00648587	0.140169	0.139125	0.611505	0.0366508	0.0168794	0.00644267	0.00451702	0.00270189	0.00626793	0.0093159	0.00901235	0.0073405
g	0.0179441	0.00301094	0.0526965	0.166429	0.447447	0.0527053	0.0259201	0.00973133	0.0721169	0.0623394	0.00347178	0.0344167	0.00930718	0.0424644
ó	0.00155807	0.000524812	0.0174113	0.0337191	0.916791	0.0118211	0.00338037	0.000638303	0.0041844	0.00445567	0.00133851	0.00252701	0.000708959	0.000940988
o	0.00182912	0.000293056	0.0073592	0.0152787	0.882699	0.0192553	0.0103288	0.000927149	0.00976728	0.0249999	0.00576436	0.00636874	0.00328214	0.0118471
a	0.00682216	0.00048192	0.0204244	0.293893	0.223959	0.154057	0.116221	0.0309071	0.0387964	0.0599123	0.0043464	0.0376238	0.0025724	0.00998248
b	0.00222579	0.00156462	0.0301527	0.11508	0.231703	0.203398	0.138725	0.0416404	0.0205263	0.0173496	0.0170882	0.133305	0.0345866	0.0126536
v	0.00109996	0.00255958	0.0580254	0.233967	0.125813	0.105708	0.113093	0.106169	0.0223289	0.0210453	0.054751	0.0769937	0.0516639	0.0267818
u	0.000988287	0.00285854	0.0253862	0.135539	0.0253257	0.193902	0.0834985	0.155386	0.0330506	0.0319404	0.0573766	0.0930378	0.118963	0.0427483
u	0.0018522	0.000650091	0.00480515	0.0510214	0.0108991	0.0661102	0.127824	0.207991	0.101004	0.0940613	0.0205914	0.134704	0.0137277	0.164759
l	0.00333447	0.00192884	0.0106661	0.022611	0.0391607	0.0508554	0.167238	0.114858	0.0885392	0.0685708	0.0277355	0.141294	0.187158	0.0760509
a	0.000658877	0.000285223	0.00854791	0.0192642	0.0259345	0.0221882	0.159407	0.076705	0.0995829	0.0369732	0.00234168	0.239075	0.0861196	0.222916
b	0.00144792	0.000104154	0.000837364	0.0114585	0.018054	0.0517882	0.219797	0.0997521	0.14174	0.122804	0.00637918	0.133753	0.0530933	0.138991
á	0.00320858	0.00543276	0.00245559	0.0395073	0.00362619	0.0353089	0.0480497	0.0955166	0.00995942	0.00458559	0.0177254	0.0511351	0.675404	0.00808531
n	0.000725476	0.00173449	0.00200051	0.0161449	0.00246759	0.0335522	0.0390524	0.0886001	0.0258826	0.0136432	0.0202804	0.0362764	0.637331	0.0823084
a	0.000760463	0.000760828	0.00168285	0.00266174	0.00305016	0.0284867	0.0439987	0.0560447	0.0943368	0.0534799	0.00578865	0.084076	0.55297	0.0719022
a	0.000970979	0.000134666	0.00245213	0.00258017	0.00470282	0.018777	0.0887153	0.0686424	0.0648079	0.108659	0.0101347	0.177859	0.0414699	0.410094
b	0.00361571	0.000914136	0.0168093	0.0184959	0.00667305	0.0183137	0.131597	0.0923365	0.130715	0.0475523	0.00442142	0.16963	0.121522	0.237404
é	0.00472762	0.00524735	0.0120846	0.0988943	0.0152477	0.0315252	0.104277	0.136832	0.0480695	0.0292437	0.037427	0.137404	0.291251	0.0477689
</S>	0.00060099	0.000312798	0.0017257	0.00920804	0.00227453	0.00697953	0.0232504	0.0609518	0.027983	0.0168724	0.00981802	0.0407281	0.182939	0.616356
