 	ces	exerices	sont	encore	non	résolus	</S>
i	0.896085	0.0620181	0.0351445	0.00245559	0.00240837	0.000451131	0.00143769
s	0.130317	0.822229	0.0139741	0.00972051	0.0123045	0.00918866	0.00226653
í	0.02168	0.949789	0.0173697	0.00817378	0.000131912	0.000123878	0.00273189
m	0.0157467	0.883738	0.0410229	0.011905	0.00278594	0.0162237	0.0285777
á	0.206663	0.578506	0.148045	0.0237504	0.0022176	0.000105579	0.0407121
b	0.343439	0.249571	0.243042	0.105064	0.0102094	0.00430991	0.0443638
í	0.287112	0.0759641	0.335863	0.045116	0.0262144	0.00996666	0.219764
i	0.311961	0.299387	0.277636	0.0142491	0.0120402	0.0246385	0.060088
í	0.0350929	0.100072	0.205709	0.248923	0.292427	0.0220441	0.0957314
s	0.00922155	0.0421019	0.0988342	0.424718	0.364946	0.0202421	0.0399364
á	0.00131627	0.11995	0.0840661	0.585746	0.0735558	0.0144932	0.120873
a	0.00897629	0.0828866	0.49286	0.185979	0.0395118	0.035663	0.154123
i	0.0257751	0.0350233	0.175964	0.174747	0.149828	0.268286	0.170376
k	0.0120611	0.040235	0.0318245	0.0536006	0.296197	0.353061	0.213021
ώ	0.000809263	0.00280275	0.00298426	0.00175534	0.296299	0.61539	0.0799587
n	0.000182706	0.00166816	0.00434132	0.00268858	0.126199	0.833091	0.03183
d	0.00210648	0.00830747	0.00858623	0.00426841	0.0302011	0.865893	0.0806367
ώ	0.00734405	0.00926358	0.0156146	0.0117269	0.0162657	0.868952	0.0708332
k	0.00888131	0.00521226	0.0537816	0.00823558	0.0213373	0.491552	0.411
ω	0.0503608	0.0587165	0.0947207	0.0260961	0.156853	0.267125	0.346129
n	0.000607713	0.00215066	0.00530759	0.00111427	0.0335141	0.835644	0.121662
d	0.00307913	0.0144941	0.00559666	0.00422944	0.02319	0.883007	0.0664034
ω	0.000635693	0.00162443	0.00206422	0.00223245	0.00511553	0.848988	0.13934
</S>	0.00376958	0.00484476	0.00795037	0.00272688	0.00746411	0.482878	0.490367
