 	okabhandzele	se	trouve	dans	la	forge	</S>
o	0.732516	0.231054	0.010714	0.00723286	0.00926754	0.00910134	0.000114142
k	0.944485	0.0428153	0.00266946	0.00237441	0.000767878	0.00346297	0.00342496
a	0.88575	0.0635264	0.00616121	0.00473062	0.0052408	0.0300243	0.00456607
b	0.543259	0.265829	0.0472372	0.063596	0.0307407	0.0220218	0.0273159
h	0.620458	0.214546	0.0147914	0.0327316	0.0515088	0.00165912	0.0643044
a	0.747726	0.129675	0.0547504	0.0197181	0.0145166	0.00260061	0.0310131
n	0.357012	0.53609	0.0694625	0.0092963	0.00348764	9.84272e-05	0.0245535
d	0.255357	0.348624	0.187246	0.0282804	0.011396	0.000683336	0.168413
z	0.395914	0.385403	0.154778	0.0134556	0.00766675	0.00258165	0.0402009
έ	0.629626	0.147857	0.0993649	0.0218239	0.0147291	0.0190248	0.067574
l	0.171898	0.334786	0.259573	0.0342943	0.046424	0.0120411	0.140984
έ	0.162515	0.205112	0.305836	0.0415392	0.0377552	0.0127508	0.234492
a	0.0181968	0.0584939	0.614544	0.205205	0.0338534	0.00258445	0.0671225
d	0.0202174	0.0438194	0.311682	0.372003	0.060972	0.00262148	0.188685
í	0.0181492	0.00543446	0.137715	0.572982	0.0384755	0.000837021	0.226407
s	0.00640226	0.00547008	0.0933388	0.383012	0.152961	0.0538758	0.30494
í	0.017585	0.00645336	0.151954	0.532221	0.163709	0.025627	0.102451
k	0.00256638	0.0073033	0.0658797	0.125961	0.222359	0.455283	0.120648
u	0.0185221	0.0151401	0.0310946	0.0545326	0.0833981	0.770912	0.0264005
b	0.00110402	0.000176448	0.00220558	0.00696718	0.0137909	0.967108	0.00864795
h	0.00681751	0.00203978	0.0187356	0.038491	0.101327	0.693965	0.138624
a	0.00135748	0.00192076	0.0115228	0.0467684	0.0996216	0.706255	0.132554
</S>	0.00102603	0.000888078	0.00704441	0.0622555	0.121547	0.0306014	0.776638
