 	ce	matin	nous	avons	tué	un	cochon	</S>
b	0.476422	0.369216	0.0971732	0.0510032	0.00191961	0.00332102	0.00023388	0.000711084
í	0.010722	0.0485815	0.872213	0.0643314	0.00179663	0.00203596	0.000111035	0.000208163
s	0.00251239	0.00309932	0.964499	0.0283802	0.00101032	0.000247704	6.96422e-06	0.000243625
í	0.205028	0.417405	0.308603	0.0617766	0.00157273	0.00156719	0.000139214	0.00390871
l	0.0465542	0.224881	0.0792976	0.0941317	0.00777057	0.01866	0.00663154	0.522073
é	0.0178036	0.0173681	0.238469	0.244458	0.0454607	0.0713862	0.00501032	0.360044
b	0.186575	0.035451	0.0803173	0.383696	0.142377	0.0537501	0.00773828	0.110095
o	0.0158865	0.00146611	0.0087691	0.0757386	0.869394	0.0204745	0.00237981	0.00589151
m	0.0270714	0.0118894	0.00984477	0.0467378	0.657036	0.176584	0.0469051	0.0239306
i	0.280443	0.00998393	0.00780514	0.0563317	0.23905	0.34407	0.0213714	0.0409458
n	0.0250122	0.00507911	0.0819056	0.244975	0.102484	0.316825	0.0939807	0.129738
g	0.131671	0.0408937	0.240548	0.314025	0.0180255	0.148711	0.0162258	0.0898999
w	0.0115906	0.131237	0.495982	0.231593	0.0187546	0.0731478	0.0155982	0.0220962
e	0.0937503	0.109824	0.140094	0.0650043	0.0381277	0.263122	0.0769376	0.21314
b	0.0183033	0.00381523	0.00165538	0.0148823	0.0247998	0.378432	0.247052	0.31106
h	0.0560988	0.00066994	0.0177325	0.0194819	0.267783	0.212693	0.0456992	0.379842
e	0.0511604	0.00388093	0.00195536	0.0163973	0.0285001	0.102642	0.475935	0.319529
l	0.00148492	0.000139687	9.88184e-05	0.00148309	0.00637198	0.436589	0.242477	0.311355
e	0.0185855	0.00175503	0.00272371	0.00791344	0.0142265	0.241804	0.243707	0.469285
l	0.00212225	0.00109117	0.00136562	0.00121317	0.00161814	0.106403	0.43121	0.454977
o	0.00494092	0.00144771	0.00393075	0.00772166	0.00906736	0.108309	0.6092	0.255383
y	0.000181447	0.000290016	0.000103849	0.000716725	0.00700875	0.0416276	0.87155	0.0785214
ó	0.00273449	0.00308446	0.000422808	0.0010552	0.00633778	0.0642733	0.837966	0.0841254
l	0.000522516	0.000640351	6.18699e-05	0.000441764	0.00579738	0.0129417	0.822019	0.157575
o	0.00118584	0.000266786	1.62018e-05	0.000137746	0.00915852	0.0230843	0.718489	0.247662
</S>	0.00653057	0.00132045	8.61632e-05	0.000595418	0.00547472	0.0406246	0.275065	0.670303
