 	le	guérisseur	a	crachoté	de	l'	herbe	mâchée	sur	le	malade	</S>
n	0.484277	0.501324	0.00497678	0.0013615	0.0053593	0.00125022	0.000293529	7.28505e-05	0.000384213	0.000453614	0.000222499	2.48068e-05
g	0.186196	0.808395	0.00481742	5.11356e-05	0.000357291	0.000102353	9.41771e-06	8.78224e-07	1.98536e-05	4.03424e-05	9.41968e-06	1.18081e-06
a	0.00939118	0.990047	0.000472988	2.49588e-05	1.62937e-05	1.14793e-05	1.77341e-06	2.7467e-07	2.64754e-06	6.08845e-06	2.44394e-05	6.88462e-07
n	0.055401	0.941606	0.00160249	0.000866649	0.000120988	7.2925e-05	1.36213e-05	2.00327e-06	2.13765e-05	2.80459e-05	0.000214128	5.10295e-05
g	0.258634	0.207022	0.284041	0.035511	0.0259703	0.0135278	0.0105668	0.0052674	0.00408928	0.00354266	0.00216718	0.149661
a	0.43896	0.491727	0.0564568	0.00401165	0.00136287	0.00116977	0.00055644	0.000347165	0.000176346	0.00021717	0.000160421	0.00485422
á	0.0333049	0.00384649	0.902362	0.0136057	0.00981383	0.00539179	0.00795102	0.00347414	0.0043983	0.0037068	9.89418e-05	0.0120458
m	0.00567907	0.00942664	0.542377	0.376649	0.0255732	0.0102379	0.00544029	0.00268388	0.00848737	0.00486796	0.00110274	0.00747526
i	0.00506838	0.000287902	0.27018	0.519994	0.0981998	0.0595368	0.0168628	0.00103263	0.00829986	0.00567954	0.000506939	0.0143514
b	0.000846904	9.76209e-05	0.0549081	0.91506	0.0140311	0.00664127	0.00301194	0.000747989	0.00136872	0.00066261	0.000430653	0.00219311
h	0.000129357	1.35718e-06	0.00421616	0.968206	0.0157582	0.00405812	0.00274259	0.00182711	0.000695525	0.000202703	7.34056e-05	0.00208999
á	9.20158e-05	7.46555e-06	0.00211963	0.978266	0.0101713	0.00378751	0.00158727	6.44896e-05	0.000483003	0.000282685	0.00040447	0.00273432
m	0.00123969	0.000257386	0.0494312	0.406395	0.221115	0.120332	0.0491486	0.0976686	0.0171881	0.00493714	0.00375106	0.0285362
b	0.003322	1.75464e-05	0.00744167	0.136654	0.469591	0.230343	0.128061	0.00236671	0.00693304	0.00492327	5.91591e-05	0.0102881
á	0.0023657	8.12616e-05	0.00825671	0.0910902	0.505505	0.292607	0.0616667	0.00398697	0.00422715	0.00417255	0.00039924	0.0256411
l	0.00139463	1.10288e-05	0.0285167	0.0114698	0.405361	0.331162	0.1695	0.0244346	0.013374	0.00871747	0.000285053	0.00577447
e	0.00229716	1.73408e-05	0.00673044	0.00879323	0.147512	0.627703	0.117803	0.0180035	0.0211664	0.00888665	0.00064206	0.0404443
t	0.000996914	2.27584e-05	0.00429962	0.0016702	0.0757839	0.430004	0.278923	0.135292	0.0426925	0.0087328	0.005778	0.015804
s	0.000383201	3.72493e-06	0.00129097	0.00188288	0.0540869	0.146282	0.0926899	0.643932	0.0412776	0.00255565	0.00774162	0.00787296
a	3.34423e-05	1.1666e-06	0.000984488	0.0126865	0.0491514	0.269921	0.128772	0.433546	0.0584884	0.00568313	0.0193201	0.0214123
t	9.10981e-05	5.19115e-06	0.00136492	0.00260189	0.0265354	0.117575	0.224261	0.506359	0.0669123	0.00944079	0.00876066	0.036093
s	0.000336931	3.83026e-06	0.000389024	0.00113338	0.0115709	0.0278649	0.0504744	0.8266	0.0417459	0.00398887	0.00942385	0.0264677
a	0.000395876	3.51805e-06	0.00113038	0.00723476	0.0246208	0.123429	0.167899	0.401385	0.0952922	0.0137679	0.00948219	0.155359
e	0.000178914	3.52915e-06	0.000479191	0.00133117	0.019295	0.108662	0.24095	0.225874	0.180015	0.0491887	0.0450336	0.128988
m	0.000180163	6.55603e-07	0.00287471	0.000771901	0.0151068	0.0265702	0.0609972	0.0224808	0.499182	0.2385	0.0564538	0.0768824
ó	0.00226367	1.86774e-05	0.00166249	0.00118477	0.0141269	0.0225369	0.139346	0.00862812	0.23589	0.254365	0.0145857	0.305391
o	0.000546374	1.48779e-05	0.00368036	0.000557109	0.00649113	0.00764403	0.0162427	0.00597532	0.112695	0.162062	0.657718	0.026373
k	2.19632e-05	3.62222e-06	0.00181717	0.00173867	0.00695573	0.0104655	0.0148327	0.0122528	0.158806	0.105665	0.560131	0.12731
ω	2.16541e-06	7.67557e-07	0.000101515	0.0003248	0.000740106	0.000562045	0.000450522	0.00114003	0.00928184	0.0133563	0.970138	0.00390191
n	3.49688e-06	2.06288e-07	1.00837e-05	0.000123537	8.63452e-05	0.000154401	0.000242646	0.000297698	0.00182463	0.000949405	0.994954	0.00135374
í	0.000192543	1.35831e-05	0.000231523	0.00258341	0.00171304	0.00258074	0.00636706	0.00166558	0.0435215	0.0314967	0.875004	0.0346307
</S>	0.00305035	4.4716e-06	0.000643099	0.000693834	0.00507745	0.0085338	0.0498904	0.0148818	0.0740637	0.21303	0.125867	0.504264
