 	ce	jeune	garçon	est	un	débile	</S>
m	0.509056	0.462856	0.0205954	0.000792933	0.00172255	0.00298814	0.00198884
w	0.0441076	0.921559	0.0315969	0.00105186	0.00031829	0.000470184	0.00089585
á	0.0330673	0.912101	0.0530251	0.000283678	0.000143392	0.0013519	2.78969e-05
n	0.179995	0.809428	0.00968429	0.000101519	2.98669e-05	0.000202666	0.000558934
a	0.275899	0.431589	0.148201	0.0568887	0.00914751	0.0175016	0.0607728
i	0.856583	0.101815	0.0171025	0.00715225	0.00465919	0.00164173	0.0110466
b	0.0725946	0.181808	0.413428	0.185686	0.0573003	0.0232827	0.0659002
a	0.0103359	0.0248879	0.718053	0.13191	0.0431649	0.0041938	0.0674542
a	0.0748602	0.0159156	0.64017	0.12584	0.025382	0.0085125	0.10932
w	0.0323472	0.0135126	0.341756	0.336615	0.0326545	0.00211106	0.241004
ó	0.112266	0.0143901	0.054725	0.374366	0.202981	0.0263747	0.214897
a	0.0312089	0.00733678	0.0657279	0.231095	0.0793635	0.0116256	0.573642
d	0.00650503	0.000560761	0.0149877	0.466477	0.381526	0.00934897	0.120595
í	0.0247894	0.00526247	0.0107605	0.49151	0.248798	0.00637987	0.2125
e	0.0643701	0.00868721	0.0161452	0.198465	0.336304	0.0533438	0.322685
n	0.00254848	0.000900708	0.00734744	0.0774538	0.263169	0.598008	0.0505725
d	0.00158523	0.000999441	0.00126142	0.0388758	0.107406	0.790476	0.0593966
z	0.00130741	0.00035964	0.00125583	0.0261205	0.0921336	0.811039	0.0677836
e	0.000711234	0.000528931	0.00107394	0.0277377	0.0547873	0.882979	0.0321819
n	0.00804532	0.00378975	0.00240119	0.0226299	0.0880017	0.607676	0.267456
g	0.0025255	0.000401699	0.00109204	0.091152	0.211421	0.482026	0.211381
e	0.00181734	0.000382983	0.000519815	0.00972791	0.0365608	0.842747	0.108244
l	0.00105657	0.000104133	0.000641835	0.0241364	0.0589463	0.053552	0.861563
a	0.010342	0.000474595	0.00118906	0.0438685	0.160113	0.26946	0.514553
</S>	0.011365	0.000226016	0.000591808	0.0155375	0.0547203	0.0980342	0.819525
